Massachusetts, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.54,-1.57
189609,1.04,1.01
189709,2.26,2.23
189809,2.27,2.24
189909,-.9,-0.93
190009,-1.39,-1.42
190109,1.77,1.74
190209,1.54,1.51
190309,-.56,-0.59
190409,.53,0.50
190509,1.38,1.35
190609,-.63,-0.66
190709,1.52,1.49
190809,-.87,-0.90
190909,-.87,-0.90
191009,-2.12,-2.15
191109,.54,0.51
191209,-1.63,-1.66
191309,-2.4,-2.43
191409,-1.82,-1.85
191509,2.11,2.08
191609,-.2,-0.23
191709,.08,0.05
191809,1.15,1.12
191909,1.26,1.23
192009,2.21,2.18
192109,-.65,-0.68
192209,-.14,-0.17
192309,-2.09,-2.12
192409,.91,0.88
192509,.04,0.01
192609,-1.43,-1.46
192709,2,1.97
192809,3.32,3.29
192909,-2.13,-2.16
193009,-3.44,-3.47
193109,-.55,-0.58
193209,.65,0.62
193309,2.17,2.14
193409,1.04,1.01
193509,-.44,-0.47
193609,.43,0.40
193709,.97,0.94
193809,4.97,4.94
193909,-2.04,-2.07
194009,-.88,-0.91
194109,-2.65,-2.68
194209,.44,0.41
194309,-1.34,-1.37
194409,.67,0.64
194509,1.3,1.27
194609,2.02,1.99
194709,-.75,-0.78
194809,-1.45,-1.48
194909,-2.92,-2.95
195009,-2.63,-2.66
195109,.14,0.11
195209,-.18,-0.21
195309,-1.85,-1.88
195409,2.03,2.00
195509,2.81,2.78
195609,-.9,-0.93
195709,-4.14,-4.17
195809,2.16,2.13
195909,-.78,-0.81
196009,2.32,2.29
196109,-.25,-0.28
196209,-.03,-0.06
196309,-1.7,-1.73
196409,-3.66,-3.69
196509,-4.74,-4.77
196609,-3.68,-3.71
196709,-.2,-0.23
196809,-2.17,-2.20
196909,-.33,-0.36
197009,-.98,-1.01
197109,-1.59,-1.62
197209,2.62,2.59
197309,2.65,2.62
197409,1.73,1.70
197509,2.6,2.57
197609,.79,0.76
197709,1.33,1.30
197809,-1.19,-1.22
197909,1.75,1.72
198009,-2.52,-2.55
198109,0,-0.03
198209,-.49,-0.52
198309,.62,0.59
198409,-1.39,-1.42
198509,1.54,1.51
198609,1.39,1.36
198709,.79,0.76
198809,-.74,-0.77
198909,2.82,2.79
199009,1.85,1.82
199109,2.08,2.05
199209,1.45,1.42
199309,.17,0.14
199409,.78,0.75
199509,-2.83,-2.86
199609,3.24,3.21
199709,-1.47,-1.50
199809,-1.17,-1.20
199909,1.41,1.38
200009,2.16,2.13
200109,-.3,-0.33
200209,-2.03,-2.06
200309,2.13,2.10
200409,1.84,1.81
200509,-1.71,-1.74
200609,2.74,2.71
200709,-1.46,-1.49
200809,3.94,3.91
200909,3.38,3.35
201009,-2.72,-2.75
201109,3.64,3.61
201209,-1.08,-1.11
201309,-.13,-0.16
201409,-.83,-0.86
201509,-1.38,-1.41
