Missouri, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.75,1.30
189609,2.29,1.84
189709,-1.62,-2.07
189809,4.04,3.59
189909,-.69,-1.14
190009,.83,0.38
190109,-4.59,-5.04
190209,2.73,2.28
190309,2.93,2.48
190409,3.67,3.22
190509,3.48,3.03
190609,2.15,1.70
190709,1.67,1.22
190809,-.5,-0.95
190909,.21,-0.24
191009,1.92,1.47
191109,.52,0.07
191209,-.15,-0.60
191309,-2.81,-3.26
191409,.49,0.04
191509,4.61,4.16
191609,-1.32,-1.77
191709,-.78,-1.23
191809,-2.55,-3.00
191909,.16,-0.29
192009,.74,0.29
192109,1.4,0.95
192209,-1.81,-2.26
192309,.58,0.13
192409,2.52,2.07
192509,.6,0.15
192609,2.1,1.65
192709,4.82,4.37
192809,3.34,2.89
192909,2.87,2.42
193009,-3.4,-3.85
193109,.22,-0.23
193209,-.45,-0.90
193309,-1.63,-2.08
193409,1.03,0.58
193509,-.71,-1.16
193609,1,0.55
193709,-1.33,-1.78
193809,-1.2,-1.65
193909,-1.13,-1.58
194009,-2.52,-2.97
194109,.51,0.06
194209,2.17,1.72
194309,-.71,-1.16
194409,-.26,-0.71
194509,4.27,3.82
194609,-.42,-0.87
194709,-1.21,-1.66
194809,-.69,-1.14
194909,2.07,1.62
195009,3.51,3.06
195109,4.49,4.04
195209,-1.85,-2.30
195309,-5.29,-5.74
195409,-6.58,-7.03
195509,-2.86,-3.31
195609,-3.25,-3.70
195709,1.37,0.92
195809,3.47,3.02
195909,.3,-0.15
196009,-.97,-1.42
196109,3.28,2.83
196209,-1.08,-1.53
196309,-2.54,-2.99
196409,-2.01,-2.46
196509,2.98,2.53
196609,-.55,-1.00
196709,.93,0.48
196809,1.19,0.74
196909,2.13,1.68
197009,2.55,2.10
197109,-1.9,-2.35
197209,.2,-0.25
197309,3.8,3.35
197409,2.69,2.24
197509,.77,0.32
197609,-2.18,-2.63
197709,1.6,1.15
197809,-.39,-0.84
197909,-.56,-1.01
198009,-3.57,-4.02
198109,2.56,2.11
198209,3.24,2.79
198309,-2.6,-3.05
198409,.33,-0.12
198509,3.05,2.60
198609,2.15,1.70
198709,-.36,-0.81
198809,-2.18,-2.63
198909,.97,0.52
199009,1.64,1.19
199109,-1.76,-2.21
199209,1.54,1.09
199309,7.07,6.62
199409,2.11,1.66
199509,-.35,-0.80
199609,1.79,1.34
199709,1.18,0.73
199809,2.31,1.86
199909,-1.51,-1.96
200009,-.59,-1.04
200109,.92,0.47
200209,-1.52,-1.97
200309,.53,0.08
200409,1.55,1.10
200509,-1.24,-1.69
200609,-2.26,-2.71
200709,-1.13,-1.58
200809,5.47,5.02
200909,4.09,3.64
201009,4.53,4.08
201109,-1.22,-1.67
201209,-3.76,-4.21
201309,-.46,-0.91
201409,.76,0.31
201509,3.06,2.61
