South Carolina, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.33,-1.33
189609,-2.1,-2.10
189709,-.75,-0.75
189809,1.67,1.67
189909,-2.52,-2.52
190009,-2.02,-2.02
190109,3.56,3.56
190209,-1.67,-1.67
190309,-.14,-0.14
190409,-1.09,-1.09
190509,-1.69,-1.69
190609,2.57,2.57
190709,1.72,1.72
190809,2.88,2.88
190909,2.07,2.07
191009,1.64,1.64
191109,-3.73,-3.73
191209,2.51,2.51
191309,.32,0.32
191409,.01,0.01
191509,-.45,-0.45
191609,-.79,-0.79
191709,.89,0.89
191809,.05,0.05
191909,-.77,-0.77
192009,1.36,1.36
192109,-.74,-0.74
192209,2.18,2.18
192309,-.57,-0.57
192409,4.1,4.10
192509,-5.46,-5.46
192609,-3.19,-3.19
192709,-3.2,-3.20
192809,6.35,6.35
192909,3.86,3.86
193009,-2.43,-2.43
193109,-3.06,-3.06
193209,.01,0.01
193309,-1.88,-1.88
193409,-2.57,-2.57
193509,1.54,1.54
193609,-2.22,-2.22
193709,.06,0.06
193809,-.51,-0.51
193909,-.57,-0.57
194009,-1.34,-1.34
194109,-.79,-0.79
194209,-.3,-0.30
194309,-.76,-0.76
194409,-2.35,-2.35
194509,2.95,2.95
194609,.14,0.14
194709,1.04,1.04
194809,2.13,2.13
194909,2.6,2.60
195009,-1.04,-1.04
195109,-2.6,-2.60
195209,-1,-1.00
195309,-1.45,-1.45
195409,-5.05,-5.05
195509,-2.22,-2.22
195609,-2.16,-2.16
195709,.63,0.63
195809,-.73,-0.73
195909,3.05,3.05
196009,.63,0.63
196109,-.47,-0.47
196209,-.56,-0.56
196309,-.36,-0.36
196409,4.35,4.35
196509,3.18,3.18
196609,1.84,1.84
196709,2.24,2.24
196809,-1.39,-1.39
196909,2.12,2.12
197009,-1.92,-1.92
197109,2.84,2.84
197209,1.59,1.59
197309,-.31,-0.31
197409,1.38,1.38
197509,3.28,3.28
197609,1.76,1.76
197709,-2.29,-2.29
197809,-1.36,-1.36
197909,2.96,2.96
198009,-1.99,-1.99
198109,-2.9,-2.90
198209,.94,0.94
198309,-2.45,-2.45
198409,-.69,-0.69
198509,.44,0.44
198609,.11,0.11
198709,-1.21,-1.21
198809,-1.49,-1.49
198909,2.71,2.71
199009,-3.14,-3.14
199109,-.45,-0.45
199209,1.07,1.07
199309,-3.14,-3.14
199409,1.91,1.91
199509,2.69,2.69
199609,.39,0.39
199709,1.19,1.19
199809,-1.5,-1.50
199909,-2,-2.00
200009,-1.76,-1.76
200109,-2.8,-2.80
200209,.09,0.09
200309,-.13,-0.13
200409,1.98,1.98
200509,-1.2,-1.20
200609,.08,0.08
200709,-3.63,-3.63
200809,.22,0.22
200909,-1.44,-1.44
201009,-1.88,-1.88
201109,-4.49,-4.49
201209,-.29,-0.29
201309,-.38,-0.38
201409,-.49,-0.49
201509,-2.07,-2.07
