Massachusetts, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,1.64,1.82
189611,-.26,-0.08
189711,1.98,2.16
189811,4.04,4.22
189911,-1.73,-1.55
190011,-.98,-0.80
190111,.75,0.93
190211,.92,1.10
190311,-.69,-0.51
190411,-.88,-0.70
190511,-.74,-0.56
190611,-.76,-0.58
190711,2.51,2.69
190811,-2.02,-1.84
190911,-1.92,-1.74
191011,-2.82,-2.64
191111,1.38,1.56
191211,-2.42,-2.24
191311,-.51,-0.33
191411,-3,-2.82
191511,1.06,1.24
191611,-1.18,-1.00
191711,-.88,-0.70
191811,-1.06,-0.88
191911,1.44,1.62
192011,1.58,1.76
192111,.98,1.16
192211,-1.06,-0.88
192311,.36,0.54
192411,-1.55,-1.37
192511,.46,0.64
192611,.86,1.04
192711,3.14,3.32
192811,-.97,-0.79
192911,-2.71,-2.53
193011,-3.22,-3.04
193111,-1.95,-1.77
193211,2.09,2.27
193311,-.66,-0.48
193411,-.28,-0.10
193511,-1.04,-0.86
193611,-.61,-0.43
193711,1.95,2.13
193811,-.48,-0.30
193911,-2.48,-2.30
194011,-.88,-0.70
194111,-3.48,-3.30
194211,.92,1.10
194311,-.62,-0.44
194411,.78,0.96
194511,1.59,1.77
194611,-1.77,-1.59
194711,-1.25,-1.07
194811,-1.05,-0.87
194911,-3.88,-3.70
195011,.39,0.57
195111,1.32,1.50
195211,-1.61,-1.43
195311,.32,0.50
195411,1.95,2.13
195511,4.65,4.83
195611,-1.22,-1.04
195711,-4.18,-4.00
195811,-.1,0.08
195911,1.44,1.62
196011,-.4,-0.22
196111,-.68,-0.50
196211,1.19,1.37
196311,-1.87,-1.69
196411,-4.51,-4.33
196511,-5.05,-4.87
196611,-2.88,-2.70
196711,-.85,-0.67
196811,.45,0.63
196911,.94,1.12
197011,-1.4,-1.22
197111,-1.52,-1.34
197211,3.74,3.92
197311,1.55,1.73
197411,1.03,1.21
197511,3.33,3.51
197611,-.88,-0.70
197711,2.13,2.31
197811,-1.71,-1.53
197911,-.05,0.13
198011,-2.17,-1.99
198111,.31,0.49
198211,-.83,-0.65
198311,1.69,1.87
198411,-1.84,-1.66
198511,1.89,2.07
198611,1.73,1.91
198711,-.28,-0.10
198811,1.07,1.25
198911,3.69,3.87
199011,-.53,-0.35
199111,2.13,2.31
199211,1.49,1.67
199311,.26,0.44
199411,-.96,-0.78
199511,2.03,2.21
199611,3.99,4.17
199711,.55,0.73
199811,-1.28,-1.10
199911,-.46,-0.28
200011,-.32,-0.14
200111,-2.49,-2.31
200211,.77,0.95
200311,2.27,2.45
200411,1.16,1.34
200511,3.52,3.70
200611,3.31,3.49
200711,-1.94,-1.76
200811,3.12,3.30
200911,3.28,3.46
201011,.64,0.82
201111,-.21,-0.03
201211,-1.45,-1.27
201311,-1.17,-0.99
201411,1,1.18
201511,-1.82,-1.64
