North Carolina, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.13,1.15
189601,-2.14,-2.12
189701,-1.01,-0.99
189801,-2.28,-2.26
189901,1.52,1.54
190001,-1.04,-1.02
190101,-2.18,-2.16
190201,3.66,3.68
190301,.08,0.10
190401,-1.51,-1.49
190501,.36,0.38
190601,1.77,1.79
190701,-1.68,-1.66
190801,2.19,2.21
190901,2.3,2.32
191001,-1.41,-1.39
191101,-.83,-0.81
191201,.5,0.52
191301,-1.83,-1.81
191401,-.65,-0.63
191501,2.07,2.09
191601,-.6,-0.58
191701,-.84,-0.82
191801,-.42,-0.40
191901,1.13,1.15
192001,-2.75,-2.73
192101,2.38,2.40
192201,.36,0.38
192301,.41,0.43
192401,.29,0.31
192501,1.26,1.28
192601,-3.09,-3.07
192701,-4.49,-4.47
192801,-.92,-0.90
192901,2.44,2.46
193001,-.13,-0.11
193101,-3.31,-3.29
193201,-2.47,-2.45
193301,-.54,-0.52
193401,-5.13,-5.11
193501,-.23,-0.21
193601,1.66,1.68
193701,2.59,2.61
193801,-.73,-0.71
193901,.71,0.73
194001,-1.96,-1.94
194101,-2.07,-2.05
194201,-4.13,-4.11
194301,1.47,1.49
194401,0,0.02
194501,-1.46,-1.44
194601,3,3.02
194701,-.11,-0.09
194801,2.06,2.08
194901,-.66,-0.64
195001,-1.2,-1.18
195101,-1.36,-1.34
195201,-2.19,-2.17
195301,-1.18,-1.16
195401,-1.23,-1.21
195501,-3.6,-3.58
195601,-1.63,-1.61
195701,-.89,-0.87
195801,2.41,2.43
195901,-.66,-0.64
196001,2.21,2.23
196101,-1.16,-1.14
196201,1.34,1.36
196301,1.39,1.41
196401,1,1.02
196501,1.45,1.47
196601,.66,0.68
196701,-.64,-0.62
196801,2.2,2.22
196901,-.51,-0.49
197001,-.48,-0.46
197101,.23,0.25
197201,1.75,1.77
197301,2.48,2.50
197401,.94,0.96
197501,2.06,2.08
197601,.02,0.04
197701,-.19,-0.17
197801,2.9,2.92
197901,1.02,1.04
198001,-.37,-0.35
198101,-3.08,-3.06
198201,1.34,1.36
198301,.85,0.87
198401,1.31,1.33
198501,-1.72,-1.70
198601,-1.5,-1.48
198701,1.39,1.41
198801,-1.98,-1.96
198901,-2.83,-2.81
199001,3.14,3.16
199101,1.04,1.06
199201,-1.37,-1.35
199301,2.62,2.64
199401,.58,0.60
199501,.69,0.71
199601,2.13,2.15
199701,2.78,2.80
199801,1.81,1.83
199901,-1.93,-1.91
200001,-.39,-0.37
200101,-1.83,-1.81
200201,-3.08,-3.06
200301,.61,0.63
200401,-.84,-0.82
200501,-.84,-0.82
200601,-.36,-0.34
200701,-.32,-0.30
200801,-5.66,-5.64
200901,-2.61,-2.59
201001,2.91,2.93
201101,-2.55,-2.53
201201,-2.25,-2.23
201301,.45,0.47
201401,2.07,2.09
201501,.71,0.73
201601,2.83,2.85
