Minnesota, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,.12,-0.16
189605,3.49,3.21
189705,1.78,1.50
189805,.14,-0.14
189905,1.7,1.42
190005,-2.39,-2.67
190105,-1.49,-1.77
190205,1.01,0.73
190305,3.3,3.02
190405,2.94,2.66
190505,3.01,2.73
190605,3.8,3.52
190705,2.95,2.67
190805,3.5,3.22
190905,1.21,0.93
191005,-2.16,-2.44
191105,-7.16,-7.44
191205,-.1,-0.38
191305,.54,0.26
191405,.92,0.64
191505,.86,0.58
191605,3.62,3.34
191705,-.65,-0.93
191805,-2.29,-2.57
191905,.81,0.53
192005,2.09,1.81
192105,-1.33,-1.61
192205,-2.16,-2.44
192305,-3.07,-3.35
192405,-5.24,-5.52
192505,-1.34,-1.62
192605,-1.65,-1.93
192705,2.97,2.69
192805,-1.21,-1.49
192905,-.49,-0.77
193005,-1.59,-1.87
193105,-3.69,-3.97
193205,-1.65,-1.93
193305,-1.76,-2.04
193405,-7.22,-7.50
193505,.33,0.05
193605,-.6,-0.88
193705,-2.97,-3.25
193805,2.5,2.22
193905,-2.26,-2.54
194005,-3.91,-4.19
194105,.52,0.24
194205,2.54,2.26
194305,2.81,2.53
194405,1.83,1.55
194505,2.96,2.68
194605,1.68,1.40
194705,2.37,2.09
194805,-1.05,-1.33
194905,-2.14,-2.42
195005,3.18,2.90
195105,1.04,0.76
195205,-1.78,-2.06
195305,1.4,1.12
195405,2.28,2.00
195505,-2.43,-2.71
195605,-1.59,-1.87
195705,.31,0.03
195805,-1.83,-2.11
195905,1.18,0.90
196005,1.44,1.16
196105,-.99,-1.27
196205,2.08,1.80
196305,.43,0.15
196405,-.24,-0.52
196505,3.21,2.93
196605,-.49,-0.77
196705,.46,0.18
196805,.65,0.37
196905,-.71,-0.99
197005,1.5,1.22
197105,1.59,1.31
197205,2.52,2.24
197305,2.18,1.90
197405,2.75,2.47
197505,1.3,1.02
197605,-2.14,-2.42
197705,-6.87,-7.15
197805,1.93,1.65
197905,3.45,3.17
198005,-2.46,-2.74
198105,-2.13,-2.41
198205,2.36,2.08
198305,2.72,2.44
198405,1.97,1.69
198505,2.64,2.36
198605,3.66,3.38
198705,-1.56,-1.84
198805,-4.86,-5.14
198905,-2.98,-3.26
199005,.1,-0.18
199105,1.46,1.18
199205,1.51,1.23
199305,2.79,2.51
199405,2.65,2.37
199505,2.68,2.40
199605,2.61,2.33
199705,2.28,2.00
199805,1.08,0.80
199905,2.42,2.14
200005,1.25,0.97
200105,3.85,3.57
200205,.04,-0.24
200305,.31,0.03
200405,1.73,1.45
200505,2.43,2.15
200605,-.55,-0.83
200705,-1.89,-2.17
200805,1.56,1.28
200905,-.97,-1.25
201005,-1.31,-1.59
201105,4.33,4.05
201205,-2.18,-2.46
201305,2.15,1.87
201405,1.89,1.61
201505,1.3,1.02
