Texas, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,.95,1.07
189602,2.63,2.75
189702,-2.33,-2.21
189802,-2.58,-2.46
189902,-1.97,-1.85
190002,.67,0.79
190102,-1.67,-1.55
190202,-4.56,-4.44
190302,2.95,3.07
190402,-2.82,-2.70
190502,.31,0.43
190602,2.16,2.28
190702,-1.39,-1.27
190802,2.29,2.41
190902,-2.51,-2.39
191002,-3.54,-3.42
191102,-4.71,-4.59
191202,.91,1.03
191302,-.86,-0.74
191402,2.87,2.99
191502,4.51,4.63
191602,-2.12,-2.00
191702,-4.16,-4.04
191802,-6.31,-6.19
191902,2.57,2.69
192002,6.7,6.82
192102,-.66,-0.54
192202,-2.8,-2.68
192302,.86,0.98
192402,3.48,3.60
192502,-3.44,-3.32
192602,.49,0.61
192702,-.32,-0.20
192802,-2.18,-2.06
192902,.38,0.50
193002,-.55,-0.43
193102,3.1,3.22
193202,2.29,2.41
193302,.62,0.74
193402,-2.18,-2.06
193502,-2.97,-2.85
193602,-.77,-0.65
193702,.61,0.73
193802,1.25,1.37
193902,-1.28,-1.16
194002,-2.66,-2.54
194102,3.08,3.20
194202,4.77,4.89
194302,-1.68,-1.56
194402,1.4,1.52
194502,2.59,2.71
194602,1.24,1.36
194702,1.08,1.20
194802,-.66,-0.54
194902,1.04,1.16
195002,1.3,1.42
195102,-2.97,-2.85
195202,-5.09,-4.97
195302,-3.57,-3.45
195402,-3.68,-3.56
195502,-4.73,-4.61
195602,-4.65,-4.53
195702,-6.19,-6.07
195802,4.49,4.61
195902,1.8,1.92
196002,2.58,2.70
196102,3.93,4.05
196202,-.9,-0.78
196302,-2.16,-2.04
196402,-3.07,-2.95
196502,-1.87,-1.75
196602,.31,0.43
196702,-2.83,-2.71
196802,2.16,2.28
196902,2.71,2.83
197002,2.43,2.55
197102,-2.9,-2.78
197202,-.61,-0.49
197302,1.71,1.83
197402,-.88,-0.76
197502,4.15,4.27
197602,-2.43,-2.31
197702,2.26,2.38
197802,-2.01,-1.89
197902,1.19,1.31
198002,-.91,-0.79
198102,-1.91,-1.79
198202,-.7,-0.58
198302,1.51,1.63
198402,-.66,-0.54
198502,2.75,2.87
198602,-.82,-0.70
198702,4.06,4.18
198802,-.61,-0.49
198902,-1.59,-1.47
199002,.15,0.27
199102,.78,0.90
199202,5.54,5.66
199302,4.09,4.21
199402,-.89,-0.77
199502,.92,1.04
199602,-2.44,-2.32
199702,1.52,1.64
199802,3.33,3.45
199902,.76,0.88
200002,-3.76,-3.64
200102,3.42,3.54
200202,-.72,-0.60
200302,2.85,2.97
200402,.47,0.59
200502,4.66,4.78
200602,-3.56,-3.44
200702,.69,0.81
200802,-1.92,-1.80
200902,-4.17,-4.05
201002,2.98,3.10
201102,-2.5,-2.38
201202,-4.4,-4.28
201302,-4.14,-4.02
201402,-3.21,-3.09
201502,.52,0.64
201602,3.76,3.88
