Pennsylvania, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-3.07,-3.13
189609,.95,0.89
189709,-.43,-0.49
189809,-.9,-0.96
189909,-.89,-0.95
190009,-2.76,-2.82
190109,2.36,2.30
190209,2.49,2.43
190309,3.19,3.13
190409,-.03,-0.09
190509,1.62,1.56
190609,.95,0.89
190709,1.71,1.65
190809,-2.01,-2.07
190909,-2.93,-2.99
191009,-2.47,-2.53
191109,2.12,2.06
191209,3.13,3.07
191309,-1.66,-1.72
191409,-1.27,-1.33
191509,1.91,1.85
191609,-.54,-0.60
191709,1.2,1.14
191809,-.09,-0.15
191909,1.05,0.99
192009,1.55,1.49
192109,-1,-1.06
192209,-1.55,-1.61
192309,-2.53,-2.59
192409,3.38,3.32
192509,-2.27,-2.33
192609,1.83,1.77
192709,1.35,1.29
192809,-.22,-0.28
192909,-1.26,-1.32
193009,-3.7,-3.76
193109,-3.03,-3.09
193209,-4.13,-4.19
193309,2.1,2.04
193409,1.45,1.39
193509,.82,0.76
193609,-2.04,-2.10
193709,1.56,1.50
193809,.68,0.62
193909,-2.39,-2.45
194009,1.61,1.55
194109,-1.94,-2.00
194209,1.69,1.63
194309,-2.27,-2.33
194409,-1.86,-1.92
194509,2.72,2.66
194609,1.85,1.79
194709,-.52,-0.58
194809,-.92,-0.98
194909,-1.68,-1.74
195009,1.43,1.37
195109,-1.21,-1.27
195209,-.98,-1.04
195309,-2.09,-2.15
195409,.05,-0.01
195509,1.3,1.24
195609,3.63,3.57
195709,-2.66,-2.72
195809,2.65,2.59
195909,-2.21,-2.27
196009,1.37,1.31
196109,-.9,-0.96
196209,-2.09,-2.15
196309,-3.09,-3.15
196409,-3.22,-3.28
196509,-3.99,-4.05
196609,-4.03,-4.09
196709,1.36,1.30
196809,-1.95,-2.01
196909,.42,0.36
197009,.56,0.50
197109,.78,0.72
197209,2.24,2.18
197309,1.78,1.72
197409,2.36,2.30
197509,4.4,4.34
197609,1.59,1.53
197709,1.49,1.43
197809,1.73,1.67
197909,2.58,2.52
198009,-.91,-0.97
198109,.14,0.08
198209,-.91,-0.97
198309,-2.05,-2.11
198409,-.45,-0.51
198509,-.06,-0.12
198609,.59,0.53
198709,1.59,1.53
198809,-1.99,-2.05
198909,.26,0.20
199009,1.91,1.85
199109,-4.03,-4.09
199209,1.9,1.84
199309,.98,0.92
199409,3.64,3.58
199509,-3.5,-3.56
199609,4.2,4.14
199709,1.49,1.43
199809,-1.83,-1.89
199909,1.07,1.01
200009,.83,0.77
200109,-1.85,-1.91
200209,0,-0.06
200309,4.36,4.30
200409,6.78,6.72
200509,-2.89,-2.95
200609,2.47,2.41
200709,-1.43,-1.49
200809,-.43,-0.49
200909,1.57,1.51
201009,-1.77,-1.83
201109,5.4,5.34
201209,.62,0.56
201309,.75,0.69
201409,-.6,-0.66
201509,-.39,-0.45
