Delaware, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.6,-0.42
189603,-.59,-0.41
189703,.2,0.38
189803,-.84,-0.66
189903,2.44,2.62
190003,-1.41,-1.23
190103,-3.17,-2.99
190203,1.45,1.63
190303,3.85,4.03
190403,-.64,-0.46
190503,.46,0.64
190603,1.31,1.49
190703,-.86,-0.68
190803,-.73,-0.55
190903,.14,0.32
191003,-1.76,-1.58
191103,-.48,-0.30
191203,2.89,3.07
191303,-1.68,-1.50
191403,-1.08,-0.90
191503,-.74,-0.56
191603,.34,0.52
191703,1.11,1.29
191803,.17,0.35
191903,-.02,0.16
192003,2.27,2.45
192103,-1.19,-1.01
192203,.87,1.05
192303,1.25,1.43
192403,.96,1.14
192503,-1.19,-1.01
192603,-1.91,-1.73
192703,-1.17,-0.99
192803,-.59,-0.41
192903,.39,0.57
193003,-2.27,-2.09
193103,-4.67,-4.49
193203,-1.39,-1.21
193303,1.21,1.39
193403,1.89,2.07
193503,1.54,1.72
193603,4.77,4.95
193703,1.83,2.01
193803,-1.12,-0.94
193903,3.39,3.57
194003,.23,0.41
194103,-1.41,-1.23
194203,-1.89,-1.71
194303,-1,-0.82
194403,.9,1.08
194503,-1.15,-0.97
194603,-1.36,-1.18
194703,-2.19,-2.01
194803,.91,1.09
194903,-.13,0.05
195003,-2.23,-2.05
195103,-1.55,-1.37
195203,2.03,2.21
195303,1.74,1.92
195403,-1.66,-1.48
195503,-2.48,-2.30
195603,-.61,-0.43
195703,-.33,-0.15
195803,2.38,2.56
195903,-1.23,-1.05
196003,-.45,-0.27
196103,2.05,2.23
196203,.69,0.87
196303,-1.12,-0.94
196403,.81,0.99
196503,-2.93,-2.75
196603,-5,-4.82
196703,-.79,-0.61
196803,-.76,-0.58
196903,-2.78,-2.60
197003,1.15,1.33
197103,-.47,-0.29
197203,1.89,2.07
197303,-.47,-0.29
197403,-.38,-0.20
197503,1.22,1.40
197603,-1.5,-1.32
197703,-1.77,-1.59
197803,2.7,2.88
197903,2.59,2.77
198003,.91,1.09
198103,-2.56,-2.38
198203,-1.45,-1.27
198303,1.12,1.30
198403,2.91,3.09
198503,-3.46,-3.28
198603,-1.78,-1.60
198703,-1.59,-1.41
198803,-2.35,-2.17
198903,1.02,1.20
199003,-1.35,-1.17
199103,-1.24,-1.06
199203,-2.31,-2.13
199303,1.69,1.87
199403,3.16,3.34
199503,-2.23,-2.05
199603,.93,1.11
199703,-.12,0.06
199803,2.44,2.62
199903,-2.08,-1.90
200003,1.55,1.73
200103,-.13,0.05
200203,-3.35,-3.17
200303,2.91,3.09
200403,2.52,2.70
200503,1.27,1.45
200603,-1.98,-1.80
200703,-.72,-0.54
200803,-2.77,-2.59
200903,-2.88,-2.70
201003,4.76,4.94
201103,-2.19,-2.01
201203,-2.99,-2.81
201303,-.54,-0.36
201403,2.39,2.57
201503,.75,0.93
201603,-.89,-0.71
