Utah, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,.5,0.21
189611,-.14,-0.43
189711,1.62,1.33
189811,-.83,-1.12
189911,-.76,-1.05
190011,-2.32,-2.61
190111,-2.8,-3.09
190211,.8,0.51
190311,-.73,-1.02
190411,-1.29,-1.58
190511,2.02,1.73
190611,5.13,4.84
190711,4.22,3.93
190811,3.91,3.62
190911,5.07,4.78
191011,.73,0.44
191111,-.11,-0.40
191211,3.05,2.76
191311,2.13,1.84
191411,2.7,2.41
191511,.68,0.39
191611,3.04,2.75
191711,-1.26,-1.55
191811,.36,0.07
191911,1.25,0.96
192011,3.17,2.88
192111,1.94,1.65
192211,2.68,2.39
192311,-.16,-0.45
192411,-2.17,-2.46
192511,-.03,-0.32
192611,-1.95,-2.24
192711,-.05,-0.34
192811,.87,0.58
192911,-1.01,-1.30
193011,1.43,1.14
193111,.54,0.25
193211,-1.42,-1.71
193311,-2.13,-2.42
193411,-5.6,-5.89
193511,-2.65,-2.94
193611,-.49,-0.78
193711,-1,-1.29
193811,.26,-0.03
193911,-1.82,-2.11
194011,1.48,1.19
194111,5.94,5.65
194211,-.79,-1.08
194311,-1.74,-2.03
194411,-1.34,-1.63
194511,.11,-0.18
194611,2.78,2.49
194711,3.4,3.11
194811,.66,0.37
194911,-.75,-1.04
195011,-2.35,-2.64
195111,.78,0.49
195211,-1.27,-1.56
195311,-2.24,-2.53
195411,-3.24,-3.53
195511,-2.37,-2.66
195611,-3.97,-4.26
195711,3.95,3.66
195811,-1.7,-1.99
195911,-3.36,-3.65
196011,-2.94,-3.23
196111,1.87,1.58
196211,-1.57,-1.86
196311,-2.01,-2.30
196411,.46,0.17
196511,5.23,4.94
196611,-2.14,-2.43
196711,-1.13,-1.42
196811,1.02,0.73
196911,-.24,-0.53
197011,.91,0.62
197111,1.2,0.91
197211,2.63,2.34
197311,3.02,2.73
197411,-2.52,-2.81
197511,-.25,-0.54
197611,-2.21,-2.50
197711,-4.7,-4.99
197811,1.92,1.63
197911,-1.04,-1.33
198011,-.36,-0.65
198111,1.19,0.90
198211,5.1,4.81
198311,6.73,6.44
198411,5.86,5.57
198511,4.19,3.90
198611,-.3,-0.59
198711,.76,0.47
198811,-1.64,-1.93
198911,-3.84,-4.13
199011,-4.16,-4.45
199111,-1.04,-1.33
199211,.06,-0.23
199311,.01,-0.28
199411,1.44,1.15
199511,-1.53,-1.82
199611,.85,0.56
199711,3.92,3.63
199811,4.76,4.47
199911,-1.93,-2.22
200011,-1.83,-2.12
200111,-2.67,-2.96
200211,-3.89,-4.18
200311,-4.41,-4.70
200411,2.37,2.08
200511,-.53,-0.82
200611,-.26,-0.55
200711,-3.44,-3.73
200811,-2.25,-2.54
200911,-2.4,-2.69
201011,1.24,0.95
201111,-.14,-0.43
201211,-4.33,-4.62
201311,-2.02,-2.31
201411,-2.15,-2.44
201511,-1.65,-1.94
