Alabama, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-.55,-0.42
189605,-2.15,-2.02
189705,-2.22,-2.09
189805,-5.37,-5.24
189905,-1.62,-1.49
190005,1.06,1.19
190105,1.53,1.66
190205,-1.46,-1.33
190305,1.15,1.28
190405,-2.96,-2.83
190505,-2,-1.87
190605,-1.47,-1.34
190705,2.05,2.18
190805,-.01,0.12
190905,2.12,2.25
191005,-.01,0.12
191105,-2.33,-2.20
191205,2.46,2.59
191305,-.83,-0.70
191405,-3.62,-3.49
191505,-2.54,-2.41
191605,-2.13,-2.00
191705,-.67,-0.54
191805,-2.21,-2.08
191905,2.41,2.54
192005,3.41,3.54
192105,-1.08,-0.95
192205,1.74,1.87
192305,2.1,2.23
192405,.51,0.64
192505,-3.34,-3.21
192605,.05,0.18
192705,-2.48,-2.35
192805,1.33,1.46
192905,3.37,3.50
193005,-2.09,-1.96
193105,-2.52,-2.39
193205,.33,0.46
193305,-.75,-0.62
193405,-2.8,-2.67
193505,-.64,-0.51
193605,-1.07,-0.94
193705,.9,1.03
193805,.76,0.89
193905,.88,1.01
194005,-.54,-0.41
194105,-3.49,-3.36
194205,-2.35,-2.22
194305,-.6,-0.47
194405,-.49,-0.36
194505,-.18,-0.05
194605,1.98,2.11
194705,2.98,3.11
194805,-.74,-0.61
194905,2.25,2.38
195005,-1.48,-1.35
195105,-.87,-0.74
195205,-1.16,-1.03
195305,-.87,-0.74
195405,-2.11,-1.98
195505,-2.72,-2.59
195605,-2.45,-2.32
195705,.71,0.84
195805,-1.04,-0.91
195905,.53,0.66
196005,-.37,-0.24
196105,1.93,2.06
196205,-1.31,-1.18
196305,-2.43,-2.30
196405,1.75,1.88
196505,-1.88,-1.75
196605,-.28,-0.15
196705,.44,0.57
196805,-1.15,-1.02
196905,.73,0.86
197005,-.81,-0.68
197105,1.26,1.39
197205,.17,0.30
197305,3.25,3.38
197405,1.66,1.79
197505,3.35,3.48
197605,3.68,3.81
197705,-.97,-0.84
197805,1.39,1.52
197905,2.54,2.67
198005,4.35,4.48
198105,-2.42,-2.29
198205,.42,0.55
198305,3.71,3.84
198405,.86,0.99
198505,-.02,0.11
198605,-2.73,-2.60
198705,-1.42,-1.29
198805,-2.88,-2.75
198905,.24,0.37
199005,.34,0.47
199105,2.59,2.72
199205,-1.6,-1.47
199305,-.44,-0.31
199405,-.39,-0.26
199505,-.87,-0.74
199605,1.57,1.70
199705,1.48,1.61
199805,-.8,-0.67
199905,-.04,0.09
200005,-3.59,-3.46
200105,.73,0.86
200205,-1.75,-1.62
200305,2.53,2.66
200405,-1.59,-1.46
200505,1.54,1.67
200605,-1.87,-1.74
200705,-4.22,-4.09
200805,-3.1,-2.97
200905,2.07,2.20
201005,-.35,-0.22
201105,-2.64,-2.51
201205,-3.05,-2.92
201305,1.3,1.43
201405,2.44,2.57
201505,-.65,-0.52
