North Carolina, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.19,1.20
189603,-1.69,-1.68
189703,1.06,1.07
189803,-3.04,-3.03
189903,3.85,3.86
190003,.88,0.89
190103,.18,0.19
190203,-.22,-0.21
190303,1.96,1.97
190403,-1.09,-1.08
190503,-.83,-0.82
190603,2.04,2.05
190703,-2.16,-2.15
190803,2.3,2.31
190903,1.53,1.54
191003,-2.21,-2.20
191103,-1.5,-1.49
191203,1.7,1.71
191303,.77,0.78
191403,-.46,-0.45
191503,-.56,-0.55
191603,-1.07,-1.06
191703,.82,0.83
191803,-2.3,-2.29
191903,-.3,-0.29
192003,.79,0.80
192103,-.9,-0.89
192203,1.9,1.91
192303,.58,0.59
192403,-.55,-0.54
192503,-1.56,-1.55
192603,-2.25,-2.24
192703,-4.15,-4.14
192803,-1,-0.99
192903,3.36,3.37
193003,-1.61,-1.60
193103,-3.59,-3.58
193203,-2.35,-2.34
193303,-1.02,-1.01
193403,.67,0.68
193503,-.58,-0.57
193603,2.26,2.27
193703,1.34,1.35
193803,-2.35,-2.34
193903,1.43,1.44
194003,-2.08,-2.07
194103,-2.09,-2.08
194203,-2.97,-2.96
194303,.42,0.43
194403,1.97,1.98
194503,-2.12,-2.11
194603,1.55,1.56
194703,-.89,-0.88
194803,2.14,2.15
194903,-1.29,-1.28
195003,-1.79,-1.78
195103,-1.76,-1.75
195203,-.58,-0.57
195303,-.55,-0.54
195403,-1.37,-1.36
195503,-3.48,-3.47
195603,.35,0.36
195703,-.55,-0.54
195803,2.18,2.19
195903,.33,0.34
196003,3.05,3.06
196103,.44,0.45
196203,1.27,1.28
196303,.13,0.14
196403,1.31,1.32
196503,1.98,1.99
196603,.59,0.60
196703,-1.48,-1.47
196803,-1.08,-1.07
196903,.49,0.50
197003,-.48,-0.47
197103,1.03,1.04
197203,1.33,1.34
197303,2.73,2.74
197403,.66,0.67
197503,3.04,3.05
197603,-1.51,-1.50
197703,-.31,-0.30
197803,1.86,1.87
197903,1.48,1.49
198003,1.33,1.34
198103,-3.13,-3.12
198203,1.02,1.03
198303,2.63,2.64
198403,2.3,2.31
198503,-2.24,-2.23
198603,-2.55,-2.54
198703,1.47,1.48
198803,-2.95,-2.94
198903,1,1.01
199003,2.59,2.60
199103,.78,0.79
199203,-1.69,-1.68
199303,2.9,2.91
199403,1.33,1.34
199503,-.49,-0.48
199603,1.63,1.64
199703,1.92,1.93
199803,2.68,2.69
199903,-2.43,-2.42
200003,-1.59,-1.58
200103,-1.47,-1.46
200203,-3.22,-3.21
200303,1.52,1.53
200403,-1.67,-1.66
200503,-.03,-0.02
200603,-2.16,-2.15
200703,-1.49,-1.48
200803,-4.84,-4.83
200903,.44,0.45
201003,-.1,-0.09
201103,-2.24,-2.23
201203,-2.96,-2.95
201303,.01,0.02
201403,1.68,1.69
201503,-.41,-0.40
