Minnesota, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.84,-1.19
189612,2.07,1.72
189712,-1.72,-2.07
189812,.77,0.42
189912,2.69,2.34
190012,2.97,2.62
190112,-.96,-1.31
190212,2.53,2.18
190312,4.53,4.18
190412,2.67,2.32
190512,4.85,4.50
190612,3.98,3.63
190712,1.86,1.51
190812,.84,0.49
190912,3.17,2.82
191012,-6.37,-6.72
191112,1.78,1.43
191212,-1.07,-1.42
191312,1.14,0.79
191412,-.95,-1.30
191512,2.07,1.72
191612,1.59,1.24
191712,-2.4,-2.75
191812,1.05,0.70
191912,1.94,1.59
192012,-1.32,-1.67
192112,-3.09,-3.44
192212,-3.47,-3.82
192312,-4.66,-5.01
192412,1.29,0.94
192512,-.38,-0.73
192612,2.6,2.25
192712,.42,0.07
192812,2.32,1.97
192912,-2.17,-2.52
193012,-2.6,-2.95
193112,-2.92,-3.27
193212,-2.85,-3.20
193312,-4.43,-4.78
193412,-5.32,-5.67
193512,.55,0.20
193612,-5.12,-5.47
193712,-3.16,-3.51
193812,-2.21,-2.56
193912,-3.78,-4.13
194012,.49,0.14
194112,1.8,1.45
194212,2.78,2.43
194312,1.34,0.99
194412,2.58,2.23
194512,2.86,2.51
194612,3.06,2.71
194712,-1.09,-1.44
194812,-2.58,-2.93
194912,.5,0.15
195012,-1.08,-1.43
195112,3.97,3.62
195212,-2.42,-2.77
195312,1.18,0.83
195412,-1.32,-1.67
195512,-2.21,-2.56
195612,-1.31,-1.66
195712,-.04,-0.39
195812,-1.84,-2.19
195912,1.44,1.09
196012,-1.14,-1.49
196112,.17,-0.18
196212,-.91,-1.26
196312,-2.34,-2.69
196412,.91,0.56
196512,4.99,4.64
196612,-.91,-1.26
196712,-3.15,-3.50
196812,4.53,4.18
196912,.78,0.43
197012,2.24,1.89
197112,3.32,2.97
197212,3.41,3.06
197312,2.96,2.61
197412,-1.43,-1.78
197512,.23,-0.12
197612,-6.83,-7.18
197712,3.86,3.51
197812,1.82,1.47
197912,2.69,2.34
198012,-2.05,-2.40
198112,2.14,1.79
198212,3.9,3.55
198312,3.49,3.14
198412,2.64,2.29
198512,4.28,3.93
198612,-.14,-0.49
198712,-3.1,-3.45
198812,-4.34,-4.69
198912,-3.85,-4.20
199012,-.98,-1.33
199112,3.21,2.86
199212,2.69,2.34
199312,4.7,4.35
199412,2.82,2.47
199512,3.41,3.06
199612,3.38,3.03
199712,1.36,1.01
199812,1.4,1.05
199912,2.1,1.75
200012,2.29,1.94
200112,-.98,-1.33
200212,-.18,-0.53
200312,-2.6,-2.95
200412,2.86,2.51
200512,3.71,3.36
200612,-2.72,-3.07
200712,1.72,1.37
200812,2.4,2.05
200912,2.21,1.86
201012,4.74,4.39
201112,-3.21,-3.56
201212,-3.68,-4.03
201312,.48,0.13
201412,-1.31,-1.66
201512,2.59,2.24
