New Mexico, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.04,0.86
189603,-.83,-1.01
189703,2.24,2.06
189803,1.94,1.76
189903,-.93,-1.11
190003,-1.23,-1.41
190103,-.75,-0.93
190203,-1.48,-1.66
190303,.84,0.66
190403,-4.32,-4.50
190503,4.65,4.47
190603,5.55,5.37
190703,3.53,3.35
190803,2.31,2.13
190903,-.79,-0.97
191003,-2.47,-2.65
191103,.96,0.78
191203,1.5,1.32
191303,1.08,0.90
191403,-.79,-0.97
191503,4.31,4.13
191603,3.36,3.18
191703,-.51,-0.69
191803,-2.69,-2.87
191903,2.9,2.72
192003,4.33,4.15
192103,-1.44,-1.62
192203,-1.99,-2.17
192303,.73,0.55
192403,3.31,3.13
192503,-3,-3.18
192603,1.3,1.12
192703,-.64,-0.82
192803,-.44,-0.62
192903,.6,0.42
193003,-.67,-0.85
193103,1.44,1.26
193203,3.06,2.88
193303,-.52,-0.70
193403,-2.5,-2.68
193503,-3.22,-3.40
193603,-.39,-0.57
193703,.94,0.76
193803,-.91,-1.09
193903,.89,0.71
194003,.25,0.07
194103,3.11,2.93
194203,8.2,8.02
194303,-1.01,-1.19
194403,.6,0.42
194503,-.37,-0.55
194603,-2.06,-2.24
194703,-1.93,-2.11
194803,1.85,1.67
194903,.87,0.69
195003,-2.26,-2.44
195103,-2.75,-2.93
195203,-2.75,-2.93
195303,-2.3,-2.48
195403,-3.8,-3.98
195503,-3.48,-3.66
195603,-3.39,-3.57
195703,-4.6,-4.78
195803,2.88,2.70
195903,-1.84,-2.02
196003,-.23,-0.41
196103,1.27,1.09
196203,-.26,-0.44
196303,-.38,-0.56
196403,-1.86,-2.04
196503,.17,-0.01
196603,-.47,-0.65
196703,-2.85,-3.03
196803,1.18,1.00
196903,.38,0.20
197003,-.25,-0.43
197103,-2.81,-2.99
197203,-2.1,-2.28
197303,4.61,4.43
197403,-2.39,-2.57
197503,2.8,2.62
197603,-1.71,-1.89
197703,-1.39,-1.57
197803,.58,0.40
197903,2.56,2.38
198003,2.34,2.16
198103,-2.11,-2.29
198203,-.62,-0.80
198303,2.17,1.99
198403,.9,0.72
198503,4.18,4.00
198603,2.71,2.53
198703,5.7,5.52
198803,3.08,2.90
198903,-1.27,-1.45
199003,-1.88,-2.06
199103,1.26,1.08
199203,4.06,3.88
199303,4.08,3.90
199403,-1.17,-1.35
199503,-.54,-0.72
199603,-3.23,-3.41
199703,.28,0.10
199803,2.34,2.16
199903,-1.56,-1.74
200003,-2.42,-2.60
200103,2.7,2.52
200203,-2.06,-2.24
200303,-1.89,-2.07
200403,.11,-0.07
200503,3.41,3.23
200603,-3.17,-3.35
200703,1.89,1.71
200803,-1.2,-1.38
200903,-2.26,-2.44
201003,1.89,1.71
201103,-2.97,-3.15
201203,-3.72,-3.90
201303,-4.74,-4.92
201403,-3.55,-3.73
201503,.33,0.15
201603,-1.52,-1.70
