New York, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.84,-1.64
189612,-1.85,-1.65
189712,1.06,1.26
189812,1.61,1.81
189912,.14,0.34
190012,-1.94,-1.74
190112,1.97,2.17
190212,2.11,2.31
190312,2.37,2.57
190412,-1.22,-1.02
190512,-.15,0.05
190612,-.4,-0.20
190712,2.26,2.46
190812,-4.76,-4.56
190912,-3.67,-3.47
191012,-2.43,-2.23
191112,-1.78,-1.58
191212,.75,0.95
191312,-2.34,-2.14
191412,-2.07,-1.87
191512,2.16,2.36
191612,-1.75,-1.55
191712,-1.21,-1.01
191812,-.45,-0.25
191912,-.7,-0.50
192012,1.1,1.30
192112,-.64,-0.44
192212,-2.17,-1.97
192312,-1.8,-1.60
192412,-1.75,-1.55
192512,-.43,-0.23
192612,-.46,-0.26
192712,3.51,3.71
192812,.93,1.13
192912,.4,0.60
193012,-4.52,-4.32
193112,-.05,0.15
193212,-.58,-0.38
193312,-.54,-0.34
193412,-2.54,-2.34
193512,-.78,-0.58
193612,.05,0.25
193712,-.34,-0.14
193812,-1,-0.80
193912,-3.64,-3.44
194012,-.24,-0.04
194112,-3.48,-3.28
194212,2.4,2.60
194312,-1.06,-0.86
194412,.16,0.36
194512,-.5,-0.30
194612,.08,0.28
194712,-2.35,-2.15
194812,.66,0.86
194912,-3.28,-3.08
195012,1.38,1.58
195112,2.23,2.43
195212,.49,0.69
195312,-3.42,-3.22
195412,1.25,1.45
195512,1.4,1.60
195612,-.66,-0.46
195712,.5,0.70
195812,-.91,-0.71
195912,2.35,2.55
196012,-2.04,-1.84
196112,-2.39,-2.19
196212,-1.89,-1.69
196312,-3.43,-3.23
196412,-5.87,-5.67
196512,-3.76,-3.56
196612,-2.61,-2.41
196712,-.05,0.15
196812,1.4,1.60
196912,1.28,1.48
197012,.83,1.03
197112,-.67,-0.47
197212,4.47,4.67
197312,1.58,1.78
197412,2.01,2.21
197512,3.03,3.23
197612,3.65,3.85
197712,5.43,5.63
197812,.38,0.58
197912,-.54,-0.34
198012,-1.2,-1.00
198112,-.64,-0.44
198212,-1.72,-1.52
198312,1.79,1.99
198412,-.72,-0.52
198512,-.34,-0.14
198612,2.84,3.04
198712,-.58,-0.38
198812,-1.49,-1.29
198912,1.59,1.79
199012,3.68,3.88
199112,-2.15,-1.95
199212,2.71,2.91
199312,.76,0.96
199412,-.69,-0.49
199512,1.32,1.52
199612,4.66,4.86
199712,1.43,1.63
199812,-2.45,-2.25
199912,.11,0.31
200012,-.15,0.05
200112,-3.45,-3.25
200212,.86,1.06
200312,3.82,4.02
200412,3.5,3.70
200512,2.5,2.70
200612,3.71,3.91
200712,1.73,1.93
200812,3.53,3.73
200912,-.44,-0.24
201012,1.82,2.02
201112,.14,0.34
201212,1.12,1.32
201312,2.24,2.44
201412,-.24,-0.04
201512,0,0.20
