Maryland, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.42,0.57
189601,-3.13,-2.98
189701,-3.58,-3.43
189801,.02,0.17
189901,.82,0.97
190001,-1.13,-0.98
190101,-2.76,-2.61
190201,1.32,1.47
190301,2.45,2.60
190401,-.67,-0.52
190501,-.3,-0.15
190601,1.17,1.32
190701,2.03,2.18
190801,3.33,3.48
190901,-1.44,-1.29
191001,-1.51,-1.36
191101,-1.19,-1.04
191201,1.57,1.72
191301,-.57,-0.42
191401,-1.13,-0.98
191501,1.2,1.35
191601,-.79,-0.64
191701,-1.02,-0.87
191801,-.34,-0.19
191901,.11,0.26
192001,1.29,1.44
192101,-.46,-0.31
192201,.38,0.53
192301,.39,0.54
192401,.37,0.52
192501,-.44,-0.29
192601,-1.94,-1.79
192701,-.67,-0.52
192801,.46,0.61
192901,-1.57,-1.42
193001,-.38,-0.23
193101,-7.02,-6.87
193201,.55,0.70
193301,1.65,1.80
193401,-1.08,-0.93
193501,1.8,1.95
193601,3.43,3.58
193701,2.2,2.35
193801,-.85,-0.70
193901,1.38,1.53
194001,-1.1,-0.95
194101,-.36,-0.21
194201,-3.61,-3.46
194301,-.1,0.05
194401,.12,0.27
194501,.7,0.85
194601,-.6,-0.45
194701,-.91,-0.76
194801,1.01,1.16
194901,4.03,4.18
195001,-2.29,-2.14
195101,-.36,-0.21
195201,1.65,1.80
195301,1.9,2.05
195401,-2.35,-2.20
195501,-3.78,-3.63
195601,-1.2,-1.05
195701,-.14,0.01
195801,1.12,1.27
195901,-.8,-0.65
196001,.24,0.39
196101,.84,0.99
196201,-.1,0.05
196301,-1.77,-1.62
196401,.75,0.90
196501,-3.04,-2.89
196601,-5.08,-4.93
196701,-.9,-0.75
196801,-.26,-0.11
196901,-2.15,-2.00
197001,.95,1.10
197101,.16,0.31
197201,1.69,1.84
197301,3.84,3.99
197401,.6,0.75
197501,.82,0.97
197601,3.64,3.79
197701,-1.02,-0.87
197801,3.43,3.58
197901,1.99,2.14
198001,-.77,-0.62
198101,-3.03,-2.88
198201,.12,0.27
198301,-1.92,-1.77
198401,1.58,1.73
198501,-1.66,-1.51
198601,-.69,-0.54
198701,-1.05,-0.90
198801,-1.79,-1.64
198901,-2.49,-2.34
199001,-.26,-0.11
199101,1.02,1.17
199201,-4.01,-3.86
199301,1.13,1.28
199401,1.13,1.28
199501,-1.54,-1.39
199601,2.12,2.27
199701,-.34,-0.19
199801,1.61,1.76
199901,-3.84,-3.69
200001,1.19,1.34
200101,-1.14,-0.99
200201,-3.71,-3.56
200301,1.33,1.48
200401,4.74,4.89
200501,2.94,3.09
200601,0,0.15
200701,-.65,-0.50
200801,-3.68,-3.53
200901,-1,-0.85
201001,3.62,3.77
201101,-1.95,-1.80
201201,-.46,-0.31
201301,-.19,-0.04
201401,1.49,1.64
201501,-.15,0.00
201601,0,0.15
