South Dakota, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,2.14,1.43
189604,3.15,2.44
189704,5.68,4.97
189804,-1.22,-1.93
189904,-1.36,-2.07
190004,-1.14,-1.85
190104,-1.98,-2.69
190204,1.91,1.20
190304,1.31,0.60
190404,1.69,0.98
190504,-1.27,-1.98
190604,4.51,3.80
190704,5.2,4.49
190804,3.11,2.40
190904,4.29,3.58
191004,-1.44,-2.15
191104,-3.38,-4.09
191204,1.31,0.60
191304,-1.6,-2.31
191404,.33,-0.38
191504,1.26,0.55
191604,6.76,6.05
191704,5.76,5.05
191804,1.48,0.77
191904,2.19,1.48
192004,3.83,3.12
192104,2.44,1.73
192204,1.44,0.73
192304,1.22,0.51
192404,2.37,1.66
192504,-1.66,-2.37
192604,-2.6,-3.31
192704,1.5,0.79
192804,-.65,-1.36
192904,2.3,1.59
193004,1.74,1.03
193104,-1.09,-1.80
193204,-1.49,-2.20
193304,-1.47,-2.18
193404,-4.84,-5.55
193504,-3.43,-4.14
193604,-1.99,-2.70
193704,-3.39,-4.10
193804,-2.33,-3.04
193904,-3,-3.71
194004,-2.4,-3.11
194104,-2.39,-3.10
194204,1,0.29
194304,-.92,-1.63
194404,.77,0.06
194504,2.95,2.24
194604,.64,-0.07
194704,4.28,3.57
194804,1.61,0.90
194904,-.7,-1.41
195004,.78,0.07
195104,-.84,-1.55
195204,-.74,-1.45
195304,2.19,1.48
195404,-.88,-1.59
195504,-2.63,-3.34
195604,-3.06,-3.77
195704,.39,-0.32
195804,3.11,2.40
195904,-2.8,-3.51
196004,.44,-0.27
196104,-1.9,-2.61
196204,-.62,-1.33
196304,2.22,1.51
196404,-.96,-1.67
196504,.12,-0.59
196604,2.11,1.40
196704,.27,-0.44
196804,.81,0.10
196904,-.68,-1.39
197004,1.36,0.65
197104,1.58,0.87
197204,2.64,1.93
197304,3.69,2.98
197404,-.75,-1.46
197504,1.38,0.67
197604,-1.2,-1.91
197704,-.47,-1.18
197804,3.3,2.59
197904,2.34,1.63
198004,-2.11,-2.82
198104,-4.7,-5.41
198204,-.4,-1.11
198304,4.96,4.25
198404,4.52,3.81
198504,-.47,-1.18
198604,3.59,2.88
198704,-.91,-1.62
198804,-2.34,-3.05
198904,-2.49,-3.20
199004,-2.9,-3.61
199104,.31,-0.40
199204,-.89,-1.60
199304,2.13,1.42
199404,5.64,4.93
199504,5.15,4.44
199604,4.66,3.95
199704,7.71,7.00
199804,4.29,3.58
199904,5.73,5.02
200004,3.48,2.77
200104,3.07,2.36
200204,-1.7,-2.41
200304,-2.13,-2.84
200404,-2.98,-3.69
200504,-1.25,-1.96
200604,-.17,-0.88
200704,.95,0.24
200804,0,-0.71
200904,5.47,4.76
201004,6.36,5.65
201104,7.25,6.54
201204,-1.4,-2.11
201304,.53,-0.18
201404,4.48,3.77
201504,1.25,0.54
