Mississippi, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.08,-0.88
189612,-3.25,-3.05
189712,-3.35,-3.15
189812,-.53,-0.33
189912,-3.46,-3.26
190012,-.7,-0.50
190112,-.31,-0.11
190212,.06,0.26
190312,-2.87,-2.67
190412,-.02,0.18
190512,-.32,-0.12
190612,-.39,-0.19
190712,-.18,0.02
190812,-1.57,-1.37
190912,-1.5,-1.30
191012,-1.29,-1.09
191112,1.66,1.86
191212,2.37,2.57
191312,-1.06,-0.86
191412,.37,0.57
191512,-.3,-0.10
191612,-1.38,-1.18
191712,-2.65,-2.45
191812,.87,1.07
191912,2.7,2.90
192012,2.2,2.40
192112,-3.31,-3.11
192212,.27,0.47
192312,3.22,3.42
192412,-3.88,-3.68
192512,-.52,-0.32
192612,.86,1.06
192712,-.59,-0.39
192812,-1.56,-1.36
192912,-.45,-0.25
193012,-1.95,-1.75
193112,1.28,1.48
193212,2.86,3.06
193312,-2.63,-2.43
193412,-.24,-0.04
193512,-1.72,-1.52
193612,-3.31,-3.11
193712,-1.35,-1.15
193812,-2.49,-2.29
193912,-1.9,-1.70
194012,.7,0.90
194112,-1.74,-1.54
194212,-1.34,-1.14
194312,-2.96,-2.76
194412,.43,0.63
194512,.87,1.07
194612,1.7,1.90
194712,.59,0.79
194812,2,2.20
194912,1.33,1.53
195012,1.61,1.81
195112,-1.73,-1.53
195212,-3.78,-3.58
195312,-1.86,-1.66
195412,-4.26,-4.06
195512,-2.54,-2.34
195612,-2.34,-2.14
195712,2.83,3.03
195812,-1.29,-1.09
195912,-.34,-0.14
196012,-.88,-0.68
196112,4.4,4.60
196212,-2.75,-2.55
196312,-3.49,-3.29
196412,1.02,1.22
196512,-2.92,-2.72
196612,-1.62,-1.42
196712,1.88,2.08
196812,.96,1.16
196912,-.64,-0.44
197012,-.71,-0.51
197112,1.27,1.47
197212,1.42,1.62
197312,2.75,2.95
197412,3.61,3.81
197512,-.41,-0.21
197612,-.37,-0.17
197712,-.63,-0.43
197812,.17,0.37
197912,3.62,3.82
198012,-1.76,-1.56
198112,-2.87,-2.67
198212,3.11,3.31
198312,3.94,4.14
198412,-1.07,-0.87
198512,-1.09,-0.89
198612,1.56,1.76
198712,-1.2,-1.00
198812,1.3,1.50
198912,2.67,2.87
199012,.67,0.87
199112,-.17,0.03
199212,2.17,2.37
199312,.72,0.92
199412,-.5,-0.30
199512,.58,0.78
199612,.42,0.62
199712,1.74,1.94
199812,-1.89,-1.69
199912,-2.86,-2.66
200012,.89,1.09
200112,3.12,3.32
200212,3.79,3.99
200312,2.39,2.59
200412,3,3.20
200512,-1.49,-1.29
200612,-1.12,-0.92
200712,-2.85,-2.65
200812,2.31,2.51
200912,3.89,4.09
201012,-2.85,-2.65
201112,-1.49,-1.29
201212,1.92,2.12
201312,1.61,1.81
201412,-.21,-0.01
201512,1.24,1.44
