South Dakota, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.89,0.73
189609,2.99,1.83
189709,-.73,-1.89
189809,-1.56,-2.72
189909,-.67,-1.83
190009,2.03,0.87
190109,1.43,0.27
190209,2,0.84
190309,3.74,2.58
190409,-.28,-1.44
190509,5.42,4.26
190609,7.1,5.94
190709,6.71,5.55
190809,4.77,3.61
190909,5.44,4.28
191009,-2.36,-3.52
191109,.83,-0.33
191209,2.02,0.86
191309,-2.04,-3.20
191409,1.03,-0.13
191509,7.9,6.74
191609,7.41,6.25
191709,3.78,2.62
191809,1.57,0.41
191909,1.1,-0.06
192009,5.49,4.33
192109,2.15,0.99
192209,-1.15,-2.31
192309,4.37,3.21
192409,2.56,1.40
192509,-2.52,-3.68
192609,.45,-0.71
192709,3.93,2.77
192809,1.32,0.16
192909,1.99,0.83
193009,-1.16,-2.32
193109,-4.05,-5.21
193209,-1.28,-2.44
193309,-3.59,-4.75
193409,-7.22,-8.38
193509,-3.1,-4.26
193609,-7.24,-8.40
193709,-3.64,-4.80
193809,-2.34,-3.50
193909,-4.42,-5.58
194009,-4.48,-5.64
194109,.87,-0.29
194209,5.13,3.97
194309,-.58,-1.74
194409,3.98,2.82
194509,4.16,3.00
194609,3.24,2.08
194709,3.05,1.89
194809,1.46,0.30
194909,.02,-1.14
195009,1.47,0.31
195109,2.81,1.65
195209,-1.79,-2.95
195309,-.51,-1.67
195409,-.9,-2.06
195509,-3.89,-5.05
195609,-3.03,-4.19
195709,3.62,2.46
195809,-1.32,-2.48
195909,.77,-0.39
196009,-.26,-1.42
196109,.58,-0.58
196209,5.37,4.21
196309,2.34,1.18
196409,-.88,-2.04
196509,3.48,2.32
196609,1.66,0.50
196709,-.32,-1.48
196809,2.1,0.94
196909,-1.08,-2.24
197009,-.03,-1.19
197109,1.26,0.10
197209,3.71,2.55
197309,2.42,1.26
197409,-2.73,-3.89
197509,-.93,-2.09
197609,-4.36,-5.52
197709,1.74,0.58
197809,4.07,2.91
197909,-.67,-1.83
198009,-4.11,-5.27
198109,-4.2,-5.36
198209,3.14,1.98
198309,4.58,3.42
198409,4.86,3.70
198509,1.36,0.20
198609,6.45,5.29
198709,-1.21,-2.37
198809,-4.13,-5.29
198909,-3.27,-4.43
199009,-2.51,-3.67
199109,-.54,-1.70
199209,2.08,0.92
199309,7.36,6.20
199409,3.71,2.55
199509,6.36,5.20
199609,5.88,4.72
199709,7.31,6.15
199809,3.86,2.70
199909,7.87,6.71
200009,1.2,0.04
200109,-.4,-1.56
200209,-3.35,-4.51
200309,-2.58,-3.74
200409,1.52,0.36
200509,-.07,-1.23
200609,1.5,0.34
200709,.88,-0.28
200809,3.2,2.04
200909,5.51,4.35
201009,9.16,8.00
201109,-.37,-1.53
201209,-5.05,-6.21
201309,2.2,1.04
201409,6.4,5.24
201509,4.11,2.95
