Maine, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.42,-1.28
189605,-1.21,-1.07
189705,.73,0.87
189805,-.92,-0.78
189905,-1.45,-1.31
190005,3.61,3.75
190105,-.17,-0.03
190205,2.49,2.63
190305,-1.78,-1.64
190405,.81,0.95
190505,-2.73,-2.59
190605,1.08,1.22
190705,.28,0.42
190805,.48,0.62
190905,2.31,2.45
191005,-.88,-0.74
191105,-3.7,-3.56
191205,1.52,1.66
191305,-.41,-0.27
191405,-.76,-0.62
191505,-2.43,-2.29
191605,.42,0.56
191705,.68,0.82
191805,-2.18,-2.04
191905,.5,0.64
192005,1.91,2.05
192105,-1.69,-1.55
192205,-2.76,-2.62
192305,-.58,-0.44
192405,-1.1,-0.96
192505,-2.41,-2.27
192605,-.53,-0.39
192705,.77,0.91
192805,2.41,2.55
192905,1.16,1.30
193005,-1.32,-1.18
193105,-.02,0.12
193205,-1.35,-1.21
193305,-.32,-0.18
193405,-.8,-0.66
193505,-1.29,-1.15
193605,3.27,3.41
193705,.57,0.71
193805,.27,0.41
193905,-.53,-0.39
194005,1.41,1.55
194105,-2.63,-2.49
194205,-2.04,-1.90
194305,.32,0.46
194405,-2.5,-2.36
194505,1.93,2.07
194605,-.77,-0.63
194705,1.1,1.24
194805,-1.91,-1.77
194905,-2.69,-2.55
195005,-3.09,-2.95
195105,2.59,2.73
195205,-.66,-0.52
195305,-.25,-0.11
195405,1.97,2.11
195505,-.85,-0.71
195605,-1.39,-1.25
195705,-2.99,-2.85
195805,1.59,1.73
195905,-2.01,-1.87
196005,.12,0.26
196105,1.46,1.60
196205,-1.66,-1.52
196305,-.43,-0.29
196405,-1.77,-1.63
196505,-3.6,-3.46
196605,-3.45,-3.31
196705,.84,0.98
196805,-1.02,-0.88
196905,.89,1.03
197005,.99,1.13
197105,-.59,-0.45
197205,.93,1.07
197305,3.84,3.98
197405,4.32,4.46
197505,-1.44,-1.30
197605,1.88,2.02
197705,1.03,1.17
197805,-1.27,-1.13
197905,3.25,3.39
198005,-2.05,-1.91
198105,-1.62,-1.48
198205,-1.02,-0.88
198305,3.67,3.81
198405,3.78,3.92
198505,-3.38,-3.24
198605,.14,0.28
198705,-1.56,-1.42
198805,-2.41,-2.27
198905,1.3,1.44
199005,.86,1.00
199105,-.06,0.08
199205,-1.49,-1.35
199305,-.52,-0.38
199405,1.66,1.80
199505,-.95,-0.81
199605,2.63,2.77
199705,2.42,2.56
199805,.56,0.70
199905,-1.72,-1.58
200005,2.71,2.85
200105,-3.01,-2.87
200205,-2.74,-2.60
200305,-2.33,-2.19
200405,-1.79,-1.65
200505,3.27,3.41
200605,3.02,3.16
200705,3.76,3.90
200805,2.58,2.72
200905,2.74,2.88
201005,-1.39,-1.25
201105,3.29,3.43
201205,.49,0.63
201305,.84,0.98
201405,1.72,1.86
201505,-1.61,-1.47
