South Carolina, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.43,1.38
189601,-2.09,-2.14
189701,-1.96,-2.01
189801,-2.04,-2.09
189901,2.45,2.40
190001,-2.04,-2.09
190101,.57,0.52
190201,1.9,1.85
190301,.98,0.93
190401,-.83,-0.88
190501,-1.73,-1.78
190601,1.58,1.53
190701,-1.52,-1.57
190801,2.53,2.48
190901,1.3,1.25
191001,-.83,-0.88
191101,-1.08,-1.13
191201,1.63,1.58
191301,1.23,1.18
191401,.34,0.29
191501,1.81,1.76
191601,-.78,-0.83
191701,-1.9,-1.95
191801,-.72,-0.77
191901,.79,0.74
192001,-2.4,-2.45
192101,-.06,-0.11
192201,-1.87,-1.92
192301,1.65,1.60
192401,-.7,-0.75
192501,4.53,4.48
192601,-2.73,-2.78
192701,-4.14,-4.19
192801,-2.96,-3.01
192901,3.18,3.13
193001,4.55,4.50
193101,-1.63,-1.68
193201,-3.58,-3.63
193301,-.46,-0.51
193401,-4.64,-4.69
193501,-2.44,-2.49
193601,1.78,1.73
193701,1.38,1.33
193801,-.86,-0.91
193901,-1.58,-1.63
194001,-2.06,-2.11
194101,-1.87,-1.92
194201,.43,0.38
194301,-.65,-0.70
194401,0,-0.05
194501,-2.92,-2.97
194601,.04,-0.01
194701,-.4,-0.45
194801,3.31,3.26
194901,2.82,2.77
195001,-1.28,-1.33
195101,-1.33,-1.38
195201,-2.83,-2.88
195301,-1.52,-1.57
195401,-1.25,-1.30
195501,-4.17,-4.22
195601,-3.1,-3.15
195701,-3.14,-3.19
195801,1.89,1.84
195901,-1.78,-1.83
196001,3.93,3.88
196101,-1.27,-1.32
196201,.76,0.71
196301,.73,0.68
196401,1.73,1.68
196501,3.9,3.85
196601,2.11,2.06
196701,-.51,-0.56
196801,1.95,1.90
196901,.81,0.76
197001,1.57,1.52
197101,.31,0.26
197201,3.2,3.15
197301,2.25,2.20
197401,-.8,-0.85
197501,1.67,1.62
197601,.01,-0.04
197701,.03,-0.02
197801,1.44,1.39
197901,.48,0.43
198001,2.46,2.41
198101,-2.96,-3.01
198201,1.43,1.38
198301,1.23,1.18
198401,1.63,1.58
198501,-2.61,-2.66
198601,-.88,-0.93
198701,2.13,2.08
198801,-1.08,-1.13
198901,-2.2,-2.25
199001,-.13,-0.18
199101,2.59,2.54
199201,-1.4,-1.45
199301,3.99,3.94
199401,-1.93,-1.98
199501,3.94,3.89
199601,-.07,-0.12
199701,.7,0.65
199801,3.9,3.85
199901,-2.28,-2.33
200001,-.62,-0.67
200101,-2.34,-2.39
200201,-4.93,-4.98
200301,.81,0.76
200401,-1.18,-1.23
200501,-1.07,-1.12
200601,-.26,-0.31
200701,-.07,-0.12
200801,-4.02,-4.07
200901,-.65,-0.70
201001,2.99,2.94
201101,-3.87,-3.92
201201,-5.06,-5.11
201301,-1.14,-1.19
201401,.63,0.58
201501,.69,0.64
201601,3.98,3.93
