New Hampshire, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.76,-0.53
189604,-1.15,-0.92
189704,-1,-0.77
189804,2.21,2.44
189904,-.93,-0.70
190004,-.9,-0.67
190104,1.43,1.66
190204,1.84,2.07
190304,-.76,-0.53
190404,1.3,1.53
190504,-2.52,-2.29
190604,-1.5,-1.27
190704,-2.08,-1.85
190804,-.84,-0.61
190904,-1.61,-1.38
191004,-2.4,-2.17
191104,-3.41,-3.18
191204,.43,0.66
191304,-.69,-0.46
191404,1.5,1.73
191504,-3.87,-3.64
191604,.18,0.41
191704,-1.51,-1.28
191804,-2.05,-1.82
191904,-.46,-0.23
192004,2.22,2.45
192104,-1.02,-0.79
192204,.61,0.84
192304,-.75,-0.52
192404,.96,1.19
192504,-1.27,-1.04
192604,-.59,-0.36
192704,-1.94,-1.71
192804,1.93,2.16
192904,1.38,1.61
193004,-2.56,-2.33
193104,-3.14,-2.91
193204,-1.04,-0.81
193304,2.4,2.63
193404,-.03,0.20
193504,-1.01,-0.78
193604,3.33,3.56
193704,1.48,1.71
193804,-.99,-0.76
193904,2.74,2.97
194004,1.28,1.51
194104,-2.88,-2.65
194204,-2.27,-2.04
194304,.33,0.56
194404,-1,-0.77
194504,.23,0.46
194604,-1.3,-1.07
194704,-.64,-0.41
194804,-2.8,-2.57
194904,-2.48,-2.25
195004,-2.33,-2.10
195104,1.86,2.09
195204,1.97,2.20
195304,3.22,3.45
195404,.98,1.21
195504,-.55,-0.32
195604,1.12,1.35
195704,-2.92,-2.69
195804,-.27,-0.04
195904,-1.16,-0.93
196004,1.85,2.08
196104,-.82,-0.59
196204,-1.86,-1.63
196304,-1.04,-0.81
196404,-1.54,-1.31
196504,-3.96,-3.73
196604,-3.66,-3.43
196704,-1.81,-1.58
196804,.05,0.28
196904,1.66,1.89
197004,-.06,0.17
197104,-1.13,-0.90
197204,1.05,1.28
197304,1.99,2.22
197404,2.44,2.67
197504,-.13,0.10
197604,1.63,1.86
197704,-.08,0.15
197804,-1.26,-1.03
197904,.13,0.36
198004,-1.35,-1.12
198104,1.01,1.24
198204,1.84,2.07
198304,2.54,2.77
198404,2.32,2.55
198504,-2.77,-2.54
198604,-1.05,-0.82
198704,1.13,1.36
198804,-1.21,-0.98
198904,.11,0.34
199004,.77,1.00
199104,-.89,-0.66
199204,-.74,-0.51
199304,.57,0.80
199404,.48,0.71
199504,-1.6,-1.37
199604,3.07,3.30
199704,3.19,3.42
199804,-.66,-0.43
199904,-1.43,-1.20
200004,1.69,1.92
200104,-1.19,-0.96
200204,-2.37,-2.14
200304,-1.76,-1.53
200404,.85,1.08
200504,1.8,2.03
200604,2.04,2.27
200704,4.66,4.89
200804,4.07,4.30
200904,2.73,2.96
201004,3.57,3.80
201104,2.43,2.66
201204,-2.15,-1.92
201304,-1.41,-1.18
201404,1.06,1.29
201504,-1.29,-1.06
