California, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-1.22,-1.07
189612,2.7,2.85
189712,-1.21,-1.06
189812,-2.56,-2.41
189912,2.29,2.44
190012,1.55,1.70
190112,-.92,-0.77
190212,1.41,1.56
190312,-.68,-0.53
190412,1.62,1.77
190512,-1.6,-1.45
190612,3.69,3.84
190712,-.66,-0.51
190812,-1.06,-0.91
190912,1.79,1.94
191012,-2.74,-2.59
191112,-1.74,-1.59
191212,-.96,-0.81
191312,1.89,2.04
191412,.05,0.20
191512,1.37,1.52
191612,-.19,-0.04
191712,-2.57,-2.42
191812,-1.43,-1.28
191912,-1.93,-1.78
192012,2.57,2.72
192112,.85,1.00
192212,.99,1.14
192312,-1.65,-1.50
192412,-.04,0.11
192512,-1.16,-1.01
192612,1.29,1.44
192712,-.22,-0.07
192812,-1.65,-1.50
192912,-2.49,-2.34
193012,-2.22,-2.07
193112,1.53,1.68
193212,-1.91,-1.76
193312,-1.01,-0.86
193412,.43,0.58
193512,-1.34,-1.19
193612,.17,0.32
193712,.95,1.10
193812,-.97,-0.82
193912,-2.53,-2.38
194012,1.46,1.61
194112,3.91,4.06
194212,1.99,2.14
194312,-1.35,-1.20
194412,-.29,-0.14
194512,2.63,2.78
194612,-.86,-0.71
194712,-2.31,-2.16
194812,-.73,-0.58
194912,-2.67,-2.52
195012,1.75,1.90
195112,1.88,2.03
195212,1.83,1.98
195312,-1.43,-1.28
195412,-.94,-0.79
195512,2.4,2.55
195612,-2.07,-1.92
195712,2.27,2.42
195812,-2.41,-2.26
195912,-4.43,-4.28
196012,-2.12,-1.97
196112,-1.77,-1.62
196212,-1.03,-0.88
196312,-.98,-0.83
196412,2.39,2.54
196512,1.56,1.71
196612,1.49,1.64
196712,-.78,-0.63
196812,.59,0.74
196912,.34,0.49
197012,2.27,2.42
197112,.49,0.64
197212,1.09,1.24
197312,2.14,2.29
197412,-1.4,-1.25
197512,-1.5,-1.35
197612,-3.86,-3.71
197712,.59,0.74
197812,-1.63,-1.48
197912,.31,0.46
198012,-2.09,-1.94
198112,2.32,2.47
198212,4.99,5.14
198312,7.14,7.29
198412,-.06,0.09
198512,.44,0.59
198612,-2.01,-1.86
198712,-2.3,-2.15
198812,-1.53,-1.38
198912,-2.11,-1.96
199012,-3.95,-3.80
199112,-2.43,-2.28
199212,.9,1.05
199312,-1.53,-1.38
199412,.29,0.44
199512,2.18,2.33
199612,3.44,3.59
199712,.42,0.57
199812,-.63,-0.48
199912,-2.12,-1.97
200012,-1.93,-1.78
200112,-1.41,-1.26
200212,1.6,1.75
200312,.66,0.81
200412,1.73,1.88
200512,3.46,3.61
200612,-2.02,-1.87
200712,-3.75,-3.60
200812,-3.99,-3.84
200912,-2.99,-2.84
201012,3.14,3.29
201112,-1.63,-1.48
201212,1.08,1.23
201312,-4.37,-4.22
201412,-3.97,-3.82
201512,-3.62,-3.47
