Mississippi, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.19,-1.10
189605,-1.54,-1.45
189705,-2.68,-2.59
189805,-3.81,-3.72
189905,-2.1,-2.01
190005,1.27,1.36
190105,-1.3,-1.21
190205,-1.24,-1.15
190305,-1.08,-0.99
190405,-3.86,-3.77
190505,.93,1.02
190605,-1.36,-1.27
190705,2.47,2.56
190805,.51,0.60
190905,2.24,2.33
191005,.14,0.23
191105,-.81,-0.72
191205,2.76,2.85
191305,-.2,-0.11
191405,-2.27,-2.18
191505,-1.43,-1.34
191605,.64,0.73
191705,-1.15,-1.06
191805,-3.89,-3.80
191905,1.84,1.93
192005,2.49,2.58
192105,-.85,-0.76
192205,1.34,1.43
192305,2.7,2.79
192405,-.36,-0.27
192505,-4.53,-4.44
192605,-.52,-0.43
192705,.21,0.30
192805,.88,0.97
192905,-.21,-0.12
193005,-1.27,-1.18
193105,-2.65,-2.56
193205,-.93,-0.84
193305,-.37,-0.28
193405,-2.91,-2.82
193505,.95,1.04
193605,-2.2,-2.11
193705,-2.28,-2.19
193805,-1.5,-1.41
193905,.63,0.72
194005,-.51,-0.42
194105,-2.47,-2.38
194205,-2.14,-2.05
194305,-2.16,-2.07
194405,1.77,1.86
194505,.35,0.44
194605,1.94,2.03
194705,2.46,2.55
194805,-.83,-0.74
194905,2.17,2.26
195005,1.4,1.49
195105,-1.17,-1.08
195205,-1.97,-1.88
195305,1.88,1.97
195405,-2.32,-2.23
195505,-2.51,-2.42
195605,-1.77,-1.68
195705,-.21,-0.12
195805,1.92,2.01
195905,.05,0.14
196005,-.73,-0.64
196105,1.44,1.53
196205,-1.06,-0.97
196305,-4.06,-3.97
196405,1.03,1.12
196505,-2.01,-1.92
196605,-1,-0.91
196705,.88,0.97
196805,-.2,-0.11
196905,-.41,-0.32
197005,-.32,-0.23
197105,.81,0.90
197205,.17,0.26
197305,3.55,3.64
197405,2.86,2.95
197505,3.93,4.02
197605,-.52,-0.43
197705,-.78,-0.69
197805,1.54,1.63
197905,3.12,3.21
198005,5.2,5.29
198105,-2.61,-2.52
198205,-2.32,-2.23
198305,5.56,5.65
198405,2.38,2.47
198505,-2.11,-2.02
198605,-2.77,-2.68
198705,-.88,-0.79
198805,-2.09,-2.00
198905,.87,0.96
199005,3.29,3.38
199105,4.62,4.71
199205,-1.63,-1.54
199305,1.46,1.55
199405,.59,0.68
199505,.86,0.95
199605,-1.04,-0.95
199705,1.97,2.06
199805,-.81,-0.72
199905,-1.69,-1.60
200005,-3.57,-3.48
200105,.3,0.39
200205,1.26,1.35
200305,2.03,2.12
200405,1.62,1.71
200505,-.61,-0.52
200605,-1.93,-1.84
200705,-3.69,-3.60
200805,-1.67,-1.58
200905,1.91,2.00
201005,-.89,-0.80
201105,-2.77,-2.68
201205,-2.25,-2.16
201305,2.72,2.81
201405,1.67,1.76
201505,.47,0.56
