Montana, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.6,-1.15
189608,1.81,1.26
189708,1.84,1.29
189808,4.18,3.63
189908,4.35,3.80
190008,-2.05,-2.60
190108,.21,-0.34
190208,2.1,1.55
190308,2.64,2.09
190408,-1.91,-2.46
190508,-4.4,-4.95
190608,2.46,1.91
190708,6.24,5.69
190808,2.92,2.37
190908,4.63,4.08
191008,-3.12,-3.67
191108,1.35,0.80
191208,4.22,3.67
191308,3.08,2.53
191408,1.6,1.05
191508,3.74,3.19
191608,5.78,5.23
191708,-1.76,-2.31
191808,.49,-0.06
191908,-6.49,-7.04
192008,-.06,-0.61
192108,-2.28,-2.83
192208,1.93,1.38
192308,2.94,2.39
192408,1.7,1.15
192508,.74,0.19
192608,.08,-0.47
192708,4.37,3.82
192808,4.24,3.69
192908,-1.54,-2.09
193008,-2.13,-2.68
193108,-6.47,-7.02
193208,.74,0.19
193308,.63,0.08
193408,-4.15,-4.70
193508,-4.04,-4.59
193608,-6.9,-7.45
193708,-7.24,-7.79
193808,1.75,1.20
193908,-.85,-1.40
194008,-2.91,-3.46
194108,.04,-0.51
194208,3.61,3.06
194308,4.07,3.52
194408,2.43,1.88
194508,.61,0.06
194608,-.33,-0.88
194708,3.23,2.68
194808,4.75,4.20
194908,-2.68,-3.23
195008,1.74,1.19
195108,3.13,2.58
195208,-1.45,-2.00
195308,-.09,-0.64
195408,1.32,0.77
195508,-.55,-1.10
195608,0,-0.55
195708,.91,0.36
195808,-.32,-0.87
195908,.9,0.35
196008,-1.53,-2.08
196108,-5.5,-6.05
196208,2.37,1.82
196308,-.08,-0.63
196408,2.76,2.21
196508,5.1,4.55
196608,-.47,-1.02
196708,1.31,0.76
196808,2.68,2.13
196908,2.97,2.42
197008,1.77,1.22
197108,.7,0.15
197208,2.69,2.14
197308,-2.33,-2.88
197408,.84,0.29
197508,4.65,4.10
197608,4.09,3.54
197708,.13,-0.42
197808,3.61,3.06
197908,-1.66,-2.21
198008,-2.9,-3.45
198108,-.16,-0.71
198208,2.96,2.41
198308,1.57,1.02
198408,-1.24,-1.79
198508,.64,0.09
198608,1.31,0.76
198708,1.3,0.75
198808,-7.25,-7.80
198908,1.16,0.61
199008,-.29,-0.84
199108,-.24,-0.79
199208,-2.32,-2.87
199308,5.25,4.70
199408,-1.78,-2.33
199508,3.16,2.61
199608,2.1,1.55
199708,4.36,3.81
199808,-.04,-0.59
199908,1.52,0.97
200008,-3.91,-4.46
200108,-5.85,-6.40
200208,-4.04,-4.59
200308,-3.65,-4.20
200408,-3.85,-4.40
200508,.5,-0.05
200608,-2.51,-3.06
200708,-1.75,-2.30
200808,.95,0.40
200908,.72,0.17
201008,3.04,2.49
201108,-.22,-0.77
201208,-3.02,-3.57
201308,1.28,0.73
201408,2.86,2.31
201508,-2.09,-2.64
