New Mexico, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,6.65,6.28
189608,-2.56,-2.93
189708,4.08,3.71
189808,2.73,2.36
189908,-1.13,-1.50
190008,-1.47,-1.84
190108,-1.76,-2.13
190208,-1.88,-2.25
190308,-1.71,-2.08
190408,-4.03,-4.40
190508,6.79,6.42
190608,6.17,5.80
190708,5.03,4.66
190808,2.39,2.02
190908,-1.49,-1.86
191008,-4.13,-4.50
191108,1.62,1.25
191208,1.9,1.53
191308,-1.46,-1.83
191408,3.58,3.21
191508,6.75,6.38
191608,2.38,2.01
191708,-1.92,-2.29
191808,-3.18,-3.55
191908,6.02,5.65
192008,-.16,-0.53
192108,2.87,2.50
192208,-3.74,-4.11
192308,.85,0.48
192408,-1,-1.37
192508,.92,0.55
192608,-.8,-1.17
192708,.65,0.28
192808,.71,0.34
192908,1.53,1.16
193008,-.39,-0.76
193108,3.35,2.98
193208,3.55,3.18
193308,.97,0.60
193408,-4.54,-4.91
193508,.68,0.31
193608,-1.46,-1.83
193708,-1.61,-1.98
193808,-1.38,-1.75
193908,-1.33,-1.70
194008,-.79,-1.16
194108,9.55,9.18
194208,8.11,7.74
194308,-1.83,-2.20
194408,.36,-0.01
194508,-1.79,-2.16
194608,-2.69,-3.06
194708,-2.88,-3.25
194808,-.98,-1.35
194908,-.59,-0.96
195008,-2.43,-2.80
195108,-3.85,-4.22
195208,-2.29,-2.66
195308,-3.1,-3.47
195408,-4.38,-4.75
195508,-2.55,-2.92
195608,-5.39,-5.76
195708,.98,0.61
195808,3.13,2.76
195908,-1.12,-1.49
196008,-.87,-1.24
196108,.45,0.08
196208,-1.57,-1.94
196308,-1.49,-1.86
196408,-3.55,-3.92
196508,.71,0.34
196608,1.39,1.02
196708,1.35,0.98
196808,1.57,1.20
196908,.69,0.32
197008,-1.29,-1.66
197108,.58,0.21
197208,1.34,0.97
197308,-.67,-1.04
197408,.55,0.18
197508,1.99,1.62
197608,-2.3,-2.67
197708,-.76,-1.13
197808,-1.53,-1.90
197908,4.74,4.37
198008,-2.16,-2.53
198108,1.13,0.76
198208,.03,-0.34
198308,1.26,0.89
198408,1.82,1.45
198508,4.86,4.49
198608,3.35,2.98
198708,6.9,6.53
198808,4.68,4.31
198908,-2.17,-2.54
199008,1.09,0.72
199108,2.73,2.36
199208,5.92,5.55
199308,3.81,3.44
199408,-2.02,-2.39
199508,-1.31,-1.68
199608,1.07,0.70
199708,1.44,1.07
199808,-.4,-0.77
199908,1.92,1.55
200008,-4.09,-4.46
200108,-.52,-0.89
200208,-4.54,-4.91
200308,-4.81,-5.18
200408,.23,-0.14
200508,-.48,-0.85
200608,2.3,1.93
200708,-.61,-0.98
200808,1.59,1.22
200908,-3.36,-3.73
201008,-.23,-0.60
201108,-6.04,-6.41
201208,-5.5,-5.87
201308,-4.56,-4.93
201408,.17,-0.20
201508,1.77,1.40
