Mississippi, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.94,-0.77
189604,-.54,-0.37
189704,-2.18,-2.01
189804,-3.32,-3.15
189904,-1.03,-0.86
190004,1.69,1.86
190104,-1.16,-0.99
190204,-.5,-0.33
190304,-.92,-0.75
190404,-3.79,-3.62
190504,1.09,1.26
190604,-1.44,-1.27
190704,.39,0.56
190804,-.79,-0.62
190904,.74,0.91
191004,-3.25,-3.08
191104,.94,1.11
191204,3.22,3.39
191304,-.06,0.11
191404,-1.64,-1.47
191504,-1.56,-1.39
191604,-1.72,-1.55
191704,-.7,-0.53
191804,-3.26,-3.09
191904,.92,1.09
192004,2.52,2.69
192104,2.05,2.22
192204,1.21,1.38
192304,1.5,1.67
192404,-.52,-0.35
192504,-4.32,-4.15
192604,-.33,-0.16
192704,.46,0.63
192804,1.07,1.24
192904,-.29,-0.12
193004,-2.27,-2.10
193104,-2.88,-2.71
193204,-.85,-0.68
193304,2.51,2.68
193404,-2.89,-2.72
193504,.62,0.79
193604,-1.81,-1.64
193704,-2.08,-1.91
193804,-.96,-0.79
193904,.44,0.61
194004,.49,0.66
194104,-1.69,-1.52
194204,-2.15,-1.98
194304,-1.88,-1.71
194404,1.72,1.89
194504,.74,0.91
194604,1.1,1.27
194704,2.39,2.56
194804,-.38,-0.21
194904,2.49,2.66
195004,1.59,1.76
195104,-.12,0.05
195204,-2.38,-2.21
195304,1.16,1.33
195404,-3.16,-2.99
195504,-2.64,-2.47
195604,-1.27,-1.10
195704,.16,0.33
195804,1.8,1.97
195904,.02,0.19
196004,-.78,-0.61
196104,2.01,2.18
196204,-.44,-0.27
196304,-3.63,-3.46
196404,1.82,1.99
196504,-1.03,-0.86
196604,-1.2,-1.03
196704,-3.32,-3.15
196804,-.62,-0.45
196904,-.08,0.09
197004,.25,0.42
197104,.38,0.55
197204,-1.22,-1.05
197304,3.37,3.54
197404,2.88,3.05
197504,3.3,3.47
197604,-1.05,-0.88
197704,.72,0.89
197804,-1.96,-1.79
197904,2.91,3.08
198004,5.12,5.29
198104,-2.97,-2.80
198204,-1.8,-1.63
198304,4.6,4.77
198404,2.21,2.38
198504,-1.75,-1.58
198604,-3.59,-3.42
198704,-1.02,-0.85
198804,-1.41,-1.24
198904,-.64,-0.47
199004,2.94,3.11
199104,3.4,3.57
199204,-1.01,-0.84
199304,1.33,1.50
199404,.7,0.87
199504,.84,1.01
199604,-.23,-0.06
199704,1.27,1.44
199804,.1,0.27
199904,-1.62,-1.45
200004,-3.08,-2.91
200104,.78,0.95
200204,1.42,1.59
200304,1.99,2.16
200404,1.01,1.18
200504,-.33,-0.16
200604,-1.84,-1.67
200704,-3.35,-3.18
200804,-2.34,-2.17
200904,.86,1.03
201004,-1.2,-1.03
201104,-2.29,-2.12
201204,-1.86,-1.69
201304,2.43,2.60
201404,1.66,1.83
201504,.12,0.29
