Michigan, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-2.44,-2.51
189605,-3.27,-3.34
189705,3.59,3.52
189805,-.63,-0.70
189905,.38,0.31
190005,-1.76,-1.83
190105,-1.3,-1.37
190205,.25,0.18
190305,1.7,1.63
190405,3.02,2.95
190505,.94,0.87
190605,-.82,-0.89
190705,1.86,1.79
190805,2.18,2.11
190905,-1.24,-1.31
191005,-2.39,-2.46
191105,-3.3,-3.37
191205,1.52,1.45
191305,-.34,-0.41
191405,-2.21,-2.28
191505,-3.67,-3.74
191605,2.55,2.48
191705,.56,0.49
191805,-.6,-0.67
191905,1.05,0.98
192005,.08,0.01
192105,-1.5,-1.57
192205,.8,0.73
192305,-1.04,-1.11
192405,.8,0.73
192505,-3.16,-3.23
192605,.18,0.11
192705,1.22,1.15
192805,.98,0.91
192905,3.85,3.78
193005,-1.34,-1.41
193105,-6.65,-6.72
193205,.81,0.74
193305,1.39,1.32
193405,-3.53,-3.60
193505,-2.4,-2.47
193605,-1.85,-1.92
193705,-.47,-0.54
193805,1.45,1.38
193905,.56,0.49
194005,.68,0.61
194105,-1.76,-1.83
194205,.9,0.83
194305,3.48,3.41
194405,-1.13,-1.20
194505,2.04,1.97
194605,-1.45,-1.52
194705,2.78,2.71
194805,-.98,-1.05
194905,-.88,-0.95
195005,2.47,2.40
195105,1.75,1.68
195205,2.36,2.29
195305,.83,0.76
195405,1.52,1.45
195505,-1.21,-1.28
195605,1.41,1.34
195705,.66,0.59
195805,-2.69,-2.76
195905,-.22,-0.29
196005,2.74,2.67
196105,.25,0.18
196205,-1.4,-1.47
196305,-2.68,-2.75
196405,-4.15,-4.22
196505,-.3,-0.37
196605,-.43,-0.50
196705,1.2,1.13
196805,1.17,1.10
196905,1.48,1.41
197005,.38,0.31
197105,-.87,-0.94
197205,-.52,-0.59
197305,2.99,2.92
197405,1.66,1.59
197505,1.39,1.32
197605,4.04,3.97
197705,-4.73,-4.80
197805,-1.19,-1.26
197905,1.7,1.63
198005,-1,-1.07
198105,1.13,1.06
198205,.75,0.68
198305,3.48,3.41
198405,-.11,-0.18
198505,1.96,1.89
198605,1.3,1.23
198705,-3.12,-3.19
198805,-1.68,-1.75
198905,.5,0.43
199005,.69,0.62
199105,.01,-0.06
199205,-1.02,-1.09
199305,2.16,2.09
199405,.77,0.70
199505,-.27,-0.34
199605,.76,0.69
199705,.83,0.76
199805,-1.44,-1.51
199905,-3.03,-3.10
200005,.73,0.66
200105,.75,0.68
200205,2.55,2.48
200305,-1.3,-1.37
200405,2.09,2.02
200505,-2.03,-2.10
200605,.96,0.89
200705,-.72,-0.79
200805,.92,0.85
200905,2.79,2.72
201005,-.05,-0.12
201105,2.38,2.31
201205,-1.42,-1.49
201305,2.9,2.83
201405,2.3,2.23
201505,1.46,1.39
