Wyoming, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,3.87,3.39
189603,3.54,3.06
189703,3.97,3.49
189803,-1.08,-1.56
189903,4.23,3.75
190003,-1.12,-1.60
190103,-3.44,-3.92
190203,-3.37,-3.85
190303,-3.08,-3.56
190403,2.51,2.03
190503,-2.87,-3.35
190603,2.17,1.69
190703,3.69,3.21
190803,-1.73,-2.21
190903,4.91,4.43
191003,-1.03,-1.51
191103,-4.08,-4.56
191203,1.83,1.35
191303,4.94,4.46
191403,1.82,1.34
191503,-4.06,-4.54
191603,3.96,3.48
191703,2.06,1.58
191803,-1.59,-2.07
191903,-2.62,-3.10
192003,2.56,2.08
192103,-.61,-1.09
192203,1.41,0.93
192303,.85,0.37
192403,6.08,5.60
192503,1.9,1.42
192603,3.53,3.05
192703,4.18,3.70
192803,6.15,5.67
192903,5.35,4.87
193003,-.51,-0.99
193103,-1.71,-2.19
193203,-1.99,-2.47
193303,-1.42,-1.90
193403,-4.59,-5.07
193503,-6.79,-7.27
193603,-1.5,-1.98
193703,.13,-0.35
193803,1.7,1.22
193903,-.3,-0.78
194003,-4.24,-4.72
194103,-4.73,-5.21
194203,3.36,2.88
194303,5.79,5.31
194403,.58,0.10
194503,2.39,1.91
194603,4.84,4.36
194703,4.3,3.82
194803,4.71,4.23
194903,3.12,2.64
195003,2.23,1.75
195103,1.57,1.09
195203,3.45,2.97
195303,-2.1,-2.58
195403,-2.32,-2.80
195503,-5.53,-6.01
195603,-1.47,-1.95
195703,-3.14,-3.62
195803,-.45,-0.93
195903,.49,0.01
196003,-2.36,-2.84
196103,-5.15,-5.63
196203,2.82,2.34
196303,-1.96,-2.44
196403,-2.27,-2.75
196503,1.44,0.96
196603,-1.95,-2.43
196703,-.46,-0.94
196803,1.96,1.48
196903,-.05,-0.53
197003,.44,-0.04
197103,2.96,2.48
197203,3.8,3.32
197303,2.82,2.34
197403,3.64,3.16
197503,.02,-0.46
197603,1.79,1.31
197703,-3.13,-3.61
197803,.69,0.21
197903,1.79,1.31
198003,.76,0.28
198103,-2.86,-3.34
198203,.53,0.05
198303,5.05,4.57
198403,4.77,4.29
198503,-.92,-1.40
198603,1.52,1.04
198703,-.15,-0.63
198803,-1.56,-2.04
198903,-4.25,-4.73
199003,-3.35,-3.83
199103,-3.13,-3.61
199203,-2.31,-2.79
199303,.14,-0.34
199403,3.48,3.00
199503,2.22,1.74
199603,4.96,4.48
199703,3.8,3.32
199803,3.61,3.13
199903,4.57,4.09
200003,-2.55,-3.03
200103,-5.25,-5.73
200203,-7.04,-7.52
200303,-4.84,-5.32
200403,-4.88,-5.36
200503,-4,-4.48
200603,-1.66,-2.14
200703,-4.34,-4.82
200803,-3.45,-3.93
200903,.1,-0.38
201003,-1.29,-1.77
201103,2.23,1.75
201203,-1.29,-1.77
201303,-6.52,-7.00
201403,3.2,2.72
201503,-1.18,-1.66
