Indiana, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.38,-1.23
189603,-2.61,-2.46
189703,3.54,3.69
189803,2.71,2.86
189903,1.83,1.98
190003,-2.39,-2.24
190103,-1.96,-1.81
190203,-4.07,-3.92
190303,-.56,-0.41
190403,2.47,2.62
190503,-2.82,-2.67
190603,2.22,2.37
190703,1.58,1.73
190803,3.6,3.75
190903,.81,0.96
191003,-1.8,-1.65
191103,-.69,-0.54
191203,1.86,2.01
191303,4.53,4.68
191403,-1.95,-1.80
191503,-4.55,-4.40
191603,-.64,-0.49
191703,.16,0.31
191803,-1.69,-1.54
191903,-.08,0.07
192003,.12,0.27
192103,-.82,-0.67
192203,2.58,2.73
192303,.38,0.53
192403,1.34,1.49
192503,-1.66,-1.51
192603,.27,0.42
192703,2.6,2.75
192803,1.92,2.07
192903,.8,0.95
193003,-.68,-0.53
193103,-6.84,-6.69
193203,-.35,-0.20
193303,2.66,2.81
193403,-3.62,-3.47
193503,-3.5,-3.35
193603,-2,-1.85
193703,1.56,1.71
193803,2.33,2.48
193903,1.35,1.50
194003,-3.77,-3.62
194103,-5.04,-4.89
194203,.94,1.09
194303,.59,0.74
194403,-2.1,-1.95
194503,1.42,1.57
194603,-.64,-0.49
194703,-1.8,-1.65
194803,.77,0.92
194903,2.69,2.84
195003,4.61,4.76
195103,3.96,4.11
195203,2.73,2.88
195303,-1.35,-1.20
195403,-4.74,-4.59
195503,.96,1.11
195603,.42,0.57
195703,-2.98,-2.83
195803,-1.48,-1.33
195903,-.28,-0.13
196003,-.67,-0.52
196103,.67,0.82
196203,-.11,0.04
196303,-.69,-0.54
196403,-3.32,-3.17
196503,-2.8,-2.65
196603,-1.76,-1.61
196703,-.45,-0.30
196803,-.67,-0.52
196903,-1.1,-0.95
197003,-.89,-0.74
197103,-.65,-0.50
197203,-.75,-0.60
197303,2.32,2.47
197403,2.07,2.22
197503,2.61,2.76
197603,-.16,-0.01
197703,-.92,-0.77
197803,1.39,1.54
197903,1.36,1.51
198003,2.62,2.77
198103,-1.97,-1.82
198203,2.61,2.76
198303,-1.34,-1.19
198403,.81,0.96
198503,2.04,2.19
198603,-.55,-0.40
198703,-1.59,-1.44
198803,-.86,-0.71
198903,.88,1.03
199003,2.25,2.40
199103,.29,0.44
199203,-2.32,-2.17
199303,2.56,2.71
199403,-1.2,-1.05
199503,-1.73,-1.58
199603,-1.66,-1.51
199703,3.4,3.55
199803,.27,0.42
199903,-.53,-0.38
200003,-3.84,-3.69
200103,-1.13,-0.98
200203,3.13,3.28
200303,-2.08,-1.93
200403,2.44,2.59
200503,-.5,-0.35
200603,.68,0.83
200703,-.27,-0.12
200803,3.17,3.32
200903,1.48,1.63
201003,-.84,-0.69
201103,.75,0.90
201203,-1.31,-1.16
201303,.44,0.59
201403,.57,0.72
201503,1.84,1.99
201603,2.2,2.35
