Vermont, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,-.3,0.13
189601,.06,0.49
189701,-2.33,-1.90
189801,3.48,3.91
189901,-1,-0.57
190001,.52,0.95
190101,-1.42,-0.99
190201,.4,0.83
190301,1.51,1.94
190401,-1.77,-1.34
190501,-1.83,-1.40
190601,-1.25,-0.82
190701,-2.04,-1.61
190801,1.43,1.86
190901,-4.17,-3.74
191001,-3.03,-2.60
191101,-3.01,-2.58
191201,-2.88,-2.45
191301,.31,0.74
191401,-3.22,-2.79
191501,-3.44,-3.01
191601,-1.12,-0.69
191701,-1.03,-0.60
191801,-1.53,-1.10
191901,-.94,-0.51
192001,-1.24,-0.81
192101,-.79,-0.36
192201,-3.28,-2.85
192301,-1.9,-1.47
192401,-1.16,-0.73
192501,.13,0.56
192601,-.77,-0.34
192701,-.94,-0.51
192801,3.65,4.08
192901,.07,0.50
193001,-1.79,-1.36
193101,-3.18,-2.75
193201,.48,0.91
193301,-1.13,-0.70
193401,-1.59,-1.16
193501,-.81,-0.38
193601,.87,1.30
193701,1.12,1.55
193801,-.13,0.30
193901,1.92,2.35
194001,-2.67,-2.24
194101,-.56,-0.13
194201,-2.98,-2.55
194301,-1.59,-1.16
194401,-1.46,-1.03
194501,-1.34,-0.91
194601,-.56,-0.13
194701,1.14,1.57
194801,-3,-2.57
194901,-.78,-0.35
195001,-2.06,-1.63
195101,.4,0.83
195201,1.78,2.21
195301,1.16,1.59
195401,.28,0.71
195501,1.88,2.31
195601,-1.17,-0.74
195701,-1.08,-0.65
195801,1.96,2.39
195901,.59,1.02
196001,1.87,2.30
196101,-1.99,-1.56
196201,-2.31,-1.88
196301,-.6,-0.17
196401,-2.44,-2.01
196501,-3.9,-3.47
196601,-2.35,-1.92
196701,-1.57,-1.14
196801,-.75,-0.32
196901,1.15,1.58
197001,-.95,-0.52
197101,-.42,0.01
197201,-1,-0.57
197301,2.96,3.39
197401,3.49,3.92
197501,.2,0.63
197601,2.75,3.18
197701,-1.05,-0.62
197801,4.18,4.61
197901,2,2.43
198001,-2.03,-1.60
198101,-2.9,-2.47
198201,.2,0.63
198301,.38,0.81
198401,2.36,2.79
198501,-1.56,-1.13
198601,1.2,1.63
198701,1.78,2.21
198801,-1.21,-0.78
198901,-2.04,-1.61
199001,1.84,2.27
199101,-.11,0.32
199201,-.67,-0.24
199301,.31,0.74
199401,.72,1.15
199501,-1.18,-0.75
199601,2.16,2.59
199701,3.12,3.55
199801,2.9,3.33
199901,1.29,1.72
200001,.69,1.12
200101,1.24,1.67
200201,-3.99,-3.56
200301,-.94,-0.51
200401,2.72,3.15
200501,1.68,2.11
200601,3.78,4.21
200701,3.88,4.31
200801,2.67,3.10
200901,4.19,4.62
201001,2.63,3.06
201101,2.03,2.46
201201,-.7,-0.27
201301,-1.13,-0.70
201401,1.78,2.21
201501,-.12,0.31
201601,-1.12,-0.69
