New Mexico, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,1,0.72
189604,-1.15,-1.43
189704,2.43,2.15
189804,1.92,1.64
189904,-1.25,-1.53
190004,.82,0.54
190104,-.45,-0.73
190204,-1.99,-2.27
190304,.94,0.66
190404,-4.85,-5.13
190504,6.45,6.17
190604,6.29,6.01
190704,3.76,3.48
190804,2.54,2.26
190904,-.81,-1.09
191004,-2.74,-3.02
191104,1.15,0.87
191204,1.86,1.58
191304,1.69,1.41
191404,.43,0.15
191504,6.09,5.81
191604,3.65,3.37
191704,-.57,-0.85
191804,-2.68,-2.96
191904,4.12,3.84
192004,4.3,4.02
192104,-1.88,-2.16
192204,-1.31,-1.59
192304,1.23,0.95
192404,3.48,3.20
192504,-3.76,-4.04
192604,2.24,1.96
192704,-.82,-1.10
192804,-.46,-0.74
192904,.33,0.05
193004,-.82,-1.10
193104,2.92,2.64
193204,3.01,2.73
193304,-.62,-0.90
193404,-3.05,-3.33
193504,-3.12,-3.40
193604,-.8,-1.08
193704,.8,0.52
193804,-.91,-1.19
193904,1.15,0.87
194004,.16,-0.12
194104,4.32,4.04
194204,9.36,9.08
194304,-1.65,-1.93
194404,.96,0.68
194504,-.18,-0.46
194604,-2.47,-2.75
194704,-2.05,-2.33
194804,1.56,1.28
194904,1.18,0.90
195004,-2.93,-3.21
195104,-2.42,-2.70
195204,-1.76,-2.04
195304,-2.07,-2.35
195404,-4.53,-4.81
195504,-3.51,-3.79
195604,-3.84,-4.12
195704,-3.85,-4.13
195804,3.55,3.27
195904,-2.09,-2.37
196004,-.67,-0.95
196104,1.32,1.04
196204,-.39,-0.67
196304,-.88,-1.16
196404,-1.47,-1.75
196504,.35,0.07
196604,-.67,-0.95
196704,-3.6,-3.88
196804,1.28,1.00
196904,.49,0.21
197004,-.01,-0.29
197104,-3.03,-3.31
197204,-2.93,-3.21
197304,4.64,4.36
197404,-2.89,-3.17
197504,2.88,2.60
197604,-2,-2.28
197704,-.59,-0.87
197804,.07,-0.21
197904,2.54,2.26
198004,2.59,2.31
198104,-2.26,-2.54
198204,-.93,-1.21
198304,2.51,2.23
198404,.93,0.65
198504,4.95,4.67
198604,2.04,1.76
198704,5.43,5.15
198804,3.3,3.02
198904,-2.25,-2.53
199004,-1.41,-1.69
199104,.85,0.57
199204,3.89,3.61
199304,3.63,3.35
199404,-1.12,-1.40
199504,-.46,-0.74
199604,-3.86,-4.14
199704,1.09,0.81
199804,2.45,2.17
199904,.39,0.11
200004,-2.85,-3.13
200104,2.5,2.22
200204,-2.83,-3.11
200304,-2.23,-2.51
200404,1.53,1.25
200504,3.6,3.32
200604,-3.94,-4.22
200704,1.88,1.60
200804,-1.68,-1.96
200904,-2.67,-2.95
201004,2.14,1.86
201104,-3.74,-4.02
201204,-4.22,-4.50
201304,-5.14,-5.42
201404,-3.96,-4.24
201504,.19,-0.09
