North Dakota, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.72,0.14
189601,2.2,1.62
189701,5.32,4.74
189801,-1.82,-2.40
189901,-.37,-0.95
190001,-.89,-1.47
190101,-.3,-0.88
190201,1.23,0.65
190301,2.56,1.98
190401,2.58,2.00
190501,2.31,1.73
190601,3.2,2.62
190701,4.29,3.71
190801,1.17,0.59
190901,1.51,0.93
191001,.66,0.08
191101,-2.52,-3.10
191201,-.19,-0.77
191301,-.17,-0.75
191401,-.66,-1.24
191501,-.84,-1.42
191601,3.62,3.04
191701,5.23,4.65
191801,-1.84,-2.42
191901,.5,-0.08
192001,1.71,1.13
192101,-1.2,-1.78
192201,.66,0.08
192301,2.11,1.53
192401,1.28,0.70
192501,-.26,-0.84
192601,-.43,-1.01
192701,1.02,0.44
192801,4.09,3.51
192901,3.8,3.22
193001,.73,0.15
193101,-1.36,-1.94
193201,-1.77,-2.35
193301,1.23,0.65
193401,-2.37,-2.95
193501,-5.72,-6.30
193601,-1.35,-1.93
193701,-5.15,-5.73
193801,-2.9,-3.48
193901,-2.94,-3.52
194001,-4.01,-4.59
194101,-1.81,-2.39
194201,2.41,1.83
194301,3.76,3.18
194401,2.32,1.74
194501,3.3,2.72
194601,-.42,-1.00
194701,1.46,0.88
194801,1.88,1.30
194901,2.15,1.57
195001,1.61,1.03
195101,2.87,2.29
195201,2.08,1.50
195301,-3.43,-4.01
195401,1.68,1.10
195501,-.99,-1.57
195601,-.01,-0.59
195701,-.29,-0.87
195801,-.43,-1.01
195901,-1.89,-2.47
196001,-1,-1.58
196101,-2.3,-2.88
196201,-.7,-1.28
196301,1.72,1.14
196401,-1.9,-2.48
196501,-.41,-0.99
196601,3.21,2.63
196701,2.6,2.02
196801,-1.18,-1.76
196901,2.17,1.59
197001,-.68,-1.26
197101,1.82,1.24
197201,2.62,2.04
197301,-.37,-0.95
197401,1.51,0.93
197501,-1.15,-1.73
197601,3.25,2.67
197701,-3.12,-3.70
197801,2.92,2.34
197901,1.76,1.18
198001,-1.2,-1.78
198101,-.58,-1.16
198201,.44,-0.14
198301,3.57,2.99
198401,1.95,1.37
198501,-.8,-1.38
198601,1.54,0.96
198701,3.42,2.84
198801,-1.52,-2.10
198901,-4.05,-4.63
199001,-3.93,-4.51
199101,-3.97,-4.55
199201,-1.5,-2.08
199301,-1.36,-1.94
199401,5.33,4.75
199501,5.7,5.12
199601,5.53,4.95
199701,5.03,4.45
199801,1.59,1.01
199901,3.16,2.58
200001,3,2.42
200101,3.84,3.26
200201,-1.59,-2.17
200301,-1.48,-2.06
200401,.3,-0.28
200501,-.17,-0.75
200601,2.56,1.98
200701,-2.21,-2.79
200801,-1.49,-2.07
200901,3.36,2.78
201001,4.87,4.29
201101,7.49,6.91
201201,-.43,-1.01
201301,.55,-0.03
201401,5.24,4.66
201501,3.97,3.39
201601,.65,0.07
