North Dakota, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.2,0.61
189602,2.12,1.53
189702,6.02,5.43
189802,-1.64,-2.23
189902,-.52,-1.11
190002,-.73,-1.32
190102,-.32,-0.91
190202,1.73,1.14
190302,2.37,1.78
190402,2.73,2.14
190502,2.06,1.47
190602,2.72,2.13
190702,3.93,3.34
190802,1.57,0.98
190902,1.33,0.74
191002,.81,0.22
191102,-2.05,-2.64
191202,-.51,-1.10
191302,-.45,-1.04
191402,-.74,-1.33
191502,-.67,-1.26
191602,3.46,2.87
191702,5.22,4.63
191802,-2.01,-2.60
191902,.72,0.13
192002,1.51,0.92
192102,-1.23,-1.82
192202,1.55,0.96
192302,2.32,1.73
192402,1.07,0.48
192502,-.35,-0.94
192602,-.4,-0.99
192702,.83,0.24
192802,3.48,2.89
192902,3.51,2.92
193002,1.66,1.07
193102,-1.4,-1.99
193202,-1.77,-2.36
193302,1.03,0.44
193402,-2.63,-3.22
193502,-5.59,-6.18
193602,-.88,-1.47
193702,-4.71,-5.30
193802,-2.41,-3.00
193902,-2.44,-3.03
194002,-3.6,-4.19
194102,-1.93,-2.52
194202,2.23,1.64
194302,3.59,3.00
194402,1.93,1.34
194502,3.04,2.45
194602,.31,-0.28
194702,1.38,0.79
194802,2.41,1.82
194902,2.09,1.50
195002,1.45,0.86
195102,3.09,2.50
195202,2.1,1.51
195302,-3.35,-3.94
195402,1.31,0.72
195502,-.8,-1.39
195602,-.28,-0.87
195702,-.51,-1.10
195802,.43,-0.16
195902,-1.67,-2.26
196002,-1.15,-1.74
196102,-1.94,-2.53
196202,-.58,-1.17
196302,1.53,0.94
196402,-2.06,-2.65
196502,-.73,-1.32
196602,2.93,2.34
196702,2.51,1.92
196802,-1.49,-2.08
196902,2.72,2.13
197002,-.78,-1.37
197102,1.46,0.87
197202,2.79,2.20
197302,-.57,-1.16
197402,1.44,0.85
197502,-1.24,-1.83
197602,3.01,2.42
197702,-2.96,-3.55
197802,2.7,2.11
197902,2.31,1.72
198002,-1.13,-1.72
198102,-.63,-1.22
198202,.29,-0.30
198302,3.3,2.71
198402,1.6,1.01
198502,-1.01,-1.60
198602,1.45,0.86
198702,3.83,3.24
198802,-1.73,-2.32
198902,-3.96,-4.55
199002,-3.98,-4.57
199102,-3.76,-4.35
199202,-1.57,-2.16
199302,-1.5,-2.09
199402,5.23,4.64
199502,5.42,4.83
199602,5.23,4.64
199702,4.59,4.00
199802,2.72,2.13
199902,3.09,2.50
200002,3.42,2.83
200102,3.57,2.98
200202,-1.88,-2.47
200302,-1.65,-2.24
200402,.1,-0.49
200502,-.47,-1.06
200602,2.28,1.69
200702,.09,-0.50
200802,-1.5,-2.09
200902,3.95,3.36
201002,4.82,4.23
201102,7.01,6.42
201202,-.24,-0.83
201302,.59,0.00
201402,4.76,4.17
201502,3.63,3.04
