Montana, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.44,2.03
189603,1.95,1.54
189703,4.74,4.33
189803,5.28,4.87
189903,4.49,4.08
190003,2.62,2.21
190103,-1.61,-2.02
190203,.65,0.24
190303,1.51,1.10
190403,4.77,4.36
190503,-6.11,-6.52
190603,-3.88,-4.29
190703,5.13,4.72
190803,1.77,1.36
190903,3.05,2.64
191003,-.51,-0.92
191103,-.79,-1.20
191203,3.7,3.29
191303,4.5,4.09
191403,1.75,1.34
191503,-1.74,-2.15
191603,5.49,5.08
191703,5.77,5.36
191803,2.07,1.66
191903,-1.95,-2.36
192003,1.95,1.54
192103,-2.35,-2.76
192203,.85,0.44
192303,-.35,-0.76
192403,3.34,2.93
192503,1.78,1.37
192603,-.09,-0.50
192703,1.76,1.35
192803,6.03,5.62
192903,-.27,-0.68
193003,-.02,-0.43
193103,-3.05,-3.46
193203,-4.89,-5.30
193303,.97,0.56
193403,1.26,0.85
193503,-4.76,-5.17
193603,-4.05,-4.46
193703,-6.53,-6.94
193803,-4.47,-4.88
193903,-.73,-1.14
194003,-2.54,-2.95
194103,-4.73,-5.14
194203,2.6,2.19
194303,4.12,3.71
194403,-3.19,-3.60
194503,-1.72,-2.13
194603,-.71,-1.12
194703,4.62,4.21
194803,2.76,2.35
194903,3.21,2.80
195003,.62,0.21
195103,2.85,2.44
195203,4.6,4.19
195303,-.38,-0.79
195403,.65,0.24
195503,-3.21,-3.62
195603,2.17,1.76
195703,-1.26,-1.67
195803,.22,-0.19
195903,2.47,2.06
196003,.07,-0.34
196103,-4.13,-4.54
196203,-.15,-0.56
196303,1.54,1.13
196403,-1.94,-2.35
196503,3.56,3.15
196603,.63,0.22
196703,1.28,0.87
196803,.95,0.54
196903,3.91,3.50
197003,1.4,0.99
197103,2.94,2.53
197203,3.21,2.80
197303,-1.83,-2.24
197403,2.28,1.87
197503,.75,0.34
197603,5.34,4.93
197703,-2.79,-3.20
197803,2.08,1.67
197903,4.01,3.60
198003,-3.59,-4.00
198103,-2.73,-3.14
198203,1.85,1.44
198303,2.05,1.64
198403,-.51,-0.92
198503,-1.29,-1.70
198603,1.77,1.36
198703,-.1,-0.51
198803,-3.7,-4.11
198903,.09,-0.32
199003,1.57,1.16
199103,-1.88,-2.29
199203,-2.72,-3.13
199303,-2.54,-2.95
199403,-.26,-0.67
199503,.25,-0.16
199603,5.14,4.73
199703,3.74,3.33
199803,-1.22,-1.63
199903,1.23,0.82
200003,-2.12,-2.53
200103,-5.61,-6.02
200203,-6.42,-6.83
200303,-3.22,-3.63
200403,-4.72,-5.13
200503,-5.21,-5.62
200603,.99,0.58
200703,-1.19,-1.60
200803,-2.55,-2.96
200903,.96,0.55
201003,-2.01,-2.42
201103,4.62,4.21
201203,-1.78,-2.19
201303,-3,-3.41
201403,2.37,1.96
201503,-.64,-1.05
