Utah, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.62,2.24
189602,-.86,-1.24
189702,1.5,1.12
189802,1.44,1.06
189902,.24,-0.14
190002,-1.74,-2.12
190102,-2.11,-2.49
190202,-3.35,-3.73
190302,1.11,0.73
190402,-1.63,-2.01
190502,.67,0.29
190602,1.57,1.19
190702,6.5,6.12
190802,3.37,2.99
190902,5.97,5.59
191002,5.7,5.32
191102,2.33,1.95
191202,-1.2,-1.58
191302,2.34,1.96
191402,3.33,2.95
191502,1.94,1.56
191602,2.86,2.48
191702,3.76,3.38
191802,-1.94,-2.32
191902,-.79,-1.17
192002,.9,0.52
192102,2.73,2.35
192202,2.85,2.47
192302,2.67,2.29
192402,-1.48,-1.86
192502,-1.95,-2.33
192602,-1.14,-1.52
192702,1.04,0.66
192802,-.78,-1.16
192902,.74,0.36
193002,-1.53,-1.91
193102,-1.81,-2.19
193202,1.6,1.22
193302,-1.35,-1.73
193402,-2.52,-2.90
193502,-4.68,-5.06
193602,-1.44,-1.82
193702,1.44,1.06
193802,.1,-0.28
193902,-.14,-0.52
194002,-1.65,-2.03
194102,1.81,1.43
194202,5.64,5.26
194302,-1.08,-1.46
194402,.34,-0.04
194502,.05,-0.33
194602,-.99,-1.37
194702,2.82,2.44
194802,2.76,2.38
194902,2.1,1.72
195002,-.28,-0.66
195102,-2.72,-3.10
195202,2.49,2.11
195302,-1.69,-2.07
195402,-3.06,-3.44
195502,-2.41,-2.79
195602,-1.35,-1.73
195702,-3.2,-3.58
195802,3.51,3.13
195902,-2.31,-2.69
196002,-2.52,-2.90
196102,-4.16,-4.54
196202,2.15,1.77
196302,-3.13,-3.51
196402,-3.44,-3.82
196502,1.4,1.02
196602,4.66,4.28
196702,-.46,-0.84
196802,-.81,-1.19
196902,2.81,2.43
197002,-1.36,-1.74
197102,-.14,-0.52
197202,-.73,-1.11
197302,3.63,3.25
197402,-.3,-0.68
197502,-2.63,-3.01
197602,-.88,-1.26
197702,-4.36,-4.74
197802,1.09,0.71
197902,3.63,3.25
198002,2.86,2.48
198102,-2.52,-2.90
198202,1.48,1.10
198302,5,4.62
198402,6.24,5.86
198502,4.66,4.28
198602,3.2,2.82
198702,-1.2,-1.58
198802,.35,-0.03
198902,-1.68,-2.06
199002,-4.43,-4.81
199102,-4.46,-4.84
199202,-1.52,-1.90
199302,3.03,2.65
199402,-.69,-1.07
199502,1.45,1.07
199602,-1.28,-1.66
199702,2.49,2.11
199802,3.44,3.06
199902,2.86,2.48
200002,-1.8,-2.18
200102,-1.47,-1.85
200202,-3.32,-3.70
200302,-4.13,-4.51
200402,-2.45,-2.83
200502,4.75,4.37
200602,-1.07,-1.45
200702,-.79,-1.17
200802,-1.21,-1.59
200902,-1.59,-1.97
201002,.26,-0.12
201102,3.03,2.65
201202,-1.03,-1.41
201302,-3.69,-4.07
201402,-2.58,-2.96
201502,-2.79,-3.17
201602,-1.3,-1.68
