Delaware, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.45,0.71
189601,-3,-2.74
189701,-2.14,-1.88
189801,-.15,0.11
189901,.82,1.08
190001,-2.55,-2.29
190101,-2.55,-2.29
190201,1.1,1.36
190301,2.75,3.01
190401,-.46,-0.20
190501,.71,0.97
190601,.14,0.40
190701,-.37,-0.11
190801,3.13,3.39
190901,-.23,0.03
191001,-.69,-0.43
191101,.68,0.94
191201,2.02,2.28
191301,-1.25,-0.99
191401,-1.22,-0.96
191501,1.24,1.50
191601,-.97,-0.71
191701,-.18,0.08
191801,-.35,-0.09
191901,-2.52,-2.26
192001,1.83,2.09
192101,-.39,-0.13
192201,.27,0.53
192301,.67,0.93
192401,.25,0.51
192501,-.05,0.21
192601,-2.34,-2.08
192701,-.68,-0.42
192801,-.26,0.00
192901,-1.4,-1.14
193001,-1.34,-1.08
193101,-5.54,-5.28
193201,-2.44,-2.18
193301,1.56,1.82
193401,.76,1.02
193501,2.27,2.53
193601,4.76,5.02
193701,2.8,3.06
193801,-.66,-0.40
193901,2.56,2.82
194001,-1.48,-1.22
194101,-1.03,-0.77
194201,-3.23,-2.97
194301,-1.03,-0.77
194401,-.37,-0.11
194501,1.14,1.40
194601,-.54,-0.28
194701,-1.24,-0.98
194801,1.35,1.61
194901,4.36,4.62
195001,-3.03,-2.77
195101,-1.54,-1.28
195201,2.12,2.38
195301,1.69,1.95
195401,-1.11,-0.85
195501,-3.01,-2.75
195601,-1.08,-0.82
195701,-.4,-0.14
195801,.94,1.20
195901,-.75,-0.49
196001,-.37,-0.11
196101,1.29,1.55
196201,.36,0.62
196301,-1.73,-1.47
196401,.71,0.97
196501,-3.09,-2.83
196601,-5.29,-5.03
196701,-.78,-0.52
196801,-.4,-0.14
196901,-3.11,-2.85
197001,1.49,1.75
197101,-1.45,-1.19
197201,1.7,1.96
197301,-.09,0.17
197401,-.13,0.13
197501,.74,1.00
197601,3.09,3.35
197701,-.7,-0.44
197801,3.19,3.45
197901,1.81,2.07
198001,-.56,-0.30
198101,-2.47,-2.21
198201,-1.5,-1.24
198301,-1.83,-1.57
198401,1.78,2.04
198501,-3.21,-2.95
198601,-1.17,-0.91
198701,-.78,-0.52
198801,-2.88,-2.62
198901,-2.54,-2.28
199001,-.5,-0.24
199101,-1.1,-0.84
199201,-2.82,-2.56
199301,.83,1.09
199401,.93,1.19
199501,-1.63,-1.37
199601,1.32,1.58
199701,-.33,-0.07
199801,1.52,1.78
199901,-2.79,-2.53
200001,1.31,1.57
200101,-.88,-0.62
200201,-3.12,-2.86
200301,1.98,2.24
200401,4.21,4.47
200501,1.84,2.10
200601,.04,0.30
200701,-.38,-0.12
200801,-3.17,-2.91
200901,-1.54,-1.28
201001,4.51,4.77
201101,-2.35,-2.09
201201,-1.44,-1.18
201301,-.42,-0.16
201401,2.07,2.33
201501,.8,1.06
201601,-.97,-0.71
