South Dakota, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.98,1.25
189603,1.78,1.05
189703,5.15,4.42
189803,-.92,-1.65
189903,-1.15,-1.88
190003,-1.04,-1.77
190103,-1.43,-2.16
190203,1.92,1.19
190303,1.58,0.85
190403,1.88,1.15
190503,-1.01,-1.74
190603,4.43,3.70
190703,5.72,4.99
190803,3.62,2.89
190903,4.67,3.94
191003,-.78,-1.51
191103,-3.3,-4.03
191203,.98,0.25
191303,-1.33,-2.06
191403,-1.66,-2.39
191503,1.45,0.72
191603,7.05,6.32
191703,5.27,4.54
191803,1.09,0.36
191903,1.7,0.97
192003,2.51,1.78
192103,2.94,2.21
192203,1.8,1.07
192303,1.28,0.55
192403,2.92,2.19
192503,-.97,-1.70
192603,-1.55,-2.28
192703,-.51,-1.24
192803,-.36,-1.09
192903,2.01,1.28
193003,1.89,1.16
193103,-.25,-0.98
193203,-1.91,-2.64
193303,-1.36,-2.09
193403,-3.87,-4.60
193503,-5.18,-5.91
193603,-1.98,-2.71
193703,-3.77,-4.50
193803,-2.74,-3.47
193903,-2.44,-3.17
194003,-3.19,-3.92
194103,-3.57,-4.30
194203,.6,-0.13
194303,-.03,-0.76
194403,.62,-0.11
194503,3.26,2.53
194603,1.67,0.94
194703,3.88,3.15
194803,1.78,1.05
194903,-.09,-0.82
195003,.78,0.05
195103,-.63,-1.36
195203,4.18,3.45
195303,.84,0.11
195403,-.48,-1.21
195503,-1.66,-2.39
195603,-3.12,-3.85
195703,-2.37,-3.10
195803,2.75,2.02
195903,-2.21,-2.94
196003,.55,-0.18
196103,-1.58,-2.31
196203,.59,-0.14
196303,2.26,1.53
196403,-1.68,-2.41
196503,-1.81,-2.54
196603,1.9,1.17
196703,-.75,-1.48
196803,-1.94,-2.67
196903,-.13,-0.86
197003,.05,-0.68
197103,1,0.27
197203,2.4,1.67
197303,3.74,3.01
197403,-.75,-1.48
197503,.71,-0.02
197603,-.93,-1.66
197703,1.84,1.11
197803,2.54,1.81
197903,2.44,1.71
198003,-1.13,-1.86
198103,-3.39,-4.12
198203,.39,-0.34
198303,5.12,4.39
198403,3.55,2.82
198503,.42,-0.31
198603,1.55,0.82
198703,6.49,5.76
198803,-1.76,-2.49
198903,-2.82,-3.55
199003,-2.78,-3.51
199103,-2.72,-3.45
199203,-.34,-1.07
199303,1.83,1.10
199403,5.63,4.90
199503,3.92,3.19
199603,5.32,4.59
199703,7.07,6.34
199803,4.94,4.21
199903,5.03,4.30
200003,3.31,2.58
200103,1.98,1.25
200203,-1.3,-2.03
200303,-2.23,-2.96
200403,-2.17,-2.90
200503,-1.12,-1.85
200603,-.1,-0.83
200703,.75,0.02
200803,-.68,-1.41
200903,5.39,4.66
201003,6.49,5.76
201103,7.16,6.43
201203,-1.65,-2.38
201303,-3.51,-4.24
201403,4.29,3.56
201503,2.42,1.69
201603,2.71,1.98
