Michigan, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-3.39,-3.27
189606,-3.28,-3.16
189706,-.25,-0.13
189806,-.4,-0.28
189906,.37,0.49
190006,-1.8,-1.68
190106,-1.74,-1.62
190206,1.3,1.42
190306,1.23,1.35
190406,-.72,-0.60
190506,1.47,1.59
190606,-.71,-0.59
190706,-.4,-0.28
190806,-.68,-0.56
190906,-1.3,-1.18
191006,-3.42,-3.30
191106,-3.29,-3.17
191206,-.9,-0.78
191306,-1.03,-0.91
191406,-1.58,-1.46
191506,.62,0.74
191606,3.59,3.71
191706,1.69,1.81
191806,-1.18,-1.06
191906,-.98,-0.86
192006,.4,0.52
192106,-2.4,-2.28
192206,.74,0.86
192306,-1.49,-1.37
192406,.71,0.83
192506,-3.46,-3.34
192606,.63,0.75
192706,-.53,-0.41
192806,1.85,1.97
192906,3.6,3.72
193006,-1.07,-0.95
193106,-5.96,-5.84
193206,.04,0.16
193306,-.95,-0.83
193406,-4.2,-4.08
193506,-1.47,-1.35
193606,-2.33,-2.21
193706,-.54,-0.42
193806,1.27,1.39
193906,1.38,1.50
194006,1.37,1.49
194106,-2.3,-2.18
194206,.87,0.99
194306,3.87,3.99
194406,-.72,-0.60
194506,2.41,2.53
194606,-.9,-0.78
194706,-.04,0.08
194806,-.75,-0.63
194906,.32,0.44
195006,2.36,2.48
195106,1.88,2.00
195206,1.56,1.68
195306,.9,1.02
195406,2.28,2.40
195506,-1.69,-1.57
195606,.96,1.08
195706,.83,0.95
195806,.21,0.33
195906,-1.14,-1.02
196006,2.87,2.99
196106,.22,0.34
196206,-1.49,-1.37
196306,-3.01,-2.89
196406,-4.5,-4.38
196506,-.77,-0.65
196606,-1.2,-1.08
196706,2.2,2.32
196806,2.31,2.43
196906,2.93,3.05
197006,-.41,-0.29
197106,-1.51,-1.39
197206,-.62,-0.50
197306,2.81,2.93
197406,1.94,2.06
197506,1.7,1.82
197606,-.46,-0.34
197706,-4.52,-4.40
197806,-1.15,-1.03
197906,2.03,2.15
198006,.41,0.53
198106,1.54,1.66
198206,.85,0.97
198306,-.62,-0.50
198406,-.43,-0.31
198506,1.26,1.38
198606,1.81,1.93
198706,-3.48,-3.36
198806,-3.24,-3.12
198906,.95,1.07
199006,1.18,1.30
199106,-1,-0.88
199206,-1.47,-1.35
199306,2.91,3.03
199406,1.04,1.16
199506,-1.16,-1.04
199606,1.6,1.72
199706,-.66,-0.54
199806,-1.66,-1.54
199906,-2.59,-2.47
200006,1.09,1.21
200106,-.12,0.00
200206,-.33,-0.21
200306,-1.75,-1.63
200406,1.94,2.06
200506,-2.52,-2.40
200606,.26,0.38
200706,-1.33,-1.21
200806,1.53,1.65
200906,2.69,2.81
201006,1.42,1.54
201106,2.27,2.39
201206,-1.69,-1.57
201306,2.79,2.91
201406,2.23,2.35
201506,1.8,1.92
