Maine, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.81,-0.67
189604,-.85,-0.71
189704,-1,-0.86
189804,-.36,-0.22
189904,-1.24,-1.10
190004,3.02,3.16
190104,1.85,1.99
190204,2.59,2.73
190304,-.66,-0.52
190404,.49,0.63
190504,-2.93,-2.79
190604,.72,0.86
190704,.52,0.66
190804,-.46,-0.32
190904,2.63,2.77
191004,-.74,-0.60
191104,-2.51,-2.37
191204,.32,0.46
191304,-.7,-0.56
191404,.98,1.12
191504,-2.88,-2.74
191604,-1.33,-1.19
191704,.4,0.54
191804,-1.95,-1.81
191904,.31,0.45
192004,2.92,3.06
192104,-.95,-0.81
192204,-2.72,-2.58
192304,1.9,2.04
192404,-1.47,-1.33
192504,-2.24,-2.10
192604,-.25,-0.11
192704,-2.07,-1.93
192804,2.05,2.19
192904,.8,0.94
193004,-1.62,-1.48
193104,-3.15,-3.01
193204,-.91,-0.77
193304,1.02,1.16
193404,.64,0.78
193504,-.91,-0.77
193604,3.35,3.49
193704,.2,0.34
193804,-.97,-0.83
193904,.66,0.80
194004,1.78,1.92
194104,-2.44,-2.30
194204,-1.51,-1.37
194304,.18,0.32
194404,-1.53,-1.39
194504,.75,0.89
194604,-.85,-0.71
194704,.18,0.32
194804,-3.61,-3.47
194904,-2.88,-2.74
195004,-2.18,-2.04
195104,3.15,3.29
195204,-.99,-0.85
195304,2.93,3.07
195404,1.2,1.34
195504,-.74,-0.60
195604,-1.73,-1.59
195704,-2.88,-2.74
195804,1.91,2.05
195904,-1.01,-0.87
196004,-.41,-0.27
196104,.76,0.90
196204,-1.45,-1.31
196304,-.47,-0.33
196404,-1.3,-1.16
196504,-3.2,-3.06
196604,-3.52,-3.38
196704,-2.85,-2.71
196804,-.99,-0.85
196904,1.07,1.21
197004,.92,1.06
197104,-.64,-0.50
197204,1.36,1.50
197304,3.25,3.39
197404,3.79,3.93
197504,-.81,-0.67
197604,1.33,1.47
197704,2.07,2.21
197804,-.79,-0.65
197904,2.52,2.66
198004,-1.33,-1.19
198104,-1.72,-1.58
198204,.3,0.44
198304,2.96,3.10
198404,2.37,2.51
198504,-3.59,-3.45
198604,-1.08,-0.94
198704,-1.45,-1.31
198804,-2.01,-1.87
198904,-.03,0.11
199004,.01,0.15
199104,.9,1.04
199204,-.51,-0.37
199304,1.17,1.31
199404,1.35,1.49
199504,-1.32,-1.18
199604,2.14,2.28
199704,2.14,2.28
199804,1.11,1.25
199904,-1.38,-1.24
200004,2.4,2.54
200104,-2.49,-2.35
200204,-3.14,-3.00
200304,-2.68,-2.54
200404,-2.08,-1.94
200504,2.32,2.46
200604,2.38,2.52
200704,4.34,4.48
200804,3.68,3.82
200904,2.8,2.94
201004,-.68,-0.54
201104,2.79,2.93
201204,.16,0.30
201304,-1.82,-1.68
201404,1.72,1.86
201504,-1.19,-1.05
