Arizona, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,2.06,1.95
189611,1.92,1.81
189711,-.61,-0.72
189811,-2.41,-2.52
189911,-2.64,-2.75
190011,-3.51,-3.62
190111,-3.32,-3.43
190211,-4.15,-4.26
190311,-2.8,-2.91
190411,-3.65,-3.76
190511,6.67,6.56
190611,4.4,4.29
190711,4.69,4.58
190811,1.51,1.40
190911,0,-0.11
191011,.72,0.61
191111,-.53,-0.64
191211,-.56,-0.67
191311,-.18,-0.29
191411,.71,0.60
191511,3.49,3.38
191611,4.02,3.91
191711,-1.93,-2.04
191811,.43,0.32
191911,4.49,4.38
192011,-.46,-0.57
192111,.92,0.81
192211,-.32,-0.43
192311,1.95,1.84
192411,-1.93,-2.04
192511,-.05,-0.16
192611,-.87,-0.98
192711,-.69,-0.80
192811,-1.97,-2.08
192911,-.85,-0.96
193011,.88,0.77
193111,3.06,2.95
193211,-1.15,-1.26
193311,-.19,-0.30
193411,-.01,-0.12
193511,-.39,-0.50
193611,.08,-0.03
193711,-1.4,-1.51
193811,-1.7,-1.81
193911,-.16,-0.27
194011,1.75,1.64
194111,6.84,6.73
194211,-1.93,-2.04
194311,-.76,-0.87
194411,.74,0.63
194511,-1.23,-1.34
194611,1.57,1.46
194711,-2.3,-2.41
194811,-2.24,-2.35
194911,-.69,-0.80
195011,-3.51,-3.62
195111,1.17,1.06
195211,-.07,-0.18
195311,-1.99,-2.10
195411,-1.97,-2.08
195511,-1.65,-1.76
195611,-4.65,-4.76
195711,1.59,1.48
195811,-.12,-0.23
195911,.69,0.58
196011,-.94,-1.05
196111,.45,0.34
196211,-1.3,-1.41
196311,-.88,-0.99
196411,.32,0.21
196511,1.7,1.59
196611,-.38,-0.49
196711,-.67,-0.78
196811,-.93,-1.04
196911,.44,0.33
197011,-.6,-0.71
197111,1.63,1.52
197211,3.1,2.99
197311,-1.89,-2.00
197411,-1.73,-1.84
197511,-1.41,-1.52
197611,-.4,-0.51
197711,-2.04,-2.15
197811,3.68,3.57
197911,3.11,3.00
198011,-1.6,-1.71
198111,-1.39,-1.50
198211,1.53,1.42
198311,6.41,6.30
198411,2.2,2.09
198511,3.94,3.83
198611,.95,0.84
198711,.93,0.82
198811,-.72,-0.83
198911,-4.16,-4.27
199011,.86,0.75
199111,.3,0.19
199211,2.85,2.74
199311,.84,0.73
199411,.64,0.53
199511,-1.78,-1.89
199611,-3.48,-3.59
199711,.15,0.04
199811,.41,0.30
199911,-1.73,-1.84
200011,2.23,2.12
200111,-2.22,-2.33
200211,-4.45,-4.56
200311,-3.36,-3.47
200411,1.84,1.73
200511,-1.52,-1.63
200611,-2.84,-2.95
200711,-4.28,-4.39
200811,-1.59,-1.70
200911,-4.56,-4.67
201011,-.92,-1.03
201111,-2.74,-2.85
201211,-3.9,-4.01
201311,-1.16,-1.27
201411,-2.67,-2.78
201511,0,-0.11
