New York, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.49,-0.38
189602,1.51,1.62
189702,-2.06,-1.95
189802,1.9,2.01
189902,1.15,1.26
190002,1.27,1.38
190102,-2.66,-2.55
190202,1.55,1.66
190302,2.24,2.35
190402,2.11,2.22
190502,-1.48,-1.37
190602,-1.13,-1.02
190702,-.9,-0.79
190802,2.54,2.65
190902,-2.23,-2.12
191002,-1.15,-1.04
191102,-2.05,-1.94
191202,-1.87,-1.76
191302,1.09,1.20
191402,-2.23,-2.12
191502,1.3,1.41
191602,2.2,2.31
191702,-1.69,-1.58
191802,-.86,-0.75
191902,-1.27,-1.16
192002,.24,0.35
192102,-.57,-0.46
192202,-.66,-0.55
192302,-1.48,-1.37
192402,-.79,-0.68
192502,.4,0.51
192602,-.11,0.00
192702,-.42,-0.31
192802,2.73,2.84
192902,.87,0.98
193002,-.57,-0.46
193102,-4.27,-4.16
193202,.65,0.76
193302,-1.16,-1.05
193402,-1.08,-0.97
193502,-1.74,-1.63
193602,.09,0.20
193702,.98,1.09
193802,.42,0.53
193902,.69,0.80
194002,.37,0.48
194102,-.92,-0.81
194202,-3.21,-3.10
194302,1.43,1.54
194402,-.04,0.07
194502,.55,0.66
194602,-.77,-0.66
194702,.24,0.35
194802,-2.07,-1.96
194902,-.07,0.04
195002,1.41,1.52
195102,2.07,2.18
195202,2.07,2.18
195302,.56,0.67
195402,.51,0.62
195502,.2,0.31
195602,1.26,1.37
195702,-1.3,-1.19
195802,1.38,1.49
195902,-.11,0.00
196002,2.84,2.95
196102,.5,0.61
196202,-1.55,-1.44
196302,-2.26,-2.15
196402,-3.11,-3.00
196502,-4.69,-4.58
196602,-2.85,-2.74
196702,-3.02,-2.91
196802,-1.36,-1.25
196902,-.89,-0.78
197002,-.71,-0.60
197102,1.5,1.61
197202,.7,0.81
197302,3.37,3.48
197402,1.04,1.15
197502,2.23,2.34
197602,3.43,3.54
197702,2.31,2.42
197802,-.9,-0.79
197902,1.81,1.92
198002,-2.16,-2.05
198102,-.59,-0.48
198202,-.3,-0.19
198302,-1.98,-1.87
198402,1.31,1.42
198502,-1.24,-1.13
198602,-.07,0.04
198702,-1.18,-1.07
198802,-.81,-0.70
198902,-2.13,-2.02
199002,2.42,2.53
199102,-.69,-0.58
199202,-2.44,-2.33
199302,2.33,2.44
199402,.82,0.93
199502,-.59,-0.48
199602,1.62,1.73
199702,3.7,3.81
199802,2.39,2.50
199902,-1.32,-1.21
200002,.55,0.66
200102,-.9,-0.79
200202,-3.22,-3.11
200302,.54,0.65
200402,2.16,2.27
200502,3.12,3.23
200602,2.32,2.43
200702,3.5,3.61
200802,2.71,2.82
200902,2.18,2.29
201002,-.43,-0.32
201102,1.69,1.80
201202,-.79,-0.68
201302,-.43,-0.32
201402,1.94,2.05
201502,-.75,-0.64
