Florida, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.27,1.12
189606,1.07,0.92
189706,-1.2,-1.35
189806,-4.01,-4.16
189906,-1.53,-1.68
190006,3.09,2.94
190106,2.37,2.22
190206,-1.75,-1.90
190306,2.17,2.02
190406,-1.23,-1.38
190506,-.62,-0.77
190606,2.24,2.09
190706,-2.81,-2.96
190806,-2.02,-2.17
190906,.28,0.13
191006,1.13,0.98
191106,-2.47,-2.62
191206,3.84,3.69
191306,-.4,-0.55
191406,-2.01,-2.16
191506,1.48,1.33
191606,-1.56,-1.71
191706,-1.94,-2.09
191806,-1.8,-1.95
191906,2.4,2.25
192006,1.36,1.21
192106,-1.94,-2.09
192206,1.24,1.09
192306,2.71,2.56
192406,.69,0.54
192506,.57,0.42
192606,2.55,2.40
192706,-3.23,-3.38
192806,2.03,1.88
192906,1.74,1.59
193006,3.87,3.72
193106,-1.52,-1.67
193206,-3.89,-4.04
193306,-.94,-1.09
193406,2.68,2.53
193506,-.42,-0.57
193606,2.26,2.11
193706,.84,0.69
193806,-2.2,-2.35
193906,1.52,1.37
194006,.22,0.07
194106,1.09,0.94
194206,3.21,3.06
194306,.31,0.16
194406,-.9,-1.05
194506,.07,-0.08
194606,1.32,1.17
194706,2.67,2.52
194806,1.84,1.69
194906,.35,0.20
195006,-2.77,-2.92
195106,-1.08,-1.23
195206,-1.32,-1.47
195306,.12,-0.03
195406,-.92,-1.07
195506,-2.27,-2.42
195606,-3.71,-3.86
195706,1.77,1.62
195806,3.7,3.55
195906,3.78,3.63
196006,3.47,3.32
196106,-.45,-0.60
196206,.38,0.23
196306,-1.31,-1.46
196406,1.53,1.38
196506,.84,0.69
196606,3.08,2.93
196706,-2.12,-2.27
196806,1.64,1.49
196906,1.19,1.04
197006,-.68,-0.83
197106,-2.33,-2.48
197206,1.26,1.11
197306,-.21,-0.36
197406,1.03,0.88
197506,.51,0.36
197606,2.07,1.92
197706,-2.57,-2.72
197806,1.64,1.49
197906,1.18,1.03
198006,-.5,-0.65
198106,-3.48,-3.63
198206,2.43,2.28
198306,3.61,3.46
198406,2.45,2.30
198506,-3.35,-3.50
198606,-1.36,-1.51
198706,-1.18,-1.33
198806,-1.52,-1.67
198906,-1.66,-1.81
199006,-1.76,-1.91
199106,2.98,2.83
199206,1.48,1.33
199306,-1.22,-1.37
199406,.55,0.40
199506,1.66,1.51
199606,.17,0.02
199706,1.07,0.92
199806,-3.53,-3.68
199906,-2.33,-2.48
200006,-3.96,-4.11
200106,-4,-4.15
200206,.91,0.76
200306,2.9,2.75
200406,-1.73,-1.88
200506,2.75,2.60
200606,-3.01,-3.16
200706,-5.52,-5.67
200806,-3.98,-4.13
200906,-.23,-0.38
201006,-.96,-1.11
201106,-4.64,-4.79
201206,1.7,1.55
201306,1.17,1.02
201406,-.23,-0.38
201506,-1.85,-2.00
