Massachusetts, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.15,0.02
189612,-.88,-0.71
189712,2.37,2.54
189812,3.22,3.39
189912,-2.23,-2.06
190012,-1.25,-1.08
190112,2.39,2.56
190212,1.65,1.82
190312,-.74,-0.57
190412,-1.1,-0.93
190512,-.64,-0.47
190612,-.58,-0.41
190712,2.56,2.73
190812,-2.21,-2.04
190912,-1.89,-1.72
191012,-3.09,-2.92
191112,1.1,1.27
191212,-1.91,-1.74
191312,-.66,-0.49
191412,-3.02,-2.85
191512,1.5,1.67
191612,-1.26,-1.09
191712,-1.2,-1.03
191812,-.95,-0.78
191912,-.59,-0.42
192012,2,2.17
192112,-.49,-0.32
192212,-1.12,-0.95
192312,.63,0.80
192412,-1.99,-1.82
192512,.49,0.66
192612,-.17,0.00
192712,3.39,3.56
192812,-1.41,-1.24
192912,-2.5,-2.33
193012,-3.42,-3.25
193112,-1.97,-1.80
193212,1.22,1.39
193312,-.67,-0.50
193412,-.44,-0.27
193512,-1.85,-1.68
193612,1.33,1.50
193712,1.6,1.77
193812,-.54,-0.37
193912,-2.62,-2.45
194012,-1.08,-0.91
194112,-3.36,-3.19
194212,1.31,1.48
194312,-1.57,-1.40
194412,.53,0.70
194512,2.05,2.22
194612,-1.69,-1.52
194712,-1.32,-1.15
194812,-1.07,-0.90
194912,-4.08,-3.91
195012,.44,0.61
195112,1.54,1.71
195212,-.03,0.14
195312,.62,0.79
195412,2.16,2.33
195512,3.17,3.34
195612,-.6,-0.43
195712,.73,0.90
195812,-.84,-0.67
195912,1.51,1.68
196012,-.48,-0.31
196112,-.74,-0.57
196212,-.04,0.13
196312,-2.08,-1.91
196412,-4.1,-3.93
196512,-5.37,-5.20
196612,-2.91,-2.74
196712,-.07,0.10
196812,1.15,1.32
196912,2.42,2.59
197012,-1.04,-0.87
197112,-1.58,-1.41
197212,4.44,4.61
197312,3.1,3.27
197412,1.05,1.22
197512,3.39,3.56
197612,-1.05,-0.88
197712,2.73,2.90
197812,.09,0.26
197912,-.67,-0.50
198012,-2.82,-2.65
198112,.96,1.13
198212,-1.48,-1.31
198312,2.28,2.45
198412,-1.93,-1.76
198512,-.79,-0.62
198612,2.44,2.61
198712,-.65,-0.48
198812,-.88,-0.71
198912,2.36,2.53
199012,-.14,0.03
199112,-.17,0.00
199212,2.15,2.32
199312,.87,1.04
199412,-.43,-0.26
199512,1.37,1.54
199612,4.66,4.83
199712,.28,0.45
199812,-2,-1.83
199912,-.96,-0.79
200012,-.1,0.07
200112,-2.95,-2.78
200212,1.23,1.40
200312,2.73,2.90
200412,1.3,1.47
200512,3.21,3.38
200612,2.34,2.51
200712,.46,0.63
200812,3.98,4.15
200912,3.34,3.51
201012,.68,0.85
201112,-.03,0.14
201212,-.76,-0.59
201312,.11,0.28
201412,1.5,1.67
201512,-1.5,-1.33
