Colorado, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,3.88,3.43
189607,-1.02,-1.47
189707,1.57,1.12
189807,2.92,2.47
189907,-1,-1.45
190007,-1.36,-1.81
190107,-3.4,-3.85
190207,-5.53,-5.98
190307,1.92,1.47
190407,.33,-0.12
190507,2.74,2.29
190607,2.22,1.77
190707,3.74,3.29
190807,.4,-0.05
190907,3.36,2.91
191007,-2,-2.45
191107,.62,0.17
191207,3.55,3.10
191307,-.39,-0.84
191407,4.4,3.95
191507,4.15,3.70
191607,2.48,2.03
191707,-.47,-0.92
191807,.41,-0.04
191907,1.24,0.79
192007,3.27,2.82
192107,3.97,3.52
192207,-.94,-1.39
192307,2.76,2.31
192407,-.99,-1.44
192507,.09,-0.36
192607,2.1,1.65
192707,2.11,1.66
192807,3.35,2.90
192907,2.46,2.01
193007,1.44,0.99
193107,-1.46,-1.91
193207,-.24,-0.69
193307,-2.4,-2.85
193407,-6.13,-6.58
193507,-2.78,-3.23
193607,-3.65,-4.10
193707,-2.42,-2.87
193807,1.8,1.35
193907,-2.83,-3.28
194007,-4.42,-4.87
194107,3.64,3.19
194207,5.35,4.90
194307,.54,0.09
194407,2.32,1.87
194507,1.38,0.93
194607,-2.2,-2.65
194707,3.78,3.33
194807,3.47,3.02
194907,4.32,3.87
195007,-1.92,-2.37
195107,.29,-0.16
195207,-1.18,-1.63
195307,-1.43,-1.88
195407,-5.22,-5.67
195507,-4.76,-5.21
195607,-3.55,-4.00
195707,5.17,4.72
195807,.24,-0.21
195907,-1.85,-2.30
196007,-1.02,-1.47
196107,.48,0.03
196207,.53,0.08
196307,-5.28,-5.73
196407,-5.12,-5.57
196507,4.22,3.77
196607,-1.38,-1.83
196707,1.89,1.44
196807,.54,0.09
196907,2.27,1.82
197007,2.8,2.35
197107,1.21,0.76
197207,-3.24,-3.69
197307,4.05,3.60
197407,-1.67,-2.12
197507,1.47,1.02
197607,-1.21,-1.66
197707,-4.43,-4.88
197807,-2.2,-2.65
197907,3.19,2.74
198007,-1.09,-1.54
198107,-3.96,-4.41
198207,1.44,0.99
198307,4.72,4.27
198407,4.15,3.70
198507,4.01,3.56
198607,2.74,2.29
198707,3.27,2.82
198807,-.09,-0.54
198907,-2.42,-2.87
199007,-2.54,-2.99
199107,.6,0.15
199207,1.17,0.72
199307,2.04,1.59
199407,-1.65,-2.10
199507,5.02,4.57
199607,.89,0.44
199707,2.57,2.12
199807,3.62,3.17
199907,3.13,2.68
200007,-3.13,-3.58
200107,-2.47,-2.92
200207,-9.01,-9.46
200307,-4.87,-5.32
200407,.18,-0.27
200507,-.63,-1.08
200607,-.04,-0.49
200707,-.39,-0.84
200807,-1.05,-1.50
200907,1.63,1.18
201007,1.19,0.74
201107,.85,0.40
201207,-5.99,-6.44
201307,-6.4,-6.85
201407,.65,0.20
201507,3.1,2.65
