North Carolina, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.05,-0.10
189608,-.79,-0.84
189708,-.55,-0.60
189808,1.27,1.22
189908,-.33,-0.38
190008,-1.57,-1.62
190108,5.2,5.15
190208,-2.7,-2.75
190308,-.3,-0.35
190408,.82,0.77
190508,2.07,2.02
190608,3.66,3.61
190708,1.75,1.70
190808,4.61,4.56
190908,3.83,3.78
191008,2.79,2.74
191108,-3.6,-3.65
191208,-.91,-0.96
191308,.5,0.45
191408,-2.68,-2.73
191508,.68,0.63
191608,2.49,2.44
191708,1.84,1.79
191808,.22,0.17
191908,-.16,-0.21
192008,2.03,1.98
192108,-1.62,-1.67
192208,3.26,3.21
192308,-1.3,-1.35
192408,1.23,1.18
192508,-3.56,-3.61
192608,-3.44,-3.49
192708,.8,0.75
192808,2.77,2.72
192908,3.31,3.26
193008,-3.19,-3.24
193108,-1.19,-1.24
193208,-3.31,-3.36
193308,-1.49,-1.54
193408,1.06,1.01
193508,.18,0.13
193608,-1.3,-1.35
193708,.59,0.54
193808,1.45,1.40
193908,2.14,2.09
194008,-.58,-0.63
194108,-1.82,-1.87
194208,.69,0.64
194308,-.58,-0.63
194408,-1.83,-1.88
194508,1.18,1.13
194608,2.36,2.31
194708,.09,0.04
194808,-.87,-0.92
194908,2.76,2.71
195008,-.37,-0.42
195108,-1.95,-2.00
195208,-1.37,-1.42
195308,-2.11,-2.16
195408,-3.07,-3.12
195508,1.37,1.32
195608,-.72,-0.77
195708,-1.18,-1.23
195808,.28,0.23
195908,.85,0.80
196008,2.14,2.09
196108,2.46,2.41
196208,.89,0.84
196308,-1.17,-1.22
196408,.78,0.73
196508,-.22,-0.27
196608,-.3,-0.35
196708,2.06,2.01
196808,-1.61,-1.66
196908,1.34,1.29
197008,-.76,-0.81
197108,1.49,1.44
197208,1.54,1.49
197308,-.36,-0.41
197408,1.9,1.85
197508,1.83,1.78
197608,.32,0.27
197708,-2.24,-2.29
197808,-.02,-0.07
197908,1.62,1.57
198008,-1.92,-1.97
198108,-2.2,-2.25
198208,1.06,1.01
198308,-2.28,-2.33
198408,-.37,-0.42
198508,.95,0.90
198608,-3.8,-3.85
198708,-2.62,-2.67
198808,-2.6,-2.65
198908,3.12,3.07
199008,-1.96,-2.01
199108,-.21,-0.26
199208,1,0.95
199308,-3.25,-3.30
199408,.6,0.55
199508,1.37,1.32
199608,1.51,1.46
199708,-1.37,-1.42
199808,-1.27,-1.32
199908,-3.05,-3.10
200008,-1.23,-1.28
200108,-1.44,-1.49
200208,-4.73,-4.78
200308,4.6,4.55
200408,1.2,1.15
200508,-.34,-0.39
200608,.69,0.64
200708,-4.28,-4.33
200808,-3.91,-3.96
200908,-.52,-0.57
201008,-2.87,-2.92
201108,-2.94,-2.99
201208,-.34,-0.39
201308,3.1,3.05
201408,.06,0.01
201508,-1.71,-1.76
