Tennessee, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.82,-0.70
189603,-1.46,-1.34
189703,1.98,2.10
189803,-2.43,-2.31
189903,1.92,2.04
190003,-2.9,-2.78
190103,-1.71,-1.59
190203,.87,0.99
190303,.91,1.03
190403,-1.94,-1.82
190503,-2.86,-2.74
190603,-1.21,-1.09
190703,-1.4,-1.28
190803,-.81,-0.69
190903,.77,0.89
191003,-2.91,-2.79
191103,-2.03,-1.91
191203,.8,0.92
191303,2.58,2.70
191403,-3.6,-3.48
191503,-2.71,-2.59
191603,1.57,1.69
191703,2.29,2.41
191803,-2.7,-2.58
191903,.63,0.75
192003,1.35,1.47
192103,-.99,-0.87
192203,1.25,1.37
192303,1.4,1.52
192403,-.72,-0.60
192503,-2.79,-2.67
192603,-2.97,-2.85
192703,2.55,2.67
192803,-1.68,-1.56
192903,2.08,2.20
193003,-.65,-0.53
193103,-4.01,-3.89
193203,1.45,1.57
193303,1.57,1.69
193403,-1.24,-1.12
193503,.52,0.64
193603,-1.37,-1.25
193703,-1.27,-1.15
193803,-1.22,-1.10
193903,1.54,1.66
194003,-2.6,-2.48
194103,-4,-3.88
194203,-3.63,-3.51
194303,-1.3,-1.18
194403,1.81,1.93
194503,-.66,-0.54
194603,-.28,-0.16
194703,-1.27,-1.15
194803,1.55,1.67
194903,1.8,1.92
195003,3.89,4.01
195103,3.26,3.38
195203,.54,0.66
195303,-2.11,-1.99
195403,-2.85,-2.73
195503,1.49,1.61
195603,.96,1.08
195703,.7,0.82
195803,-1.17,-1.05
195903,-1.54,-1.42
196003,-.42,-0.30
196103,.81,0.93
196203,2.6,2.72
196303,1.06,1.18
196403,.75,0.87
196503,1.63,1.75
196603,-2.88,-2.76
196703,-1.58,-1.46
196803,-.83,-0.71
196903,-1.8,-1.68
197003,-1.06,-0.94
197103,-.39,-0.27
197203,.15,0.27
197303,3.84,3.96
197403,3.1,3.22
197503,5.43,5.55
197603,1.94,2.06
197703,.09,0.21
197803,-1.11,-0.99
197903,1.26,1.38
198003,3.78,3.90
198103,-3.42,-3.30
198203,-.65,-0.53
198303,-1.56,-1.44
198403,.18,0.30
198503,-1.92,-1.80
198603,-2.45,-2.33
198703,-1.84,-1.72
198803,-2.96,-2.84
198903,2.56,2.68
199003,3.31,3.43
199103,2.76,2.88
199203,-.91,-0.79
199303,-.64,-0.52
199403,2.62,2.74
199503,-1.25,-1.13
199603,1.06,1.18
199703,3.7,3.82
199803,1.22,1.34
199903,-.64,-0.52
200003,-3.27,-3.15
200103,-2.24,-2.12
200203,2.22,2.34
200303,1.5,1.62
200403,1.96,2.08
200503,-1.06,-0.94
200603,-2.42,-2.30
200703,-2.89,-2.77
200803,-3.11,-2.99
200903,-2.32,-2.20
201003,-.83,-0.71
201103,.42,0.54
201203,-1.28,-1.16
201303,.83,0.95
201403,1.61,1.73
201503,1.44,1.56
201603,1.83,1.95
