West Virginia, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.54,-1.81
189605,-4.44,-4.71
189705,1.12,0.85
189805,.46,0.19
189905,-.53,-0.80
190005,-2.64,-2.91
190105,2.47,2.20
190205,-.64,-0.91
190305,-.81,-1.08
190405,-1.94,-2.21
190505,.16,-0.11
190605,-.97,-1.24
190705,2.05,1.78
190805,4.51,4.24
190905,.56,0.29
191005,.08,-0.19
191105,-1.4,-1.67
191205,1.88,1.61
191305,1.61,1.34
191405,-.98,-1.25
191505,.04,-0.23
191605,2.07,1.80
191705,3.13,2.86
191805,1.83,1.56
191905,.55,0.28
192005,2.22,1.95
192105,-1.91,-2.18
192205,-.52,-0.79
192305,-.61,-0.88
192405,2.31,2.04
192505,-1.8,-2.07
192605,-.99,-1.26
192705,3.11,2.84
192805,1.52,1.25
192905,.84,0.57
193005,-2.71,-2.98
193105,.72,0.45
193205,.31,0.04
193305,2.65,2.38
193405,-1.89,-2.16
193505,1.94,1.67
193605,-1.07,-1.34
193705,1.03,0.76
193805,.74,0.47
193905,-1.16,-1.43
194005,1.04,0.77
194105,-3.45,-3.72
194205,-.01,-0.28
194305,2.4,2.13
194405,-.26,-0.53
194505,.49,0.22
194605,.44,0.17
194705,-3.31,-3.58
194805,1.04,0.77
194905,1.28,1.01
195005,1.37,1.10
195105,2.92,2.65
195205,1.61,1.34
195305,-1.4,-1.67
195405,-4.05,-4.32
195505,-.94,-1.21
195605,2.17,1.90
195705,-1.31,-1.58
195805,1.26,0.99
195905,-1.62,-1.89
196005,-1.45,-1.72
196105,1.18,0.91
196205,-.73,-1.00
196305,-1.24,-1.51
196405,-2.21,-2.48
196505,-1.16,-1.43
196605,-3.46,-3.73
196705,2.15,1.88
196805,1.19,0.92
196905,-3.18,-3.45
197005,-1.31,-1.58
197105,.88,0.61
197205,1.71,1.44
197305,3.01,2.74
197405,1.73,1.46
197505,3.1,2.83
197605,-2.21,-2.48
197705,-2.78,-3.05
197805,.28,0.01
197905,2.18,1.91
198005,2.18,1.91
198105,.74,0.47
198205,-.74,-1.01
198305,1.67,1.40
198405,1.63,1.36
198505,-.82,-1.09
198605,-1.76,-2.03
198705,-.67,-0.94
198805,-2.89,-3.16
198905,2.02,1.75
199005,1.74,1.47
199105,-1.59,-1.86
199205,-.46,-0.73
199305,-.74,-1.01
199405,3.85,3.58
199505,.91,0.64
199605,3.27,3.00
199705,2.84,2.57
199805,2,1.73
199905,-3.08,-3.35
200005,.14,-0.13
200105,.91,0.64
200205,1.63,1.36
200305,2.12,1.85
200405,4.35,4.08
200505,-.16,-0.43
200605,-2.57,-2.84
200705,-1.38,-1.65
200805,1.35,1.08
200905,1.2,0.93
201005,-.87,-1.14
201105,2.27,2.00
201205,-.9,-1.17
201305,-1.17,-1.44
201405,-.61,-0.88
201505,.6,0.33
