Oregon, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.96,-0.85
189604,1.43,1.54
189704,-.5,-0.39
189804,-1.86,-1.75
189904,1.09,1.20
190004,-.05,0.06
190104,.27,0.38
190204,2.19,2.30
190304,-.89,-0.78
190404,4.28,4.39
190504,-2.25,-2.14
190604,.11,0.22
190704,2.36,2.47
190804,-1.43,-1.32
190904,-1.4,-1.29
191004,-1.21,-1.10
191104,-1.78,-1.67
191204,1.23,1.34
191304,1.22,1.33
191404,-.84,-0.73
191504,-2.32,-2.21
191604,2.22,2.33
191704,1.4,1.51
191804,-1,-0.89
191904,1.49,1.60
192004,.92,1.03
192104,.03,0.14
192204,.97,1.08
192304,.17,0.28
192404,-3.02,-2.91
192504,.63,0.74
192604,-3.03,-2.92
192704,1.38,1.49
192804,1.32,1.43
192904,-2.87,-2.76
193004,-3.83,-3.72
193104,-3.53,-3.42
193204,1.03,1.14
193304,-1.26,-1.15
193404,-3.13,-3.02
193504,-1.12,-1.01
193604,-2.04,-1.93
193704,1.73,1.84
193804,-.1,0.01
193904,-3.17,-3.06
194004,-1.36,-1.25
194104,-2.73,-2.62
194204,1.07,1.18
194304,2.19,2.30
194404,-1.92,-1.81
194504,.99,1.10
194604,-.63,-0.52
194704,-1.68,-1.57
194804,2.78,2.89
194904,-1.23,-1.12
195004,-.19,-0.08
195104,-.68,-0.57
195204,-.67,-0.56
195304,1.36,1.47
195404,-.72,-0.61
195504,1.37,1.48
195604,2.39,2.50
195704,1.63,1.74
195804,1.99,2.10
195904,-1.46,-1.35
196004,1.33,1.44
196104,-.28,-0.17
196204,-.71,-0.60
196304,1.25,1.36
196404,-1.03,-0.92
196504,-1.86,-1.75
196604,-1.71,-1.60
196704,-.61,-0.50
196804,-2.85,-2.74
196904,-1.08,-0.97
197004,-.63,-0.52
197104,2.1,2.21
197204,3.15,3.26
197304,-2.84,-2.73
197404,3.81,3.92
197504,1.76,1.87
197604,-.06,0.05
197704,-5.47,-5.36
197804,1.22,1.33
197904,-.03,0.08
198004,.15,0.26
198104,-1.34,-1.23
198204,3.61,3.72
198304,4.41,4.52
198404,3.45,3.56
198504,-2.22,-2.11
198604,-.53,-0.42
198704,-1.78,-1.67
198804,-2.8,-2.69
198904,-.27,-0.16
199004,-2.11,-2.00
199104,1.05,1.16
199204,-3.01,-2.90
199304,1.51,1.62
199404,-3,-2.89
199504,1.82,1.93
199604,3.65,3.76
199704,3.78,3.89
199804,1.8,1.91
199904,-.45,-0.34
200004,-1.33,-1.22
200104,-3.48,-3.37
200204,-1.81,-1.70
200304,-1.37,-1.26
200404,-2.87,-2.76
200504,.43,0.54
200604,-.1,0.01
200704,-1.2,-1.09
200804,-.77,-0.66
200904,-2.23,-2.12
201004,.91,1.02
201104,3.64,3.75
201204,1.92,2.03
201304,-2.22,-2.11
201404,-.89,-0.78
201504,-2.81,-2.70
