Kentucky, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.9,-0.81
189602,-2.49,-2.40
189702,.91,1.00
189802,.54,0.63
189902,1.72,1.81
190002,-2.46,-2.37
190102,-2.52,-2.43
190202,-2.84,-2.75
190302,1.8,1.89
190402,-2.62,-2.53
190502,-4.04,-3.95
190602,-.74,-0.65
190702,2.72,2.81
190802,2.03,2.12
190902,1.24,1.33
191002,.39,0.48
191102,-.54,-0.45
191202,.84,0.93
191302,2.25,2.34
191402,-2.96,-2.87
191502,-2.06,-1.97
191602,3.91,4.00
191702,1.47,1.56
191802,-.61,-0.52
191902,-1.74,-1.65
192002,2.93,3.02
192102,-1.02,-0.93
192202,.79,0.88
192302,1.18,1.27
192402,-.29,-0.20
192502,-.91,-0.82
192602,-.83,-0.74
192702,3.05,3.14
192802,-.85,-0.76
192902,1.57,1.66
193002,-.21,-0.12
193102,-7.01,-6.92
193202,1.16,1.25
193302,.96,1.05
193402,-1.76,-1.67
193502,-.4,-0.31
193602,-.9,-0.81
193702,-.41,-0.32
193802,-1.55,-1.46
193902,1.95,2.04
194002,-3.33,-3.24
194102,-4.23,-4.14
194202,-3.76,-3.67
194302,-1.3,-1.21
194402,-3.47,-3.38
194502,1.03,1.12
194602,.74,0.83
194702,-1.03,-0.94
194802,.49,0.58
194902,2.04,2.13
195002,3.13,3.22
195102,4.36,4.45
195202,2.45,2.54
195302,-3.1,-3.01
195402,-5.09,-5.00
195502,1.2,1.29
195602,1.7,1.79
195702,.84,0.93
195802,1.09,1.18
195902,-.71,-0.62
196002,-.59,-0.50
196102,.23,0.32
196202,2.83,2.92
196302,-1.42,-1.33
196402,-3.26,-3.17
196502,.29,0.38
196602,-1.05,-0.96
196702,-1.02,-0.93
196802,.6,0.69
196902,-.88,-0.79
197002,-.67,-0.58
197102,1.27,1.36
197202,1.08,1.17
197302,1.5,1.59
197402,2.11,2.20
197502,2.96,3.05
197602,2.81,2.90
197702,-1.93,-1.84
197802,1.79,1.88
197902,3.55,3.64
198002,-1.09,-1.00
198102,-2.66,-2.57
198202,-.13,-0.04
198302,-1.13,-1.04
198402,.37,0.46
198502,-.59,-0.50
198602,-1.02,-0.93
198702,-1.25,-1.16
198802,-2.41,-2.32
198902,3.43,3.52
199002,3.27,3.36
199102,3.14,3.23
199202,-2.11,-2.02
199302,-.33,-0.24
199402,1.75,1.84
199502,-1.01,-0.92
199602,.09,0.18
199702,2.61,2.70
199802,-1.81,-1.72
199902,-1.48,-1.39
200002,-3.63,-3.54
200102,-1.86,-1.77
200202,.62,0.71
200302,2.47,2.56
200402,2.72,2.81
200502,-.45,-0.36
200602,-2.79,-2.70
200702,-.58,-0.49
200802,.96,1.05
200902,-1.9,-1.81
201002,-.72,-0.63
201102,.37,0.46
201202,-.64,-0.55
201302,.65,0.74
201402,2.85,2.94
201502,1.03,1.12
201602,2.88,2.97
