Kansas, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.74,-1.03
189604,1.17,0.88
189704,2.47,2.18
189804,.25,-0.04
189904,1.01,0.72
190004,.91,0.62
190104,.78,0.49
190204,-3.14,-3.43
190304,2.51,2.22
190404,1.5,1.21
190504,2.26,1.97
190604,1.76,1.47
190704,1.67,1.38
190804,.66,0.37
190904,1.81,1.52
191004,-1.55,-1.84
191104,-1.85,-2.14
191204,1.21,0.92
191304,-1.06,-1.35
191404,-1.78,-2.07
191504,1.27,0.98
191604,3.81,3.52
191704,-2.02,-2.31
191804,-2.48,-2.77
191904,2.54,2.25
192004,-.83,-1.12
192104,-.41,-0.70
192204,1.71,1.42
192304,.06,-0.23
192404,-.01,-0.30
192504,-1.33,-1.62
192604,-1.76,-2.05
192704,1.91,1.62
192804,2.09,1.80
192904,3.67,3.38
193004,-1.05,-1.34
193104,.61,0.32
193204,-.41,-0.70
193304,-2.11,-2.40
193404,-4.26,-4.55
193504,-5.5,-5.79
193604,-3.14,-3.43
193704,-3.97,-4.26
193804,-4.09,-4.38
193904,-2.79,-3.08
194004,-4.08,-4.37
194104,.96,0.67
194204,4.24,3.95
194304,2.36,2.07
194404,3.73,3.44
194504,4.32,4.03
194604,-1.27,-1.56
194704,2.35,2.06
194804,-.81,-1.10
194904,2.35,2.06
195004,-1.58,-1.87
195104,1.78,1.49
195204,5.17,4.88
195304,-3.18,-3.47
195404,-4.43,-4.72
195504,-4.92,-5.21
195604,-5.53,-5.82
195704,.9,0.61
195804,2.72,2.43
195904,1.8,1.51
196004,3.21,2.92
196104,1.24,0.95
196204,3.36,3.07
196304,-1.9,-2.19
196404,-3.68,-3.97
196504,-.47,-0.76
196604,-.66,-0.95
196704,-3.34,-3.63
196804,-1.12,-1.41
196904,2.27,1.98
197004,.69,0.40
197104,-.72,-1.01
197204,-1.05,-1.34
197304,5.25,4.96
197404,4.55,4.26
197504,1.66,1.37
197604,1.01,0.72
197704,.04,-0.25
197804,-.68,-0.97
197904,.94,0.65
198004,-.17,-0.46
198104,-3.88,-4.17
198204,.59,0.30
198304,2.81,2.52
198404,2.66,2.37
198504,2.16,1.87
198604,2.45,2.16
198704,4.66,4.37
198804,.6,0.31
198904,-3.88,-4.17
199004,.58,0.29
199104,-2.11,-2.40
199204,-.5,-0.79
199304,4.98,4.69
199404,5.23,4.94
199504,1.39,1.10
199604,-2.26,-2.55
199704,2.18,1.89
199804,3.86,3.57
199904,4.26,3.97
200004,-.42,-0.71
200104,1.04,0.75
200204,-2.12,-2.41
200304,-1.41,-1.70
200404,-.86,-1.15
200504,1.65,1.36
200604,-1.67,-1.96
200704,1.38,1.09
200804,1.96,1.67
200904,4.15,3.86
201004,3.74,3.45
201104,-1.29,-1.58
201204,-.85,-1.14
201304,-2.86,-3.15
201404,-1.87,-2.16
201504,-1.04,-1.33
