Indiana, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.63,-0.54
189602,-2.84,-2.75
189702,2.75,2.84
189802,1.14,1.23
189902,1.49,1.58
190002,-2.19,-2.10
190102,-2.21,-2.12
190202,-4.23,-4.14
190302,2.67,2.76
190402,.65,0.74
190502,-2.46,-2.37
190602,1.54,1.63
190702,1.48,1.57
190802,3.77,3.86
190902,1.13,1.22
191002,2.85,2.94
191102,-.18,-0.09
191202,1.46,1.55
191302,2.45,2.54
191402,-1.82,-1.73
191502,-4.17,-4.08
191602,-.42,-0.33
191702,-1.8,-1.71
191802,-.86,-0.77
191902,-.71,-0.62
192002,-1.04,-0.95
192102,-1.51,-1.42
192202,1.3,1.39
192302,.13,0.22
192402,1.3,1.39
192502,-1.74,-1.65
192602,.3,0.39
192702,2.5,2.59
192802,2.92,3.01
192902,1.36,1.45
193002,-.03,0.06
193102,-6.8,-6.71
193202,-.33,-0.24
193302,2,2.09
193402,-3.94,-3.85
193502,-4.33,-4.24
193602,-1.69,-1.60
193702,2.55,2.64
193802,1.48,1.57
193902,1.34,1.43
194002,-3.61,-3.52
194102,-4.58,-4.49
194202,.94,1.03
194302,-.74,-0.65
194402,-2.81,-2.72
194502,-4.7,-4.61
194602,.39,0.48
194702,-1.59,-1.50
194802,.24,0.33
194902,2.86,2.95
195002,5.02,5.11
195102,4.29,4.38
195202,2.47,2.56
195302,-1.88,-1.79
195402,-4.96,-4.87
195502,.86,0.95
195602,.92,1.01
195702,-2.48,-2.39
195802,-.89,-0.80
195902,3.32,3.41
196002,.64,0.73
196102,.1,0.19
196202,2,2.09
196302,-2.17,-2.08
196402,-5.27,-5.18
196502,-2.93,-2.84
196602,-1.04,-0.95
196702,-.43,-0.34
196802,-.33,-0.24
196902,-.61,-0.52
197002,-.97,-0.88
197102,.99,1.08
197202,-.68,-0.59
197302,1.82,1.91
197402,2.14,2.23
197502,2.44,2.53
197602,1.8,1.89
197702,-1.47,-1.38
197802,1.49,1.58
197902,1.67,1.76
198002,2.39,2.48
198102,-1.16,-1.07
198202,2.42,2.51
198302,-.98,-0.89
198402,.58,0.67
198502,1.57,1.66
198602,-.13,-0.04
198702,-1.02,-0.93
198802,-.74,-0.65
198902,.6,0.69
199002,3.02,3.11
199102,-.28,-0.19
199202,-2.37,-2.28
199302,3.08,3.17
199402,-.34,-0.25
199502,-1.33,-1.24
199602,-1.61,-1.52
199702,3.26,3.35
199802,-1.05,-0.96
199902,1.33,1.42
200002,-3.41,-3.32
200102,-.16,-0.07
200202,2.99,3.08
200302,-1.58,-1.49
200402,2.93,3.02
200502,0,0.09
200602,-.23,-0.14
200702,4.42,4.51
200802,2.04,2.13
200902,1.97,2.06
201002,-.59,-0.50
201102,.93,1.02
201202,-.34,-0.25
201302,.88,0.97
201402,1.21,1.30
201502,1.93,2.02
201602,2.35,2.44
