Kentucky, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,-2.34,-2.11
189611,1.07,1.30
189711,-2.57,-2.34
189811,1.36,1.59
189911,-3.01,-2.78
190011,-1.35,-1.12
190111,-3.58,-3.35
190211,-2.94,-2.71
190311,-2.23,-2.00
190411,-4.16,-3.93
190511,1.66,1.89
190611,1.98,2.21
190711,2.53,2.76
190811,-2.75,-2.52
190911,-.95,-0.72
191011,-.09,0.14
191111,.62,0.85
191211,.84,1.07
191311,-2.9,-2.67
191411,-2.74,-2.51
191511,3.04,3.27
191611,1.15,1.38
191711,-.56,-0.33
191811,-1.5,-1.27
191911,2.8,3.03
192011,-.61,-0.38
192111,1.35,1.58
192211,-2.04,-1.81
192311,.76,0.99
192411,-1.48,-1.25
192511,2.65,2.88
192611,2.86,3.09
192711,-.23,0.00
192811,2.15,2.38
192911,1.68,1.91
193011,-6.03,-5.80
193111,-4.21,-3.98
193211,.26,0.49
193311,-1.2,-0.97
193411,-2.38,-2.15
193511,-.03,0.20
193611,-3.83,-3.60
193711,-1.05,-0.82
193811,-.58,-0.35
193911,-2.66,-2.43
194011,-3.36,-3.13
194111,-3.87,-3.64
194211,1.98,2.21
194311,-2.88,-2.65
194411,-3.79,-3.56
194511,.5,0.73
194611,-.52,-0.29
194711,-.84,-0.61
194811,.99,1.22
194911,0,0.23
195011,4.63,4.86
195111,2.01,2.24
195211,-3.2,-2.97
195311,-5.31,-5.08
195411,-4.26,-4.03
195511,-1.26,-1.03
195611,-1.35,-1.12
195711,1.85,2.08
195811,-.17,0.06
195911,-.76,-0.53
196011,-.72,-0.49
196111,1.19,1.42
196211,1.62,1.85
196311,-2.47,-2.24
196411,-2.01,-1.78
196511,-.6,-0.37
196611,.77,1.00
196711,2.35,2.58
196811,-.67,-0.44
196911,-.65,-0.42
197011,1.02,1.25
197111,-.88,-0.65
197211,2.08,2.31
197311,2.61,2.84
197411,3.31,3.54
197511,3.54,3.77
197611,-.36,-0.13
197711,2.74,2.97
197811,1.1,1.33
197911,6.55,6.78
198011,-1.74,-1.51
198111,-.47,-0.24
198211,1.52,1.75
198311,1.21,1.44
198411,1.5,1.73
198511,2.23,2.46
198611,-.89,-0.66
198711,-3.5,-3.27
198811,1.52,1.75
198911,4.05,4.28
199011,1.44,1.67
199111,-2.42,-2.19
199211,1.63,1.86
199311,1.27,1.50
199411,-1.01,-0.78
199511,.75,0.98
199611,3.72,3.95
199711,-1.5,-1.27
199811,-2.37,-2.14
199911,-4.37,-4.14
200011,-2.02,-1.79
200111,1.71,1.94
200211,2.06,2.29
200311,4.32,4.55
200411,4.18,4.41
200511,-2.57,-2.34
200611,3.46,3.69
200711,.29,0.52
200811,-2.7,-2.47
200911,-.56,-0.33
201011,-1.77,-1.54
201111,4.09,4.32
201211,.51,0.74
201311,3.1,3.33
201411,2.35,2.58
201511,3.37,3.60
