Kansas, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,1.41,1.12
189610,2.19,1.90
189710,-.71,-1.00
189810,1.89,1.60
189910,-.68,-0.97
190010,1.13,0.84
190110,-2.15,-2.44
190210,2.63,2.34
190310,3.67,3.38
190410,3.62,3.33
190510,2.59,2.30
190610,2.4,2.11
190710,1.99,1.70
190810,2.95,2.66
190910,2.1,1.81
191010,-1.64,-1.93
191110,-3.29,-3.58
191210,.09,-0.20
191310,-3.4,-3.69
191410,-1.98,-2.27
191510,5.65,5.36
191610,-1.23,-1.52
191710,-2.43,-2.72
191810,.62,0.33
191910,-.61,-0.90
192010,1,0.71
192110,-1.03,-1.32
192210,-1.42,-1.71
192310,3.3,3.01
192410,-.43,-0.72
192510,-1.57,-1.86
192610,1.02,0.73
192710,3.25,2.96
192810,3.28,2.99
192910,3.12,2.83
193010,.73,0.44
193110,-1.61,-1.90
193210,-.78,-1.07
193310,-3.77,-4.06
193410,-6.52,-6.81
193510,-2.49,-2.78
193610,-4.67,-4.96
193710,-4.97,-5.26
193810,-3.28,-3.57
193910,-5.5,-5.79
194010,-4.42,-4.71
194110,4.38,4.09
194210,4.62,4.33
194310,1.31,1.02
194410,3.02,2.73
194510,-.33,-0.62
194610,1.03,0.74
194710,-2.04,-2.33
194810,1.04,0.75
194910,3.3,3.01
195010,2.47,2.18
195110,6.79,6.50
195210,-3.81,-4.10
195310,-5.07,-5.36
195410,-4.94,-5.23
195510,-4.84,-5.13
195610,-7.98,-8.27
195710,2.69,2.40
195810,3.55,3.26
195910,3.28,2.99
196010,2.49,2.20
196110,4.37,4.08
196210,-.23,-0.52
196310,-3.28,-3.57
196410,-4.36,-4.65
196510,3.15,2.86
196610,-2.18,-2.47
196710,1.96,1.67
196810,1.13,0.84
196910,3.85,3.56
197010,1.08,0.79
197110,.51,0.22
197210,1.05,0.76
197310,5.68,5.39
197410,2.05,1.76
197510,-1.28,-1.57
197610,-.94,-1.23
197710,-.06,-0.35
197810,-1.65,-1.94
197910,1.69,1.40
198010,-2.66,-2.95
198110,.57,0.28
198210,1.54,1.25
198310,.36,0.07
198410,.94,0.65
198510,4.08,3.79
198610,4.35,4.06
198710,-.36,-0.65
198810,-2.24,-2.53
198910,-.26,-0.55
199010,-.94,-1.23
199110,-3.85,-4.14
199210,2.72,2.43
199310,7.18,6.89
199410,1.73,1.44
199510,-.69,-0.98
199610,1.84,1.55
199710,3.38,3.09
199810,2.62,2.33
199910,-.55,-0.84
200010,.69,0.40
200110,-.37,-0.66
200210,-2.17,-2.46
200310,-1.41,-1.70
200410,1.26,0.97
200510,-.06,-0.35
200610,-2.19,-2.48
200710,2.14,1.85
200810,4.68,4.39
200910,5.06,4.77
201010,-.62,-0.91
201110,-2.99,-3.28
201210,-3.93,-4.22
201310,-.84,-1.13
201410,.86,0.57
201510,1.08,0.79
