Arkansas, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.68,-1.60
189605,-1.48,-1.40
189705,-1.95,-1.87
189805,.42,0.50
189905,-.98,-0.90
190005,-2.44,-2.36
190105,-1.68,-1.60
190205,-2.83,-2.75
190305,1.68,1.76
190405,-1.73,-1.65
190505,1.59,1.67
190605,1.64,1.72
190705,3.62,3.70
190805,.75,0.83
190905,.64,0.72
191005,.61,0.69
191105,-1.79,-1.71
191205,-.74,-0.66
191305,-.44,-0.36
191405,-1.18,-1.10
191505,.14,0.22
191605,-1.83,-1.75
191705,-.33,-0.25
191805,-2.75,-2.67
191905,.44,0.52
192005,2.02,2.10
192105,-.82,-0.74
192205,-.07,0.01
192305,1.82,1.90
192405,-.62,-0.54
192505,-4.57,-4.49
192605,-2.55,-2.47
192705,3.19,3.27
192805,.68,0.76
192905,.5,0.58
193005,-.59,-0.51
193105,-2.51,-2.43
193205,-1.5,-1.42
193305,-.01,0.07
193405,-1.53,-1.45
193505,1.66,1.74
193605,-3.52,-3.44
193705,-1.65,-1.57
193805,-.19,-0.11
193905,-.1,-0.02
194005,.24,0.32
194105,-1.88,-1.80
194205,-.32,-0.24
194305,-1.24,-1.16
194405,1.83,1.91
194505,3.26,3.34
194605,4.41,4.49
194705,-1.26,-1.18
194805,-.55,-0.47
194905,.7,0.78
195005,2.72,2.80
195105,-1.61,-1.53
195205,-.3,-0.22
195305,1.9,1.98
195405,-3.29,-3.21
195505,-2.77,-2.69
195605,-2.47,-2.39
195705,2.94,3.02
195805,3.5,3.58
195905,-1.7,-1.62
196005,.26,0.34
196105,1.24,1.32
196205,-1.5,-1.42
196305,-2.77,-2.69
196405,-2.35,-2.27
196505,-1.94,-1.86
196605,-.97,-0.89
196705,.79,0.87
196805,2.53,2.61
196905,-.92,-0.84
197005,.14,0.22
197105,-1.66,-1.58
197205,-2.6,-2.52
197305,4.33,4.41
197405,2.29,2.37
197505,3.68,3.76
197605,.19,0.27
197705,-1.98,-1.90
197805,-.94,-0.86
197905,3.2,3.28
198005,-.22,-0.14
198105,.72,0.80
198205,-.27,-0.19
198305,1.23,1.31
198405,.96,1.04
198505,-.49,-0.41
198605,.14,0.22
198705,-1.59,-1.51
198805,-1.49,-1.41
198905,1.7,1.78
199005,3.37,3.45
199105,2.72,2.80
199205,-1.41,-1.33
199305,.49,0.57
199405,.76,0.84
199505,-.59,-0.51
199605,-2.49,-2.41
199705,2.72,2.80
199805,-1.03,-0.95
199905,-1.14,-1.06
200005,-2.55,-2.47
200105,-1.05,-0.97
200205,-.15,-0.07
200305,.4,0.48
200405,.22,0.30
200505,-1.63,-1.55
200605,-3.6,-3.52
200705,-1.96,-1.88
200805,1.89,1.97
200905,2.97,3.05
201005,-.93,-0.85
201105,-.7,-0.62
201205,-2.7,-2.62
201305,.68,0.76
201405,.52,0.60
201505,2.36,2.44
