Maine, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.92,-1.75
189606,-1.41,-1.24
189706,1.12,1.29
189806,-.44,-0.27
189906,-1.42,-1.25
190006,3.3,3.47
190106,-.58,-0.41
190206,3.68,3.85
190306,-1.73,-1.56
190406,.42,0.59
190506,-2.25,-2.08
190606,1.15,1.32
190706,1.03,1.20
190806,-.83,-0.66
190906,1.62,1.79
191006,-.69,-0.52
191106,-3.34,-3.17
191206,-.52,-0.35
191306,-1.33,-1.16
191406,-.59,-0.42
191506,-2.69,-2.52
191606,.98,1.15
191706,3.45,3.62
191806,.37,0.54
191906,-.73,-0.56
192006,1.27,1.44
192106,-2.57,-2.40
192206,2.47,2.64
192306,-1.05,-0.88
192406,-1.67,-1.50
192506,.71,0.88
192606,-.59,-0.42
192706,.45,0.62
192806,2.31,2.48
192906,-.35,-0.18
193006,-1.59,-1.42
193106,.48,0.65
193206,-2.03,-1.86
193306,-.61,-0.44
193406,.33,0.50
193506,.82,0.99
193606,-.12,0.05
193706,.87,1.04
193806,.31,0.48
193906,-.85,-0.68
194006,1.84,2.01
194106,-3.21,-3.04
194206,-.92,-0.75
194306,.95,1.12
194406,-2.23,-2.06
194506,1.8,1.97
194606,-1.48,-1.31
194706,1.53,1.70
194806,-2.04,-1.87
194906,-3,-2.83
195006,-2.48,-2.31
195106,1.82,1.99
195206,-.07,0.10
195306,-.87,-0.70
195406,2.86,3.03
195506,-1.09,-0.92
195606,-1.61,-1.44
195706,-2.96,-2.79
195806,1.51,1.68
195906,1.15,1.32
196006,.16,0.33
196106,-.03,0.14
196206,-2,-1.83
196306,-1.56,-1.39
196406,-2.35,-2.18
196506,-4.24,-4.07
196606,-3.43,-3.26
196706,.96,1.13
196806,-.72,-0.55
196906,.71,0.88
197006,-.16,0.01
197106,-1.25,-1.08
197206,1.94,2.11
197306,3.66,3.83
197406,3.94,4.11
197506,-1.24,-1.07
197606,1.33,1.50
197706,2.3,2.47
197806,-1.01,-0.84
197906,-.77,-0.60
198006,-2.35,-2.18
198106,.28,0.45
198206,-.52,-0.35
198306,-.98,-0.81
198406,4.58,4.75
198506,.28,0.45
198606,.14,0.31
198706,-1.03,-0.86
198806,-2.82,-2.65
198906,1.35,1.52
199006,1.12,1.29
199106,-.74,-0.57
199206,.11,0.28
199306,-.25,-0.08
199406,-.05,0.12
199506,-1.59,-1.42
199606,2.64,2.81
199706,-.2,-0.03
199806,1.96,2.13
199906,-2.07,-1.90
200006,-.43,-0.26
200106,-3.02,-2.85
200206,-2.1,-1.93
200306,-2.32,-2.15
200406,-1.87,-1.70
200506,2.67,2.84
200606,4.33,4.50
200706,3.04,3.21
200806,3.28,3.45
200906,4,4.17
201006,-.59,-0.42
201106,3.15,3.32
201206,2.32,2.49
201306,2.11,2.28
201406,1.91,2.08
201506,1.08,1.25
