Missouri, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,0,-0.34
189601,2.38,2.04
189701,2.73,2.39
189801,.79,0.45
189901,3.49,3.15
190001,-1.79,-2.13
190101,-.54,-0.88
190201,-5.53,-5.87
190301,2.62,2.28
190401,2.29,1.95
190501,-1.41,-1.75
190601,3.61,3.27
190701,2.71,2.37
190801,.63,0.29
190901,.24,-0.10
191001,.78,0.44
191101,-.98,-1.32
191201,.27,-0.07
191301,.78,0.44
191401,-2.08,-2.42
191501,.45,0.11
191601,5.4,5.06
191701,-2.58,-2.92
191801,-2.49,-2.83
191901,-1.89,-2.23
192001,-.39,-0.73
192101,-.59,-0.93
192201,.75,0.41
192301,.05,-0.29
192401,-.02,-0.36
192501,-.34,-0.68
192601,-.04,-0.38
192701,3.01,2.67
192801,4.09,3.75
192901,3.74,3.40
193001,3.35,3.01
193101,-4.01,-4.35
193201,1.22,0.88
193301,.9,0.56
193401,-3.33,-3.67
193501,1.29,0.95
193601,-.56,-0.90
193701,2.43,2.09
193801,.26,-0.08
193901,.14,-0.20
194001,-2.77,-3.11
194101,-2.01,-2.35
194201,2.24,1.90
194301,2.12,1.78
194401,-1.91,-2.25
194501,-1.59,-1.93
194601,3.01,2.67
194701,-.17,-0.51
194801,-.02,-0.36
194901,1.82,1.48
195001,3.49,3.15
195101,1.02,0.68
195201,-.27,-0.61
195301,-2.95,-3.29
195401,-7.09,-7.43
195501,-4.74,-5.08
195601,-4.14,-4.48
195701,-3.71,-4.05
195801,1.61,1.27
195901,-.49,-0.83
196001,.94,0.60
196101,-1.64,-1.98
196201,3.46,3.12
196301,-2.01,-2.35
196401,-4.94,-5.28
196501,.43,0.09
196601,.09,-0.25
196701,-1.67,-2.01
196801,2.16,1.82
196901,2.86,2.52
197001,1.65,1.31
197101,2.25,1.91
197201,-1.69,-2.03
197301,2.1,1.76
197401,4.65,4.31
197501,2.83,2.49
197601,-.8,-1.14
197701,-3.22,-3.56
197801,1.68,1.34
197901,1.09,0.75
198001,-.78,-1.12
198101,-4.6,-4.94
198201,3.38,3.04
198301,4.35,4.01
198401,1.25,0.91
198501,2.86,2.52
198601,3.46,3.12
198701,-.11,-0.45
198801,1.32,0.98
198901,.26,-0.08
199001,.06,-0.28
199101,2.1,1.76
199201,-.31,-0.65
199301,3.37,3.03
199401,5.35,5.01
199501,2.55,2.21
199601,-1.25,-1.59
199701,2.05,1.71
199801,.91,0.57
199901,2.99,2.65
200001,-3.23,-3.57
200101,.06,-0.28
200201,1.52,1.18
200301,-2.61,-2.95
200401,1.15,0.81
200501,3.53,3.19
200601,-2.54,-2.88
200701,1,0.66
200801,.27,-0.07
200901,3.73,3.39
201001,5.26,4.92
201101,2.06,1.72
201201,-.88,-1.22
201301,.27,-0.07
201401,-.4,-0.74
201501,1.27,0.93
201601,4.47,4.13
