Virginia, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-2.68,-2.62
189612,-.96,-0.90
189712,-1.92,-1.86
189812,1.32,1.38
189912,-1.98,-1.92
190012,-2.72,-2.66
190112,3.98,4.04
190212,.75,0.81
190312,-.94,-0.88
190412,-.95,-0.89
190512,1.68,1.74
190612,2.5,2.56
190712,2.58,2.64
190812,2.43,2.49
190912,-1.91,-1.85
191012,.07,0.13
191112,.69,0.75
191212,-1.57,-1.51
191312,-.28,-0.22
191412,.92,0.98
191512,-.02,0.04
191612,-.83,-0.77
191712,-.99,-0.93
191812,.44,0.50
191912,-1.59,-1.53
192012,2.04,2.10
192112,-3.42,-3.36
192212,.32,0.38
192312,-1.89,-1.83
192412,.12,0.18
192512,-3.11,-3.05
192612,1.32,1.38
192712,1.1,1.16
192812,1.12,1.18
192912,-.29,-0.23
193012,-6.17,-6.11
193112,-3.71,-3.65
193212,2.04,2.10
193312,-2.77,-2.71
193412,1.09,1.15
193512,1.78,1.84
193612,.43,0.49
193712,-.63,-0.57
193812,.04,0.10
193912,-1.5,-1.44
194012,-.44,-0.38
194112,-4.37,-4.31
194212,2.9,2.96
194312,-2.64,-2.58
194412,0,0.06
194512,2.83,2.89
194612,-1.45,-1.39
194712,.15,0.21
194812,3.35,3.41
194912,-.41,-0.35
195012,.28,0.34
195112,.99,1.05
195212,.46,0.52
195312,-3.65,-3.59
195412,-2.35,-2.29
195512,-1.02,-0.96
195612,.64,0.70
195712,1.76,1.82
195812,-.61,-0.55
195912,.85,0.91
196012,-1.17,-1.11
196112,1.94,2.00
196212,1.06,1.12
196312,-3.13,-3.07
196412,-1.84,-1.78
196512,-4.66,-4.60
196612,1.1,1.16
196712,1.19,1.25
196812,-1.85,-1.79
196912,1.68,1.74
197012,-1.88,-1.82
197112,1.08,1.14
197212,4.93,4.99
197312,1.19,1.25
197412,.73,0.79
197512,2.64,2.70
197612,-.14,-0.08
197712,1.92,1.98
197812,.29,0.35
197912,-.67,-0.61
198012,-3.28,-3.22
198112,.21,0.27
198212,-.06,0.00
198312,1.89,1.95
198412,-1.73,-1.67
198512,-.7,-0.64
198612,.55,0.61
198712,-1.01,-0.95
198812,-2.3,-2.24
198912,3.29,3.35
199012,.42,0.48
199112,.26,0.32
199212,1.42,1.48
199312,.56,0.62
199412,-1.6,-1.54
199512,.72,0.78
199612,4.56,4.62
199712,.25,0.31
199812,-4.14,-4.08
199912,-.61,-0.55
200012,-1.51,-1.45
200112,-2.98,-2.92
200212,1.76,1.82
200312,5.81,5.87
200412,-.02,0.04
200512,-.89,-0.83
200612,-.57,-0.51
200712,-3.65,-3.59
200812,-1.96,-1.90
200912,4.07,4.13
201012,-2.08,-2.02
201112,1.8,1.86
201212,-1.31,-1.25
201312,2.81,2.87
201412,.33,0.39
201512,2.4,2.46
