Tennessee, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.4,0.55
189601,-2.4,-2.25
189701,-1.28,-1.13
189801,-1.41,-1.26
189901,.29,0.44
190001,-3.28,-3.13
190101,-.73,-0.58
190201,.73,0.88
190301,-.53,-0.38
190401,-1.86,-1.71
190501,-2.81,-2.66
190601,-.47,-0.32
190701,-.76,-0.61
190801,-.57,-0.42
190901,-1.92,-1.77
191001,-1.37,-1.22
191101,-1.24,-1.09
191201,-.35,-0.20
191301,2.3,2.45
191401,-3.98,-3.83
191501,-2.15,-2.00
191601,3.44,3.59
191701,1.46,1.61
191801,-.63,-0.48
191901,-.32,-0.17
192001,1.95,2.10
192101,-.94,-0.79
192201,-.76,-0.61
192301,.75,0.90
192401,.47,0.62
192501,-2.01,-1.86
192601,-2.52,-2.37
192701,2.62,2.77
192801,-.91,-0.76
192901,1.58,1.73
193001,-.28,-0.13
193101,-4.33,-4.18
193201,1.6,1.75
193301,1.22,1.37
193401,-2.06,-1.91
193501,-.44,-0.29
193601,-1.54,-1.39
193701,2.83,2.98
193801,-.41,-0.26
193901,.35,0.50
194001,-3.63,-3.48
194101,-2.92,-2.77
194201,-4.13,-3.98
194301,-1.58,-1.43
194401,-3.08,-2.93
194501,.29,0.44
194601,2.27,2.42
194701,.86,1.01
194801,-2.22,-2.07
194901,2.62,2.77
195001,3.96,4.11
195101,3.57,3.72
195201,2.5,2.65
195301,-3.02,-2.87
195401,-2.45,-2.30
195501,-4.58,-4.43
195601,.03,0.18
195701,1.25,1.40
195801,-.57,-0.42
195901,-1.4,-1.25
196001,-.39,-0.24
196101,-1.12,-0.97
196201,1.77,1.92
196301,-1.68,-1.53
196401,-2.24,-2.09
196501,.67,0.82
196601,-2.4,-2.25
196701,-.75,-0.60
196801,-.09,0.06
196901,-1.5,-1.35
197001,-.77,-0.62
197101,-.52,-0.37
197201,.59,0.74
197301,3.28,3.43
197401,4.4,4.55
197501,3.23,3.38
197601,2.8,2.95
197701,-1.32,-1.17
197801,.3,0.45
197901,1.65,1.80
198001,3.65,3.80
198101,-3.61,-3.46
198201,1.4,1.55
198301,-.66,-0.51
198401,-.71,-0.56
198501,-.95,-0.80
198601,-1.78,-1.63
198701,-1.41,-1.26
198801,-2.28,-2.13
198901,1.67,1.82
199001,3.3,3.45
199101,2.2,2.35
199201,-.5,-0.35
199301,-.33,-0.18
199401,.82,0.97
199501,-.28,-0.13
199601,1.55,1.70
199701,3.37,3.52
199801,1.95,2.10
199901,1.28,1.43
200001,-3.03,-2.88
200101,-2.77,-2.62
200201,2.16,2.31
200301,1.35,1.50
200401,2.73,2.88
200501,-.26,-0.11
200601,-1.48,-1.33
200701,-1.12,-0.97
200801,-3.99,-3.84
200901,-1.68,-1.53
201001,.49,0.64
201101,-1.66,-1.51
201201,-.09,0.06
201301,1.62,1.77
201401,2.27,2.42
201501,1.76,1.91
201601,2.23,2.38
