Louisiana, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,-.98,-0.85
189612,-3.07,-2.94
189712,-2.48,-2.35
189812,-.55,-0.42
189912,.17,0.30
190012,-1.01,-0.88
190112,-2.24,-2.11
190212,.2,0.33
190312,-2.97,-2.84
190412,-3.13,-3.00
190512,2.97,3.10
190612,-1.51,-1.38
190712,-1.16,-1.03
190812,-1.31,-1.18
190912,-1.47,-1.34
191012,-1.28,-1.15
191112,2.77,2.90
191212,1.57,1.70
191312,-.95,-0.82
191412,.11,0.24
191512,-1.58,-1.45
191612,-1.83,-1.70
191712,-4.41,-4.28
191812,1.39,1.52
191912,2.83,2.96
192012,3.24,3.37
192112,-3.05,-2.92
192212,-.54,-0.41
192312,3.5,3.63
192412,-5.19,-5.06
192512,1.22,1.35
192612,-.09,0.04
192712,-.86,-0.73
192812,-1.12,-0.99
192912,1.15,1.28
193012,-1.03,-0.90
193112,1.52,1.65
193212,1.51,1.64
193312,-2.45,-2.32
193412,-.3,-0.17
193512,-1.03,-0.90
193612,-3.16,-3.03
193712,-.32,-0.19
193812,-1.62,-1.49
193912,-2.37,-2.24
194012,4.48,4.61
194112,2.39,2.52
194212,-.93,-0.80
194312,.9,1.03
194412,1,1.13
194512,1.52,1.65
194612,2.64,2.77
194712,1.35,1.48
194812,1.05,1.18
194912,-1,-0.87
195012,-1.23,-1.10
195112,-2.67,-2.54
195212,-2.89,-2.76
195312,-.83,-0.70
195412,-4.07,-3.94
195512,-1.24,-1.11
195612,-2.39,-2.26
195712,2.55,2.68
195812,-1.62,-1.49
195912,-.43,-0.30
196012,.29,0.42
196112,3.94,4.07
196212,-3.03,-2.90
196312,-3.73,-3.60
196412,-1.52,-1.39
196512,-2.73,-2.60
196612,-.91,-0.78
196712,.97,1.10
196812,1.32,1.45
196912,-2.07,-1.94
197012,-.87,-0.74
197112,1.58,1.71
197212,1.37,1.50
197312,3.48,3.61
197412,2.97,3.10
197512,-.76,-0.63
197612,.58,0.71
197712,1.4,1.53
197812,-1.21,-1.08
197912,2.23,2.36
198012,-2.89,-2.76
198112,-2.81,-2.68
198212,3.23,3.36
198312,2.97,3.10
198412,-1.06,-0.93
198512,-.7,-0.57
198612,1.67,1.80
198712,.72,0.85
198812,-.32,-0.19
198912,1.67,1.80
199012,.05,0.18
199112,2.84,2.97
199212,3.05,3.18
199312,-1,-0.87
199412,-.64,-0.51
199512,-.68,-0.55
199612,1.03,1.16
199712,1.16,1.29
199812,1.35,1.48
199912,-3.11,-2.98
200012,1.32,1.45
200112,0,0.13
200212,3.19,3.32
200312,-.62,-0.49
200412,-.32,-0.19
200512,-3.13,-3.00
200612,1.85,1.98
200712,-.89,-0.76
200812,-.29,-0.16
200912,3.54,3.67
201012,-3.84,-3.71
201112,-4.15,-4.02
201212,.94,1.07
201312,-.57,-0.44
201412,-.66,-0.53
201512,1.68,1.81
