Oregon, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.61,-0.53
189606,2.23,2.31
189706,.49,0.57
189806,-1.3,-1.22
189906,1,1.08
190006,.3,0.38
190106,-.53,-0.45
190206,1.57,1.65
190306,-1.1,-1.02
190406,-1.1,-1.02
190506,-1.25,-1.17
190606,1.51,1.59
190706,2.25,2.33
190806,.53,0.61
190906,-1.6,-1.52
191006,-1.6,-1.52
191106,.68,0.76
191206,2.05,2.13
191306,2.19,2.27
191406,-.58,-0.50
191506,.64,0.72
191606,2.7,2.78
191706,-.33,-0.25
191806,-1.98,-1.90
191906,-.96,-0.88
192006,.45,0.53
192106,-.16,-0.08
192206,-.66,-0.58
192306,.75,0.83
192406,-4.26,-4.18
192506,.56,0.64
192606,-3.28,-3.20
192706,1.49,1.57
192806,-1.32,-1.24
192906,-2.44,-2.36
193006,-3.17,-3.09
193106,-3.26,-3.18
193206,-.49,-0.41
193306,.7,0.78
193406,-3.16,-3.08
193506,-2.04,-1.96
193606,-1.47,-1.39
193706,2.07,2.15
193806,-.97,-0.89
193906,-3.55,-3.47
194006,-2.56,-2.48
194106,1.41,1.49
194206,2.08,2.16
194306,2.19,2.27
194406,-1.16,-1.08
194506,-.32,-0.24
194606,-.73,-0.65
194706,1.11,1.19
194806,3.57,3.65
194906,-1.36,-1.28
195006,.55,0.63
195106,-1.27,-1.19
195206,.83,0.91
195306,2.81,2.89
195406,.54,0.62
195506,-.66,-0.58
195606,2.51,2.59
195706,1.51,1.59
195806,1.78,1.86
195906,-1.26,-1.18
196006,-.69,-0.61
196106,-.45,-0.37
196206,-.54,-0.46
196306,1.57,1.65
196406,.64,0.72
196506,.13,0.21
196606,-2.53,-2.45
196706,-1.01,-0.93
196806,-2.45,-2.37
196906,-.46,-0.38
197006,-.94,-0.86
197106,2.12,2.20
197206,-.53,-0.45
197306,-3.15,-3.07
197406,-.9,-0.82
197506,1.01,1.09
197606,-.94,-0.86
197706,.45,0.53
197806,.92,1.00
197906,-.47,-0.39
198006,.67,0.75
198106,.92,1.00
198206,2.57,2.65
198306,3.74,3.82
198406,3.87,3.95
198506,-2.36,-2.28
198606,-1.01,-0.93
198706,-2.24,-2.16
198806,-1.85,-1.77
198906,-.54,-0.46
199006,-1.38,-1.30
199106,2.04,2.12
199206,-3.78,-3.70
199306,2.3,2.38
199406,-2.66,-2.58
199506,2.1,2.18
199606,3.57,3.65
199706,2.77,2.85
199806,3.19,3.27
199906,-.53,-0.45
200006,-1.41,-1.33
200106,-3.49,-3.41
200206,-2.27,-2.19
200306,-2,-1.92
200406,-2.13,-2.05
200506,1.72,1.80
200606,-.3,-0.22
200706,-1.93,-1.85
200806,-.94,-0.86
200906,-1.27,-1.19
201006,2.18,2.26
201106,3.82,3.90
201206,2.04,2.12
201306,-1.76,-1.68
201406,-1.19,-1.11
201506,-3.18,-3.10
