Maine, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.15,0.38
189601,-2.98,-2.75
189701,-.81,-0.58
189801,2.14,2.37
189901,.32,0.55
190001,1.27,1.50
190101,-.74,-0.51
190201,1.3,1.53
190301,1.96,2.19
190401,-2.44,-2.21
190501,-.99,-0.76
190601,-2.17,-1.94
190701,-.89,-0.66
190801,2.15,2.38
190901,1.01,1.24
191001,-.61,-0.38
191101,-2.3,-2.07
191201,.05,0.28
191301,1.42,1.65
191401,-.84,-0.61
191501,-2.51,-2.28
191601,-1.34,-1.11
191701,.88,1.11
191801,-1.22,-0.99
191901,-.32,-0.09
192001,-1.78,-1.55
192101,-.61,-0.38
192201,-3.32,-3.09
192301,.83,1.06
192401,-1.68,-1.45
192501,-2.57,-2.34
192601,-.4,-0.17
192701,-.45,-0.22
192801,2.97,3.20
192901,-.28,-0.05
193001,-2.29,-2.06
193101,-2.88,-2.65
193201,-1.08,-0.85
193301,-1.06,-0.83
193401,-.35,-0.12
193501,1.63,1.86
193601,1.54,1.77
193701,.85,1.08
193801,-.28,-0.05
193901,-.91,-0.68
194001,-2.35,-2.12
194101,-.62,-0.39
194201,-2.99,-2.76
194301,-2.36,-2.13
194401,-1.9,-1.67
194501,1.18,1.41
194601,-.1,0.13
194701,.01,0.24
194801,-3.54,-3.31
194901,-2.5,-2.27
195001,-3.17,-2.94
195101,1.8,2.03
195201,3.2,3.43
195301,.72,0.95
195401,.24,0.47
195501,4.46,4.69
195601,-2.62,-2.39
195701,-1.89,-1.66
195801,2.37,2.60
195901,-.74,-0.51
196001,1.67,1.90
196101,-.93,-0.70
196201,-1.02,-0.79
196301,-.11,0.12
196401,-.58,-0.35
196501,-2.65,-2.42
196601,-3.06,-2.83
196701,-2.01,-1.78
196801,-.24,-0.01
196901,.93,1.16
197001,-1.15,-0.92
197101,-1.29,-1.06
197201,-2.52,-2.29
197301,2.86,3.09
197401,3.95,4.18
197501,-.47,-0.24
197601,1.28,1.51
197701,2.65,2.88
197801,4.58,4.81
197901,2.13,2.36
198001,-1.48,-1.25
198101,-1.8,-1.57
198201,3.2,3.43
198301,.13,0.36
198401,2.13,2.36
198501,-3.51,-3.28
198601,1.02,1.25
198701,-.51,-0.28
198801,-1.57,-1.34
198901,-1.52,-1.29
199001,-.26,-0.03
199101,-.16,0.07
199201,-.34,-0.11
199301,-1.65,-1.42
199401,1.6,1.83
199501,-.77,-0.54
199601,1.97,2.20
199701,3.24,3.47
199801,1.02,1.25
199901,1.04,1.27
200001,1.32,1.55
200101,-2.08,-1.85
200201,-5.44,-5.21
200301,-3.07,-2.84
200401,-1.02,-0.79
200501,-.43,-0.20
200601,5.76,5.99
200701,3.54,3.77
200801,2.34,2.57
200901,4.3,4.53
201001,3.4,3.63
201101,1.75,1.98
201201,-.82,-0.59
201301,-1.19,-0.96
201401,1.94,2.17
201501,0,0.23
