Tennessee, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.01,-1.01
189604,-1.89,-1.89
189704,2.49,2.49
189804,-2.03,-2.03
189904,-.3,-0.30
190004,-2.5,-2.50
190104,-1.12,-1.12
190204,-.54,-0.54
190304,.97,0.97
190404,-1.97,-1.97
190504,-2.96,-2.96
190604,-1.92,-1.92
190704,.28,0.28
190804,-.61,-0.61
190904,1.03,1.03
191004,-.04,-0.04
191104,1.57,1.57
191204,2.58,2.58
191304,-.49,-0.49
191404,-3.33,-3.33
191504,-3.78,-3.78
191604,.85,0.85
191704,1.94,1.94
191804,-1.92,-1.92
191904,.12,0.12
192004,2.68,2.68
192104,-.57,-0.57
192204,1.32,1.32
192304,1.65,1.65
192404,.13,0.13
192504,-3.17,-3.17
192604,-3.22,-3.22
192704,3.18,3.18
192804,.71,0.71
192904,2.01,2.01
193004,-1.75,-1.75
193104,-3.85,-3.85
193204,1.47,1.47
193304,1.33,1.33
193404,-1.92,-1.92
193504,.61,0.61
193604,-1.14,-1.14
193704,-1.17,-1.17
193804,-.04,-0.04
193904,1.78,1.78
194004,-2.21,-2.21
194104,-4.01,-4.01
194204,-3.96,-3.96
194304,-1.35,-1.35
194404,2.06,2.06
194504,.2,0.20
194604,-.84,-0.84
194704,-1.34,-1.34
194804,-.78,-0.78
194904,1.54,1.54
195004,2.85,2.85
195104,3.22,3.22
195204,-.59,-0.59
195304,-1.39,-1.39
195404,-2.9,-2.90
195504,1.65,1.65
195604,1.5,1.50
195704,.8,0.80
195804,.8,0.80
195904,-1.6,-1.60
196004,-1.26,-1.26
196104,.85,0.85
196204,2.7,2.70
196304,.62,0.62
196404,1.93,1.93
196504,-.09,-0.09
196604,-2.37,-2.37
196704,-1.97,-1.97
196804,-.44,-0.44
196904,-1.12,-1.12
197004,1.04,1.04
197104,-.78,-0.78
197204,.03,0.03
197304,4.41,4.41
197404,2.99,2.99
197504,4.41,4.41
197604,.6,0.60
197704,.8,0.80
197804,-1.6,-1.60
197904,2.26,2.26
198004,3.5,3.50
198104,-3.39,-3.39
198204,-.13,-0.13
198304,1.49,1.49
198404,.69,0.69
198504,-2.25,-2.25
198604,-3.22,-3.22
198704,-2.09,-2.09
198804,-2.98,-2.98
198904,2.03,2.03
199004,2.77,2.77
199104,2.87,2.87
199204,-1.63,-1.63
199304,-.5,-0.50
199404,3.03,3.03
199504,-1.5,-1.50
199604,1.05,1.05
199704,3.46,3.46
199804,2.63,2.63
199904,-.91,-0.91
200004,-2.06,-2.06
200104,-2.74,-2.74
200204,-.89,-0.89
200304,1.54,1.54
200404,1.98,1.98
200504,-.35,-0.35
200604,-2.05,-2.05
200704,-2.71,-2.71
200804,-2.26,-2.26
200904,0,0.00
201004,-1.39,-1.39
201104,2.23,2.23
201204,-2.15,-2.15
201304,2.08,2.08
201404,1.92,1.92
201504,1.75,1.75
