Mississippi, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.48,-0.24
189603,.85,1.09
189703,-1.97,-1.73
189803,-3.34,-3.10
189903,-.24,0.00
190003,.19,0.43
190103,-1.35,-1.11
190203,.95,1.19
190303,.04,0.28
190403,-3.65,-3.41
190503,.64,0.88
190603,-.57,-0.33
190703,-2.27,-2.03
190803,-.7,-0.46
190903,.37,0.61
191003,-3.05,-2.81
191103,-3.01,-2.77
191203,2.22,2.46
191303,2.76,3.00
191403,-1.72,-1.48
191503,-.59,-0.35
191603,-1.37,-1.13
191703,-.71,-0.47
191803,-4.24,-4.00
191903,1.04,1.28
192003,1.63,1.87
192103,1.05,1.29
192203,1.55,1.79
192303,.73,0.97
192403,-.51,-0.27
192503,-3.53,-3.29
192603,-.01,0.23
192703,.75,0.99
192803,-1.98,-1.74
192903,1.04,1.28
193003,-1.3,-1.06
193103,-2.5,-2.26
193203,-.36,-0.12
193303,2.02,2.26
193403,-2.45,-2.21
193503,.45,0.69
193603,-2.03,-1.79
193703,-1.99,-1.75
193803,-1.97,-1.73
193903,.75,0.99
194003,-.42,-0.18
194103,-1.41,-1.17
194203,-1.89,-1.65
194303,-1.52,-1.28
194403,1.38,1.62
194503,.69,0.93
194603,2.16,2.40
194703,1.86,2.10
194803,1.65,1.89
194903,2.84,3.08
195003,2.14,2.38
195103,2.15,2.39
195203,-2.45,-2.21
195303,.42,0.66
195403,-3,-2.76
195503,-3.64,-3.40
195603,-1.52,-1.28
195703,-2.52,-2.28
195803,1.5,1.74
195903,-1.64,-1.40
196003,-.14,0.10
196103,2.59,2.83
196203,-.9,-0.66
196303,-3.31,-3.07
196403,.59,0.83
196503,.78,1.02
196603,-1.66,-1.42
196703,-3.11,-2.87
196803,-.96,-0.72
196903,-.8,-0.56
197003,.22,0.46
197103,.76,1.00
197203,-.77,-0.53
197303,2.74,2.98
197403,2.36,2.60
197503,3.5,3.74
197603,-.11,0.13
197703,.38,0.62
197803,-1.57,-1.33
197903,1.77,2.01
198003,4.44,4.68
198103,-2.2,-1.96
198203,-2.62,-2.38
198303,3.15,3.39
198403,2.35,2.59
198503,-1.51,-1.27
198603,-3.11,-2.87
198703,-.26,-0.02
198803,-1.27,-1.03
198903,-.16,0.08
199003,3.54,3.78
199103,1.34,1.58
199203,-.63,-0.39
199303,1.27,1.51
199403,1.06,1.30
199503,.3,0.54
199603,-.53,-0.29
199703,.71,0.95
199803,-.07,0.17
199903,-1.14,-0.90
200003,-3.96,-3.72
200103,1.47,1.71
200203,2.36,2.60
200303,2.26,2.50
200403,1.38,1.62
200503,-.9,-0.66
200603,-1.38,-1.14
200703,-3.22,-2.98
200803,-2.75,-2.51
200903,1.37,1.61
201003,-.62,-0.38
201103,-2.73,-2.49
201203,-1.5,-1.26
201303,2.23,2.47
201403,.79,1.03
201503,.02,0.26
